Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,24.6,27.0,22.1,41.4,0.0,0.0,0,0,1,1,4,1,31%,27%,47%
2001,25.2,28.2,22.2,41.0,0.0,44.1,2,3,0,1,1,2,35%,29%,50%
2002,25.1,28.1,22.1,41.4,-23.8,57.3,8,9,0,6,1,2,32%,28%,45%
2003,20.7,22.6,14.1,36.8,0.0,84.4,4,6,0,2,2,2,3%,3%,67%
2004,27.8,30.9,22.6,39.5,0.0,14.7,3,8,0,4,0,1,30%,30%,75%
2005,24.6,27.5,21.7,39.2,1.8,58.3,12,15,0,14,7,0,41%,43%,78%
2006,25.3,28.1,22.5,40.6,6.6,114.4,13,16,0,7,5,0,54%,48%,79%
2007,25.6,29.0,22.2,42.8,5.2,156.5,20,33,0,18,4,0,93%,90%,70%
2008,25.2,28.4,22.1,42.4,5.0,1129.8,12,18,0,8,2,0,92%,92%,74%
2009,25.5,28.6,22.4,43.2,0.0,192.6,20,38,0,21,7,1,82%,72%,55%
2010,26.7,30.1,23.2,42.0,0.0,15.2,6,16,0,8,7,1,85%,76%,60%
2011,25.5,29.0,22.0,43.0,0.0,215.7,26,34,0,22,4,1,98%,96%,96%
2012,25.8,29.4,22.2,45.6,3.0,204.5,25,39,0,24,5,0,99%,96%,96%
2013,25.3,28.9,21.8,41.0,7.0,183.3,15,29,0,21,1,0,99%,97%,98%
2014,26.1,30.1,22.0,42.8,8.1,251.6,13,29,0,17,11,0,98%,97%,94%
2015,26.7,30.7,22.7,43.9,7.3,212.4,20,35,0,21,2,0,98%,97%,93%
2016,26.2,30.2,22.3,43.0,7.9,80.7,13,38,0,14,7,0,99%,99%,92%
2017,26.8,30.9,22.6,45.0,3.0,233.4,20,33,0,17,3,0,99%,98%,95%
