Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,23.7,32.8,14.6,52.2,-47.4,443.0,16,23,1,6,16,1,39%,33%,74%
2001,26.1,33.4,18.8,51.0,-28.7,98.9,18,27,0,12,14,5,41%,38%,73%
2002,25.9,32.9,18.9,50.0,-11.3,78.0,13,21,0,10,7,4,43%,41%,82%
2003,28.3,32.7,22.3,49.2,5.0,43.7,12,24,0,14,16,0,3%,6%,80%
2004,29.4,37.0,21.8,50.4,1.6,19.0,5,9,0,9,8,0,33%,28%,83%
2005,26.1,33.0,19.2,50.4,-6.4,43.9,7,10,0,7,14,1,52%,51%,84%
2006,26.4,33.0,19.9,50.0,-0.5,147.9,16,25,0,16,13,1,57%,52%,81%
2007,26.6,33.6,19.5,49.4,0.1,138.3,16,37,0,23,23,0,94%,93%,84%
2008,26.8,33.8,19.7,50.8,0.2,110.3,18,24,0,13,48,0,96%,95%,85%
2009,26.7,33.4,20.0,49.6,-0.6,796.9,25,45,0,20,24,2,96%,93%,81%
2010,27.8,35.0,20.6,50.8,3.0,77.6,19,26,0,15,27,0,95%,91%,76%
2011,26.3,33.3,19.4,51.6,3.6,143.6,19,32,0,20,21,0,100%,98%,97%
2012,26.6,33.6,19.7,51.0,-1.2,213.5,23,40,0,30,26,1,99%,97%,96%
2013,26.0,33.0,19.0,50.4,2.4,161.5,16,37,0,15,14,0,99%,98%,98%
2014,26.6,33.5,19.6,50.6,3.8,213.9,24,37,1,23,24,0,99%,98%,98%
2015,27.4,34.3,20.4,50.4,4.0,247.5,29,38,0,25,20,0,99%,98%,99%
2016,26.8,34.2,19.3,50.4,2.0,148.5,15,23,0,15,12,0,99%,98%,98%
2017,27.4,35.1,19.7,53.7,-0.6,64.3,9,19,0,12,12,1,100%,98%,98%
2018,27.7,34.8,20.6,52.4,3.5,319.6,27,40,0,37,27,0,99%,97%,98%
2019,26.7,34.0,19.5,50.0,2.9,351.6,32,51,0,29,23,0,99%,97%,98%
2020,26.8,34.2,19.3,51.5,-1.2,212.9,23,36,0,30,14,1,100%,97%,97%
2021,28.0,35.9,20.1,51.2,3.5,78.5,12,16,0,17,3,0,98%,97%,96%
2022,27.5,35.1,20.0,51.6,0.6,118.9,16,28,0,22,26,0,99%,98%,97%
2023,27.1,34.7,19.5,50.8,3.8,250.5,31,46,0,22,29,0,99%,98%,97%
