Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.7,25.1,12.4,39.7,-10.9,32.9,9,14,0,1,2,31,28%,24%,45%
2001,16.8,25.0,8.7,43.0,-80.8,995.4,14,21,2,3,10,74,35%,29%,73%
2002,17.0,24.5,9.6,44.0,-7.0,86.1,15,25,2,6,3,75,42%,36%,80%
2003,19.2,25.8,14.0,41.4,-6.6,117.6,16,20,2,1,0,53,3%,5%,79%
2004,20.1,27.3,13.0,40.4,-8.0,81.5,11,14,0,0,4,37,33%,27%,80%
2005,17.1,24.1,10.0,41.6,-8.4,131.8,8,9,1,1,0,61,51%,47%,86%
2006,16.9,23.5,10.3,41.0,-7.6,111.7,17,20,6,2,4,60,51%,44%,74%
2007,16.6,23.7,9.4,45.8,-9.7,164.4,26,39,10,6,4,66,96%,95%,86%
2008,16.9,24.1,9.7,39.8,-11.0,39.3,9,24,13,7,2,74,98%,95%,90%
2009,16.9,24.0,9.8,41.0,-11.0,184.4,21,38,5,10,17,60,97%,94%,84%
2010,18.0,25.5,10.5,41.2,-6.6,144.8,20,32,1,10,1,59,97%,92%,81%
2011,17.1,24.2,10.0,40.8,-8.8,172.1,21,33,9,1,8,70,99%,99%,97%
2012,16.6,23.5,9.7,42.2,-8.8,239.2,32,46,4,3,7,66,99%,99%,96%
2013,17.5,24.9,10.2,42.0,-9.0,92.7,19,31,0,2,2,53,99%,99%,99%
2014,17.0,24.1,9.9,41.0,-12.6,165.6,21,36,10,3,11,72,99%,97%,97%
2015,17.7,24.7,10.6,39.8,-6.6,102.8,22,34,4,2,2,61,98%,99%,98%
2016,17.9,25.1,10.8,40.8,-7.4,54.6,13,20,1,2,0,55,98%,98%,97%
2017,17.6,25.0,10.2,40.8,-8.2,80.2,17,28,1,4,2,60,99%,98%,99%
2018,18.1,25.0,11.2,40.0,-6.4,131.5,28,49,3,13,2,43,99%,98%,96%
2019,17.4,24.3,10.5,42.0,-5.0,173.0,24,51,1,7,2,62,99%,98%,99%
2020,17.4,24.8,10.1,42.0,-8.2,127.2,27,40,2,10,15,61,99%,99%,96%
2021,18.8,26.8,10.8,42.5,-8.8,65.8,16,27,1,6,5,60,98%,96%,94%
2022,18.6,26.5,10.8,42.7,-9.6,91.5,27,37,1,2,4,51,99%,99%,98%
2023,18.4,26.6,10.3,42.9,-5.6,142.1,20,39,3,2,3,68,99%,100%,97%
