Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.5,25.7,11.3,41.1,-14.2,15.5,4,8,0,0,0,40,31%,25%,64%
2001,19.9,28.0,11.7,41.4,-10.2,0.3,0,1,2,7,1,44,39%,33%,81%
2002,19.9,27.6,12.2,42.0,-9.4,945.1,5,8,0,4,0,39,45%,37%,87%
2003,16.8,26.5,8.2,41.6,-17.8,12.6,4,7,3,2,0,40,3%,5%,85%
2004,21.3,28.5,13.5,45.0,-6.1,14.0,4,4,2,3,2,25,30%,26%,85%
2005,19.2,26.5,11.8,42.2,-7.0,45.8,9,19,0,7,1,42,52%,48%,83%
2006,20.4,28.0,12.7,44.6,-11.2,214.7,6,9,0,5,4,44,57%,53%,87%
2007,18.8,26.9,10.8,40.3,-10.9,90.6,17,26,1,15,2,36,97%,96%,87%
2008,19.0,27.0,10.9,42.5,-10.1,84.7,13,22,12,6,13,56,96%,94%,85%
2009,19.4,26.9,11.8,41.6,-7.0,99.6,13,20,2,11,14,25,90%,87%,75%
2010,19.2,27.4,11.0,40.9,-10.9,34.7,7,8,0,14,7,62,86%,79%,63%
2011,19.4,27.4,11.4,40.5,-11.6,104.8,21,25,1,20,15,50,99%,98%,95%
2012,18.7,26.7,10.7,41.6,-10.7,62.0,12,29,3,10,11,54,99%,100%,97%
2013,19.5,27.5,11.4,41.8,-13.0,50.1,9,22,0,9,7,36,99%,99%,96%
2014,18.5,26.7,10.4,42.7,-9.8,70.2,13,24,5,23,11,67,99%,98%,97%
2015,19.7,27.4,11.9,40.6,-8.4,124.5,15,24,4,10,6,33,100%,98%,98%
2016,20.1,28.4,11.8,41.5,-5.4,30.6,9,19,0,14,6,41,99%,99%,98%
2017,19.4,27.8,11.0,43.4,-11.4,57.0,8,16,2,10,4,49,100%,98%,99%
2018,19.7,28.1,11.3,42.0,-7.4,16.9,3,10,0,6,2,49,99%,99%,98%
2019,19.3,26.9,11.7,41.7,-6.2,123.5,22,34,0,21,9,50,100%,99%,98%
2020,18.6,26.6,10.7,42.7,-8.0,108.9,13,27,0,9,2,44,100%,99%,98%
2021,19.7,28.6,10.8,42.4,-10.6,15.4,6,10,0,9,5,47,98%,98%,97%
2022,20.2,28.5,11.8,43.1,-7.7,45.8,8,16,0,8,7,39,98%,99%,98%
2023,20.3,28.4,12.2,43.8,-10.6,94.4,20,30,1,22,4,35,99%,98%,97%
