Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,16.6,23.4,9.9,42.4,-4.6,38.6,9,14,0,1,1,34,30%,27%,43%
2001,17.7,25.5,10.0,43.0,-4.6,162.6,27,35,1,6,0,37,37%,30%,53%
2002,17.2,23.8,10.5,42.6,-4.0,111.8,18,25,1,7,0,43,35%,30%,46%
2003,15.6,19.4,10.6,42.6,-4.2,140.2,23,32,2,19,2,27,4%,6%,63%
2004,20.9,29.3,9.7,43.2,-8.5,132.0,19,27,0,21,2,35,29%,24%,70%
2005,17.1,24.9,9.3,43.4,-6.6,62.2,12,18,4,6,0,42,45%,42%,78%
2006,17.3,24.5,10.0,42.6,-6.4,141.8,31,46,3,17,1,50,52%,48%,64%
2007,17.0,25.2,8.8,41.6,-8.2,1107.8,50,67,4,35,3,55,95%,93%,82%
2008,17.5,25.7,9.3,44.4,-14.6,290.2,38,50,8,16,6,56,95%,93%,79%
2009,17.0,24.3,9.8,42.4,-6.8,382.4,46,69,3,26,6,43,82%,76%,59%
2010,18.4,26.6,10.2,44.4,-7.7,308.6,35,54,3,32,1,48,83%,76%,59%
2011,16.6,24.9,8.2,44.4,-10.5,386.0,46,65,7,30,0,68,98%,96%,93%
2012,17.2,25.3,9.1,43.2,-8.4,341.2,44,55,5,29,0,74,99%,98%,96%
2013,16.9,25.6,8.2,44.0,-6.4,359.5,46,67,0,33,3,51,98%,97%,98%
2014,17.1,25.4,8.8,43.4,-7.6,460.6,57,70,7,38,6,46,99%,98%,98%
2015,17.9,26.1,9.8,43.6,-5.2,597.9,48,60,3,41,5,49,99%,97%,99%
2016,17.4,25.8,9.0,43.4,-6.5,529.1,43,53,4,31,4,50,99%,98%,96%
2017,18.1,26.5,9.6,44.2,-11.5,292.6,34,48,5,25,1,54,100%,98%,98%
2018,18.2,26.0,10.4,45.3,-4.2,761.2,70,89,2,58,1,34,99%,96%,98%
2019,17.6,25.4,9.7,45.4,-4.1,816.6,55,70,4,41,2,44,99%,97%,99%
2020,17.9,26.1,9.7,45.4,-11.5,484.6,50,67,4,33,4,36,100%,97%,97%
2021,18.8,27.8,9.9,46.4,-6.2,237.0,21,35,0,28,1,44,98%,96%,96%
2022,18.8,27.2,10.5,46.6,-9.2,285.6,35,44,2,18,1,42,98%,98%,97%
2023,17.6,26.4,8.9,45.1,-4.5,396.4,43,56,1,23,2,48,99%,100%,97%
