Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2001,-,25.6,20.6,25.6,20.6,0.0,0,0,0,0,0,0,0%,0%,0%
2005,20.0,22.0,20.0,24.0,20.0,-,-,-,0,0,0,0,0%,0%,0%
2006,-,0.8,9.0,1.6,9.0,0.0,0,0,0,0,0,0,0%,0%,0%
2007,19.9,19.0,20.3,37.9,4.6,0.0,0,0,0,0,0,0,1%,1%,0%
2008,14.6,21.3,7.9,42.2,-16.8,161.6,39,55,14,30,1,73,90%,87%,71%
2009,14.8,20.6,8.9,38.0,-11.2,208.8,39,67,14,20,1,51,71%,66%,46%
2010,16.3,22.5,10.2,41.0,-9.6,192.3,39,49,5,24,2,59,78%,68%,40%
2011,13.7,20.0,7.3,43.6,-21.0,367.3,59,72,20,38,6,98,96%,93%,90%
2012,13.9,20.2,7.7,40.2,-17.6,365.0,59,81,32,47,11,95,98%,96%,97%
2013,15.0,21.9,8.2,41.2,-11.2,177.8,36,49,8,24,2,65,95%,94%,93%
2014,16.4,23.0,9.8,43.4,-12.2,228.2,43,55,5,49,2,54,82%,81%,79%
2015,17.6,24.4,10.9,43.2,-8.0,150.9,30,41,7,37,8,37,77%,76%,69%
2016,15.0,21.8,8.1,43.4,-17.2,224.6,38,63,18,33,5,78,97%,94%,89%
2017,14.9,21.9,7.9,42.2,-15.0,185.6,36,51,13,24,9,98,99%,99%,98%
2018,16.1,22.7,9.6,43.0,-12.0,324.8,64,84,6,45,4,45,99%,98%,97%
2019,14.9,21.6,8.3,42.6,-7.6,291.5,54,81,15,25,8,80,99%,96%,96%
2020,14.5,20.8,8.1,42.6,-17.2,338.6,63,90,36,37,5,76,99%,97%,96%
2021,16.2,23.5,8.8,42.6,-12.6,119.9,27,49,5,28,3,80,97%,96%,94%
2022,15.5,22.4,8.6,42.2,-18.0,159.6,34,52,18,21,6,71,98%,98%,97%
2023,15.9,23.3,8.5,42.1,-8.8,206.0,33,56,18,32,7,86,98%,97%,97%
