Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,21.2,19.9,20.9,42.0,0.2,3.4,1,2,0,1,3,1,3%,3%,48%
2001,22.1,20.7,17.6,43.0,-5.8,41.4,9,15,3,1,11,28,1%,2%,56%
2002,17.6,16.8,15.1,42.0,-11.8,88.9,17,28,6,5,4,23,5%,5%,45%
2003,23.9,29.5,10.1,40.4,-5.4,85.2,22,27,3,3,5,17,0%,1%,69%
2004,21.2,28.0,14.4,44.6,-1.8,50.0,10,21,2,2,1,17,22%,21%,78%
2005,18.5,24.8,12.2,46.0,-8.0,44.1,10,17,5,4,2,38,38%,37%,80%
2006,18.8,25.2,12.4,42.0,-12.2,39.8,11,20,11,1,2,46,43%,42%,76%
2007,18.2,24.9,11.4,42.6,-11.0,201.4,34,46,8,8,5,29,95%,91%,86%
2008,17.9,24.8,11.1,42.6,-22.4,76.2,21,32,12,0,5,59,93%,94%,80%
2009,18.9,24.9,12.9,42.8,-6.0,209.4,31,55,7,10,9,21,83%,74%,63%
2010,19.5,26.3,12.8,47.4,-9.6,122.3,22,36,9,3,2,24,85%,74%,61%
2011,18.1,24.6,11.6,47.6,-8.4,160.8,29,51,12,6,8,65,98%,93%,96%
2012,18.6,25.7,11.4,46.0,-15.8,231.8,36,50,21,6,9,55,99%,94%,96%
2013,19.5,26.7,12.2,44.9,-7.1,122.9,23,41,8,8,1,23,98%,96%,98%
2014,18.4,25.6,11.2,45.0,-18.0,179.0,28,40,5,1,5,49,99%,94%,97%
2015,19.1,25.8,12.5,45.5,-3.7,278.9,42,59,10,5,6,16,99%,97%,98%
2016,19.7,26.6,12.8,46.8,-9.8,184.8,28,46,5,7,1,19,97%,95%,97%
2017,18.9,26.0,11.8,45.6,-8.9,175.0,27,36,10,6,6,43,99%,98%,99%
2018,19.2,26.0,12.4,47.5,-11.8,183.3,28,46,0,7,12,27,99%,97%,99%
2019,19.3,26.2,12.4,48.6,-3.9,544.1,38,50,3,16,14,21,99%,95%,96%
2020,17.9,24.7,11.2,45.8,-9.3,292.8,48,62,14,12,8,40,99%,96%,96%
2021,19.9,27.4,12.4,48.7,-7.5,291.8,20,26,5,2,7,38,97%,94%,97%
2022,19.8,26.9,12.8,47.5,-4.9,128.8,24,32,1,5,1,24,97%,97%,97%
2023,20.4,28.0,12.8,44.8,-23.0,74.0,16,25,3,9,4,32,99%,97%,94%
