Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,31.0,31.1,31.0,38.4,-31.0,10.0,1,1,0,1,3,1,12%,12%,0%
2001,29.5,29.6,29.4,38.6,-33.1,0.0,0,0,0,2,2,1,11%,11%,0%
2002,28.9,28.6,29.1,53.6,19.0,13.5,1,2,0,0,2,0,13%,13%,0%
2003,29.1,29.1,29.1,38.6,13.0,2.2,1,2,0,0,2,0,12%,12%,0%
2004,29.0,30.1,27.8,41.8,2.8,11.0,1,1,0,0,1,0,37%,20%,0%
2005,29.2,29.7,27.6,39.2,11.3,3.0,2,2,0,0,0,0,49%,15%,0%
2006,28.6,29.9,26.6,40.2,13.3,3.2,1,2,0,2,4,0,58%,24%,0%
2007,27.8,30.4,25.2,39.4,14.0,1.0,1,1,0,1,9,0,95%,91%,0%
2008,27.4,29.9,24.9,39.4,13.1,36.0,6,6,0,4,10,0,95%,91%,0%
2009,27.8,30.2,25.4,37.8,0.0,35.8,8,11,0,5,3,1,83%,76%,0%
2010,28.5,31.4,25.5,41.4,14.6,33.3,4,6,0,3,2,0,86%,76%,0%
2011,28.0,30.9,25.1,42.4,3.1,31.7,4,7,0,0,1,0,100%,99%,0%
2012,27.7,30.9,24.4,44.0,12.4,7.2,3,5,0,4,2,0,100%,98%,0%
2013,27.6,30.4,24.9,40.2,12.4,52.1,6,9,0,6,4,0,99%,98%,0%
2014,27.5,30.3,24.6,39.2,13.0,2.5,0,5,0,2,3,0,99%,97%,0%
2015,28.2,31.1,25.4,42.6,14.0,8.4,2,3,0,0,5,0,99%,98%,0%
2016,27.9,31.1,24.6,42.0,15.0,9.0,2,4,0,2,9,0,99%,98%,0%
2017,28.0,31.4,24.6,42.4,12.2,47.4,7,8,0,2,7,0,99%,99%,0%
2018,28.3,31.5,25.1,41.8,14.2,2.2,1,4,0,2,10,0,99%,97%,0%
2019,27.9,31.2,24.7,41.7,15.4,60.0,9,13,0,9,3,0,99%,96%,0%
2020,28.4,31.6,25.1,41.0,13.6,13.3,3,7,0,5,2,0,100%,97%,0%
2021,29.2,32.4,26.1,43.2,14.8,0.0,0,0,0,0,1,0,98%,97%,0%
2022,28.8,32.2,25.4,42.0,14.0,20.1,5,6,0,4,2,0,99%,97%,0%
2023,28.8,32.2,25.4,43.6,14.2,140.2,9,13,0,5,1,0,99%,99%,0%
