Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,11.7,24.8,-4.8,50.0,-86.5,43.8,6,10,0,8,15,12,3%,5%,48%
2001,9.5,25.4,-11.3,49.6,-54.5,107.6,12,24,1,13,9,23,2%,7%,56%
2002,11.6,22.5,-0.5,48.4,-89.3,89.5,14,20,0,15,10,15,4%,7%,46%
2003,19.6,26.3,8.2,45.8,-14.8,62.3,11,19,0,21,24,1,1%,1%,69%
2004,27.2,35.3,17.6,48.4,-0.8,58.1,11,15,0,17,9,1,31%,26%,78%
2005,24.1,31.7,16.5,49.2,1.8,88.4,9,12,0,9,8,0,47%,45%,81%
2006,24.3,31.7,16.9,49.2,-1.0,423.5,15,21,0,14,12,4,54%,48%,75%
2007,24.4,32.5,16.3,48.8,-0.4,194.3,26,39,0,26,20,3,93%,93%,70%
2008,25.0,32.9,17.0,50.6,-1.5,134.7,16,26,0,17,19,6,91%,94%,79%
2009,24.5,31.9,17.2,49.4,-1.6,477.0,25,36,0,29,10,2,81%,75%,65%
2010,25.9,33.7,18.2,50.8,0.0,197.8,20,29,0,27,9,1,84%,75%,62%
2011,24.4,32.3,16.4,51.8,1.2,271.7,28,41,0,29,15,0,97%,97%,91%
2012,24.8,32.7,17.0,50.4,-2.5,287.3,36,42,0,24,19,3,99%,97%,91%
2013,24.2,32.3,16.1,51.6,-0.1,252.9,26,41,0,25,8,1,98%,97%,95%
2014,24.7,32.4,17.0,51.0,1.0,318.5,30,41,1,22,20,0,99%,97%,97%
2015,25.3,32.9,17.7,49.6,1.0,284.5,31,43,1,19,18,0,100%,97%,97%
2016,24.8,32.8,16.7,51.2,-0.5,187.0,20,30,1,21,6,1,99%,98%,92%
2017,25.4,33.9,16.9,51.2,-1.5,179.4,23,26,0,20,2,3,100%,98%,97%
2018,25.4,33.3,17.6,51.1,1.9,564.8,41,55,0,35,28,0,100%,98%,98%
2019,24.6,32.6,16.7,49.7,0.8,420.1,32,41,0,34,17,0,99%,97%,98%
2020,24.7,32.8,16.6,51.4,-2.6,396.5,35,43,0,35,21,3,100%,96%,96%
2021,25.8,34.5,17.2,50.7,0.5,86.3,12,21,0,13,5,0,98%,96%,94%
2022,25.6,33.9,17.3,51.6,-1.1,203.9,23,36,0,23,30,2,98%,98%,92%
2023,25.4,33.7,17.1,50.8,1.1,348.2,36,45,0,23,34,0,99%,100%,94%
