Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,27.4,25.5,27.7,46.6,3.2,23.7,4,8,0,0,5,0,5%,3%,36%
2001,29.5,30.1,24.6,44.4,0.4,340.6,23,29,0,8,15,0,1%,2%,47%
2002,23.2,24.2,22.9,43.6,2.6,248.0,25,35,0,15,10,0,4%,4%,42%
2003,19.3,23.9,9.6,43.2,-1.0,342.3,25,34,0,10,11,1,1%,2%,62%
2004,26.0,33.2,18.7,46.4,0.0,396.8,26,28,0,9,6,1,32%,29%,74%
2005,22.3,29.3,15.4,46.6,0.0,65.3,5,10,0,1,10,1,44%,42%,69%
2006,22.7,29.3,16.1,44.6,-0.8,160.7,18,22,0,11,8,4,54%,50%,72%
2007,22.7,29.9,15.4,45.2,-0.6,351.1,29,42,0,23,22,2,93%,90%,74%
2008,23.3,30.6,15.9,47.4,-2.4,128.6,19,28,2,8,10,14,92%,94%,77%
2009,23.3,29.9,16.8,45.0,-1.0,327.9,28,40,0,13,12,6,81%,75%,61%
2010,24.7,32.2,17.2,46.6,0.8,101.8,24,35,0,14,1,0,83%,77%,60%
2011,23.3,30.6,16.0,48.0,0.8,549.3,35,46,2,21,17,0,99%,97%,97%
2012,23.2,30.5,15.9,47.2,-3.4,596.8,41,51,0,27,21,6,100%,98%,95%
2013,22.9,30.7,15.1,48.6,-1.0,351.1,31,40,0,22,10,7,99%,98%,88%
2014,23.0,30.8,15.2,47.5,-0.4,461.3,34,46,0,19,21,1,99%,99%,93%
2015,23.8,31.5,16.2,48.8,-0.4,357.7,34,48,1,29,12,4,99%,98%,95%
2016,23.5,31.6,15.5,47.7,-1.0,333.7,34,41,0,13,7,2,99%,98%,90%
2017,24.2,32.2,16.1,47.0,-2.9,181.9,25,30,0,19,6,5,99%,99%,96%
2018,24.0,31.7,16.3,47.5,-0.4,459.1,30,41,0,24,13,2,99%,96%,97%
2019,23.1,30.8,15.4,48.2,0.0,501.4,34,45,1,35,19,1,100%,98%,97%
2020,23.0,30.8,15.2,47.6,-2.4,597.5,42,55,0,33,13,4,100%,99%,98%
2021,23.8,32.3,15.2,47.3,-0.6,295.4,21,29,0,22,7,5,98%,96%,96%
2022,23.5,31.2,15.8,46.6,-2.4,467.4,39,44,0,33,10,3,98%,98%,97%
2023,22.9,31.1,14.7,47.6,-1.6,452.7,35,44,2,26,18,3,99%,99%,94%
