Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,17.9,24.0,11.7,38.6,-7.0,14.4,3,5,1,0,0,45,32%,28%,45%
2001,18.4,25.9,10.8,41.0,-11.0,26.8,8,10,1,0,0,48,34%,29%,50%
2002,17.9,25.0,10.9,45.6,-11.0,48.2,12,12,2,0,0,48,37%,33%,47%
2003,18.5,20.5,17.1,39.0,-5.0,42.9,11,18,1,2,1,40,4%,6%,66%
2004,18.8,25.6,12.4,40.2,-6.4,71.6,7,8,0,1,0,28,34%,30%,78%
2005,17.7,25.0,10.4,40.4,-8.6,4.0,2,3,1,0,0,48,48%,45%,83%
2006,17.8,24.8,10.9,40.6,-7.6,26.1,5,7,1,1,0,38,55%,51%,81%
2007,17.4,25.1,9.8,39.6,-11.0,90.6,18,20,0,0,0,51,95%,95%,82%
2008,17.6,25.4,9.8,39.0,-12.4,62.4,12,15,2,0,2,54,95%,93%,81%
2009,18.1,24.9,11.3,39.4,-8.6,130.9,18,22,2,0,0,46,83%,76%,60%
2010,18.0,26.0,10.0,41.0,-12.0,40.9,11,13,0,2,0,65,85%,76%,61%
2011,17.7,25.6,9.7,39.2,-17.2,178.3,20,27,1,3,0,60,99%,99%,96%
2012,16.9,24.7,9.1,40.8,-9.8,87.6,16,26,1,3,1,72,99%,98%,94%
2013,17.6,25.7,9.4,41.0,-11.4,174.4,19,28,0,12,0,58,99%,98%,97%
2014,17.3,25.5,9.2,40.4,-8.4,164.4,22,36,5,11,2,77,99%,98%,95%
2015,17.7,25.7,9.7,39.0,-8.2,182.6,22,45,5,2,0,59,99%,97%,96%
2016,18.1,26.5,9.7,39.6,-7.2,65.4,8,39,1,8,0,53,98%,99%,95%
2017,17.4,25.7,9.1,39.6,-11.5,199.7,18,28,1,7,0,55,99%,99%,97%
2018,18.1,26.2,10.1,39.0,-8.8,98.4,14,23,1,8,1,50,99%,98%,98%
2019,17.9,25.4,10.4,41.1,-7.0,192.5,26,42,1,9,0,63,99%,99%,96%
2020,17.5,25.2,9.8,43.6,-8.0,227.4,27,43,2,6,1,57,100%,97%,96%
2021,18.7,26.9,10.6,40.6,-11.4,26.2,8,20,0,7,0,56,97%,97%,94%
2022,18.3,26.3,10.4,40.8,-8.3,110.3,17,22,1,3,1,47,97%,98%,95%
2023,18.5,26.6,10.4,40.6,-7.5,83.8,10,19,0,5,5,54,99%,100%,92%
