Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,24.8,26.5,23.6,35.6,6.6,0.0,0,0,0,0,0,0,2%,1%,0%
2001,28.7,30.4,21.0,42.5,4.4,0.0,0,0,0,0,0,0,2%,1%,0%
2002,25.8,26.4,24.7,43.0,1.6,0.0,0,0,0,0,0,0,2%,1%,0%
2003,24.3,27.3,16.0,29.0,-0.8,0.0,0,0,0,0,0,1,0%,1%,0%
2004,-,-,-,-,-,-,-,-,0,0,0,0,0%,0%,0%
2005,-,-,-,-,-,-,-,-,0,0,0,0,0%,0%,0%
2006,25.4,27.3,23.9,39.4,7.2,31.0,3,3,0,1,1,0,31%,15%,0%
2007,26.1,29.0,23.2,41.8,10.0,96.6,2,7,0,6,6,0,92%,84%,0%
2008,25.8,28.8,22.9,42.6,8.0,24.0,3,5,0,3,14,0,95%,89%,0%
2009,26.2,28.9,23.5,43.0,3.6,122.5,7,12,0,18,4,0,84%,71%,0%
2010,27.2,30.3,24.1,42.2,2.8,5.9,0,9,0,4,6,0,86%,75%,0%
2011,26.0,29.1,22.9,44.6,10.4,93.1,9,11,0,7,4,0,98%,92%,0%
2012,26.3,29.6,23.0,45.6,5.6,64.6,11,16,0,18,3,0,99%,91%,0%
2013,25.9,29.0,22.8,41.8,10.4,92.9,8,11,0,15,1,0,99%,93%,0%
2014,26.2,29.5,22.9,43.0,9.8,94.5,7,9,0,12,3,0,98%,95%,0%
2015,26.8,30.2,23.4,44.8,9.2,92.1,5,9,0,14,1,0,99%,92%,0%
2016,26.5,30.0,22.9,46.3,8.8,3.3,2,4,0,7,2,0,99%,96%,0%
2017,26.9,30.6,23.3,47.3,5.8,105.5,10,15,0,11,3,0,99%,95%,0%
2018,26.9,30.5,23.2,47.7,9.4,47.4,12,16,0,14,4,0,100%,95%,0%
2019,26.5,30.0,22.9,43.6,10.1,96.3,12,20,0,17,1,0,99%,97%,0%
2020,26.7,30.5,22.9,43.9,0.0,163.1,11,20,0,15,2,1,100%,97%,0%
2021,27.2,30.8,23.6,45.4,9.9,25.1,3,6,0,4,0,0,97%,96%,0%
2022,26.8,30.5,23.1,45.0,9.3,36.0,5,10,0,11,2,0,99%,97%,0%
2023,26.8,30.7,22.9,47.0,10.2,136.7,15,21,0,9,2,0,100%,98%,0%
