Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,23.9,28.1,19.8,43.6,0.2,3.8,2,3,0,0,0,0,34%,27%,47%
2001,24.5,30.1,19.0,45.2,-3.0,10.5,5,10,2,0,0,3,35%,27%,49%
2002,24.0,29.2,18.9,44.2,-0.4,6.2,2,4,0,0,1,2,40%,35%,50%
2003,23.4,26.9,21.3,43.8,-2.8,20.6,7,8,0,0,0,4,4%,8%,67%
2004,24.9,28.8,19.9,45.0,0.4,18.9,3,7,0,1,0,0,31%,28%,78%
2005,24.2,29.7,18.8,47.6,1.0,8.7,2,7,0,5,0,0,52%,47%,78%
2006,24.6,30.3,19.0,46.2,-0.2,4.0,1,1,0,1,0,2,60%,53%,79%
2007,24.0,30.2,17.9,50.0,-3.6,27.0,3,3,0,2,0,12,93%,93%,77%
2008,24.3,30.4,18.2,47.0,-4.4,11.7,2,4,1,0,6,26,95%,93%,78%
2009,24.7,30.0,19.4,45.0,1.2,51.7,10,14,0,3,0,0,82%,75%,59%
2010,24.8,30.5,19.1,44.8,0.4,11.6,4,4,0,5,0,0,84%,76%,62%
2011,24.0,30.1,18.0,44.2,0.0,66.0,9,10,0,7,1,2,100%,99%,98%
2012,23.2,29.1,17.3,45.4,-2.6,45.4,9,18,0,11,4,11,98%,97%,94%
2013,24.6,30.5,18.7,46.0,-1.6,90.7,13,16,0,13,2,5,99%,98%,96%
2014,23.9,29.7,18.1,45.1,-3.8,64.3,15,17,4,16,0,8,99%,98%,94%
2015,25.1,30.8,19.4,45.1,-0.3,116.0,17,23,2,7,1,1,99%,98%,95%
2016,25.6,31.5,19.7,46.2,-0.4,39.0,7,19,2,10,0,1,98%,98%,95%
2017,25.0,30.9,19.1,46.5,-0.4,49.6,12,20,1,7,2,1,99%,99%,98%
2018,25.3,31.2,19.4,44.8,1.7,31.9,9,16,0,7,2,0,99%,98%,95%
2019,24.7,30.5,19.0,45.8,2.5,72.0,12,20,0,8,0,0,99%,98%,95%
2020,24.2,30.0,18.5,45.7,1.0,43.8,13,24,0,11,1,0,99%,97%,93%
2021,25.6,31.5,19.7,46.6,-0.2,12.3,4,6,0,7,6,1,98%,95%,90%
2022,25.7,31.6,19.8,46.8,0.5,38.6,9,17,0,3,1,0,98%,98%,95%
2023,25.8,32.0,19.7,48.6,-2.6,31.7,8,19,0,8,1,4,100%,99%,96%
