Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,20.9,26.3,15.5,43.2,-67.9,35.7,3,4,1,1,0,8,26%,20%,38%
2001,20.7,27.8,13.5,46.0,-44.1,19.1,6,11,0,1,0,18,30%,26%,57%
2002,20.7,26.6,14.8,45.0,-35.4,734.9,8,19,1,3,0,23,31%,25%,47%
2003,16.1,21.2,13.1,43.0,-12.5,40.1,9,16,0,7,0,9,4%,3%,67%
2004,23.8,30.0,16.4,45.4,-1.8,34.3,7,19,0,10,1,8,28%,23%,77%
2005,20.9,27.1,14.6,45.2,-3.6,13.2,4,7,1,2,0,19,44%,42%,85%
2006,21.3,27.2,15.5,45.6,-4.4,30.0,11,17,1,3,0,20,51%,47%,79%
2007,20.4,26.8,13.9,45.6,-5.8,609.2,13,31,1,6,0,29,95%,94%,87%
2008,20.5,26.9,14.1,46.0,-14.4,65.1,16,23,9,6,0,46,96%,94%,83%
2009,21.3,27.1,15.5,44.4,-4.0,77.2,14,29,1,8,0,15,83%,75%,62%
2010,22.0,28.2,15.7,44.6,-3.8,35.7,6,13,1,5,0,12,85%,77%,63%
2011,20.9,27.2,14.5,45.0,-2.2,65.3,10,21,0,7,0,29,100%,99%,98%
2012,20.4,26.5,14.3,45.6,-4.4,87.6,16,28,2,9,0,31,98%,99%,97%
2013,21.4,27.8,15.0,47.6,-6.0,93.1,14,21,1,8,0,27,99%,99%,98%
2014,21.0,27.3,14.7,45.6,-6.4,84.4,18,25,6,9,0,20,100%,99%,98%
2015,21.7,27.9,15.5,45.6,-3.0,40.5,13,27,1,13,0,9,99%,98%,98%
2016,21.6,28.1,15.2,45.0,-6.4,16.2,5,11,0,7,0,17,98%,98%,97%
2017,21.6,28.2,15.1,45.6,-6.6,42.6,11,17,3,7,0,17,100%,99%,99%
2018,22.0,28.3,15.7,45.8,-3.4,66.1,14,28,1,13,0,9,99%,98%,97%
2019,21.8,28.0,15.6,47.0,-1.4,94.6,18,35,1,10,0,4,100%,99%,99%
2020,21.1,27.4,14.8,46.6,-2.8,72.9,22,38,0,8,0,15,100%,98%,98%
2021,22.5,29.3,15.7,47.3,-5.0,35.8,6,16,0,8,0,21,98%,96%,97%
2022,22.8,30.0,15.7,48.7,-4.5,32.5,9,23,0,8,0,10,98%,99%,97%
2023,22.9,30.1,15.7,47.2,-8.1,35.5,10,22,3,3,1,23,99%,100%,97%
