Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,19.7,25.3,14.0,43.6,-5.0,100.1,16,19,0,0,0,23,32%,22%,60%
2001,20.0,26.5,13.6,44.5,-11.6,41.7,13,21,2,2,1,16,35%,28%,73%
2002,19.7,26.1,13.3,44.5,-7.0,430.0,20,25,2,1,0,32,46%,39%,80%
2003,19.4,25.5,13.3,45.6,-3.6,49.4,15,25,3,2,2,15,44%,36%,73%
2004,18.9,25.4,12.4,43.8,-4.0,48.0,10,16,2,4,4,26,75%,72%,80%
2005,19.2,25.6,12.8,44.6,-6.6,20.1,4,11,4,4,0,35,44%,42%,83%
2006,19.6,26.0,13.2,45.6,-7.0,58.3,9,13,5,3,3,43,49%,43%,81%
2007,18.8,25.8,11.8,44.0,-7.0,116.7,22,35,3,10,1,50,97%,94%,90%
2008,18.7,25.6,11.8,45.6,-17.0,102.9,22,37,16,1,1,63,96%,95%,88%
2009,19.1,25.8,12.3,45.4,-5.6,170.4,28,38,6,10,1,28,91%,90%,78%
2010,20.7,27.7,13.7,45.6,-4.4,60.2,17,28,1,6,1,20,90%,87%,66%
2011,19.1,25.7,12.6,46.2,-4.2,171.0,25,42,8,5,5,50,100%,98%,98%
2012,19.2,25.9,12.5,44.0,-7.3,139.0,28,47,2,6,5,48,98%,98%,98%
2013,19.6,27.0,12.3,46.6,-6.0,100.5,16,35,3,8,1,44,99%,99%,99%
2014,19.5,26.6,12.4,46.8,-10.0,136.0,24,35,9,8,2,41,99%,99%,97%
2015,20.1,26.9,13.4,47.0,-3.2,105.5,22,35,5,14,1,37,99%,98%,98%
2016,20.1,27.0,13.2,44.4,-8.6,66.3,19,34,3,14,2,39,98%,99%,98%
2017,20.0,26.8,13.1,44.0,-5.6,64.9,13,34,3,11,2,27,99%,99%,99%
2018,20.7,27.4,14.0,45.2,-8.0,164.0,34,55,5,29,7,19,99%,97%,96%
2019,20.2,27.0,13.5,45.6,-4.0,172.2,24,48,5,14,8,18,99%,98%,96%
2020,19.7,26.4,13.0,45.3,-6.3,201.0,28,51,4,8,9,28,100%,98%,96%
2021,21.2,28.6,13.8,46.6,-5.8,68.7,9,11,2,8,2,27,98%,97%,95%
2022,21.1,28.4,13.8,45.2,-6.7,41.5,11,27,1,8,2,20,99%,99%,97%
2023,21.1,28.4,13.7,45.5,-3.2,88.0,15,31,3,7,1,32,99%,100%,98%
