Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2001,13.4,13.4,13.4,13.4,13.4,0.0,0,0,0,0,0,0,0%,0%,0%
2004,17.0,17.0,17.0,17.0,17.0,-,-,-,0,0,0,0,0%,0%,0%
2006,-,-,13.4,-,13.4,0.0,0,0,0,0,0,0,0%,0%,0%
2007,-,19.5,-,19.5,-,0.0,0,0,0,0,0,0,0%,0%,0%
2008,27.2,31.6,22.7,48.4,2.6,26.0,3,10,0,8,1,0,81%,79%,57%
2009,27.7,31.4,23.9,48.0,6.4,332.5,20,35,0,25,0,0,72%,66%,51%
2010,28.3,32.5,24.1,47.2,7.8,32.0,5,10,0,9,1,0,78%,71%,45%
2011,27.6,32.2,23.0,49.2,9.0,197.5,17,24,0,16,0,0,96%,93%,93%
2012,27.4,32.0,22.8,49.8,5.2,151.8,15,24,0,15,0,0,98%,97%,96%
2013,27.1,31.4,22.9,45.8,8.8,138.9,11,19,1,12,2,0,94%,92%,94%
2014,28.2,32.5,23.8,47.8,8.0,326.1,12,17,0,17,1,0,80%,81%,78%
2015,29.9,34.4,25.4,48.7,9.2,124.8,13,19,0,13,0,0,75%,76%,57%
2016,27.9,32.5,23.4,47.8,9.0,109.0,7,15,0,12,0,0,93%,92%,79%
2017,28.2,32.8,23.6,49.7,5.4,602.3,24,30,1,23,1,0,97%,97%,94%
2018,28.2,32.6,23.7,49.6,10.2,258.8,14,24,0,15,1,0,97%,95%,90%
2019,27.6,31.9,23.4,49.1,1.0,394.1,28,41,0,35,2,0,97%,94%,94%
2020,27.7,32.3,23.2,49.9,1.0,252.3,25,35,0,27,0,0,99%,93%,93%
2021,28.9,33.7,24.1,49.4,11.4,58.8,6,10,0,8,3,0,96%,95%,89%
2022,28.9,33.8,24.1,51.4,7.8,222.8,13,27,0,21,1,0,97%,98%,96%
2023,28.6,33.8,23.5,49.0,11.1,230.3,15,20,0,11,0,0,97%,97%,94%
