Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,19.1,26.0,12.1,42.0,-1.0,24.4,5,6,0,0,0,16,33%,30%,49%
2001,19.7,28.5,10.9,42.6,-5.2,71.8,11,13,0,0,0,34,40%,34%,61%
2002,19.2,27.1,11.4,43.0,-19.6,42.5,9,15,0,0,0,31,37%,33%,43%
2003,19.9,24.7,15.4,42.2,-1.6,30.8,8,14,0,0,0,10,3%,8%,70%
2004,22.4,31.0,12.5,42.4,-1.4,117.6,10,14,0,3,0,5,30%,27%,79%
2005,19.0,27.4,10.5,42.8,-3.8,106.3,9,12,0,2,1,21,47%,44%,80%
2006,19.3,27.5,11.1,44.4,-3.2,168.3,15,18,1,4,0,34,57%,51%,81%
2007,19.1,28.0,10.3,43.4,-4.4,156.1,18,26,0,13,3,43,94%,93%,71%
2008,19.5,28.5,10.5,43.0,-5.6,101.5,15,24,2,1,0,42,95%,94%,82%
2009,19.8,27.5,12.1,43.0,-4.4,242.1,22,30,0,9,1,29,82%,75%,61%
2010,20.6,29.3,12.0,44.4,-6.2,41.6,9,15,0,3,1,31,84%,76%,61%
2011,19.8,28.3,11.2,43.0,-4.8,279.2,23,35,0,8,4,44,99%,99%,96%
2012,19.6,27.9,11.3,44.0,-4.8,251.8,21,35,1,9,0,35,100%,99%,98%
2013,19.9,28.6,11.3,44.2,-4.8,236.2,26,32,0,15,0,24,99%,99%,97%
2014,19.8,28.3,11.3,43.2,-2.6,239.1,22,31,0,13,1,24,99%,98%,98%
2015,20.4,28.7,12.1,42.4,-3.6,281.3,21,37,1,8,3,22,99%,98%,99%
2016,20.3,28.9,11.7,42.8,-3.4,105.8,15,17,0,7,1,30,99%,99%,97%
2017,19.8,28.2,11.5,42.4,-3.8,569.9,25,28,0,7,5,20,98%,98%,98%
2018,20.3,28.8,11.8,42.0,-5.2,94.1,17,27,1,12,3,39,99%,98%,95%
2019,19.5,27.4,11.6,42.8,-3.2,433.0,31,40,0,23,3,15,99%,98%,98%
2020,19.1,27.5,10.8,42.2,-4.6,330.4,31,41,0,20,1,30,100%,99%,98%
2021,20.9,29.8,12.1,43.4,-5.2,85.5,13,18,0,8,0,21,98%,97%,96%
2022,20.5,28.8,12.2,43.6,-3.0,266.2,24,29,0,12,3,16,98%,98%,97%
2023,20.1,28.8,11.4,43.2,-1.4,220.1,20,25,0,14,3,12,99%,100%,97%
