Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,22.2,27.2,17.2,42.4,-15.0,36.2,1,2,0,5,0,9,29%,22%,41%
2001,22.6,30.0,15.2,42.4,-4.2,4.3,1,2,0,0,1,11,30%,26%,48%
2002,23.2,29.8,16.6,42.8,-20.8,14.8,4,7,0,3,0,17,37%,26%,48%
2003,22.3,27.5,15.6,42.4,-18.6,24.3,6,8,0,12,0,10,7%,6%,70%
2004,23.3,30.8,16.2,42.8,0.0,8.4,1,2,0,7,0,2,28%,23%,75%
2005,22.0,28.6,15.4,43.4,-1.6,32.0,5,11,0,9,0,11,44%,42%,82%
2006,22.9,29.7,16.2,43.0,-4.4,9.3,4,5,0,6,0,10,55%,49%,83%
2007,22.5,29.8,15.1,44.2,-4.6,132.8,12,14,1,12,1,7,95%,93%,84%
2008,22.6,30.2,15.0,45.3,-4.3,99.3,12,16,0,12,2,15,95%,94%,80%
2009,23.1,29.8,16.5,43.2,0.0,124.6,14,19,0,9,2,1,81%,74%,59%
2010,22.8,30.2,15.4,43.4,-2.8,56.1,5,7,0,6,0,13,83%,75%,60%
2011,22.8,30.1,15.5,42.4,-16.4,156.5,19,29,1,16,1,16,98%,99%,96%
2012,21.8,29.0,14.5,42.9,-6.0,60.1,10,18,0,12,0,18,99%,98%,97%
2013,22.3,29.6,15.0,42.6,-6.0,191.6,19,24,0,15,0,15,99%,99%,95%
2014,21.8,29.1,14.5,43.3,-2.8,104.9,15,21,0,14,0,14,99%,98%,97%
2015,22.8,30.2,15.4,41.6,-3.0,77.5,8,16,0,16,0,9,99%,99%,98%
2016,23.1,30.8,15.4,42.5,-3.5,64.2,13,17,0,21,0,4,99%,100%,97%
2017,22.6,30.3,15.0,44.0,-2.7,58.8,11,17,0,14,1,16,100%,98%,98%
2018,23.0,30.7,15.3,42.9,-2.3,34.9,8,13,0,11,0,7,100%,98%,98%
2019,22.4,29.6,15.3,44.4,-2.8,153.1,30,38,0,20,0,9,100%,98%,97%
2020,22.2,29.5,15.0,43.0,-2.4,133.1,11,20,0,4,0,6,100%,99%,98%
2021,23.1,31.2,15.1,43.8,-4.1,27.6,7,11,1,17,0,16,98%,97%,97%
2022,23.3,31.1,15.5,44.0,-1.5,100.9,15,21,0,13,3,5,97%,99%,97%
2023,23.3,31.0,15.6,45.0,-4.7,80.6,14,25,0,11,1,14,99%,99%,97%
