Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,31.2,30.4,32.0,42.8,15.0,0.0,0,0,0,0,0,0,2%,1%,0%
2001,18.0,18.6,18.1,30.8,-3.4,0.0,0,0,0,0,0,1,1%,1%,0%
2002,32.8,26.4,33.6,37.6,29.6,0.0,0,0,0,0,0,0,1%,0%,0%
2003,-19.0,-19.0,-19.0,-19.0,-19.0,-,-,-,0,0,0,1,0%,0%,0%
2004,-,-,22.0,-,22.0,-,-,-,0,0,0,0,0%,0%,0%
2007,26.0,26.2,26.0,26.4,26.0,-,-,-,0,0,0,0,0%,0%,0%
2008,25.3,29.4,21.2,45.0,4.8,58.7,7,12,1,9,10,0,81%,78%,70%
2009,25.4,29.1,21.7,45.5,5.8,201.8,21,37,0,27,6,0,72%,65%,49%
2010,26.7,30.9,22.5,44.4,0.0,12.7,3,9,0,7,8,1,78%,70%,45%
2011,25.3,29.6,21.1,44.6,7.0,166.7,20,31,0,22,6,0,96%,91%,89%
2012,25.7,30.1,21.3,46.0,3.5,194.4,22,37,0,25,7,0,98%,97%,89%
2013,25.1,29.2,21.0,41.8,5.0,82.4,13,20,0,15,0,0,95%,93%,91%
2014,26.5,30.7,22.3,41.4,7.0,200.6,13,16,0,11,9,0,81%,80%,77%
2015,28.0,30.9,24.0,42.6,7.3,222.7,15,20,0,25,2,0,79%,77%,75%
2016,25.8,30.0,21.5,43.2,6.0,78.2,10,23,0,20,12,0,98%,98%,94%
2017,26.2,30.6,21.9,46.0,3.4,298.0,19,29,1,22,9,0,99%,99%,98%
2018,26.2,30.4,21.9,43.0,6.9,324.8,26,37,0,37,7,0,98%,96%,96%
2019,25.8,30.1,21.5,43.4,7.4,246.3,20,27,0,28,8,0,99%,98%,98%
2020,26.0,30.5,21.5,44.1,5.8,315.1,28,38,0,37,4,0,99%,97%,90%
2021,26.4,30.7,22.1,47.2,7.0,127.4,10,21,0,15,6,0,97%,96%,91%
2022,26.1,30.4,21.8,42.2,5.8,261.1,20,30,0,19,9,0,98%,97%,92%
2023,25.9,30.4,21.5,47.4,8.7,327.2,17,27,0,17,13,0,100%,99%,100%
