Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,17.0,19.9,14.0,40.0,-1.8,441.1,50,68,0,7,5,3,24%,22%,56%
2001,16.9,19.6,14.1,32.0,0.0,1174.6,66,80,0,14,6,2,28%,27%,64%
2002,16.7,19.5,14.0,32.4,-7.4,421.7,54,76,1,17,8,4,32%,32%,67%
2003,7.8,10.6,10.0,26.1,0.8,567.5,48,65,3,9,5,1,2%,2%,66%
2004,19.8,22.6,17.0,30.8,0.0,177.4,29,41,0,10,7,1,22%,20%,64%
2005,16.6,19.3,14.0,34.0,-10.4,160.3,32,51,0,3,1,4,38%,38%,63%
2006,16.8,19.5,14.1,35.0,0.0,453.1,40,53,0,11,5,2,41%,40%,64%
2007,16.8,20.0,13.6,32.6,-7.4,899.0,80,103,3,21,8,2,91%,85%,64%
2008,16.6,19.6,13.6,37.8,-2.6,1195.0,79,113,4,31,10,20,98%,92%,88%
2009,16.6,19.5,13.8,35.2,-0.6,964.3,98,124,1,40,35,2,98%,91%,87%
2010,18.1,21.0,15.1,33.4,-2.6,786.7,68,97,0,29,14,1,96%,90%,85%
2011,16.5,19.5,13.6,34.4,0.4,1385.8,107,146,0,36,8,0,97%,93%,92%
2012,17.5,20.7,14.2,37.0,-0.8,1013.8,78,119,4,48,8,4,97%,94%,96%
2013,17.1,20.3,14.0,36.0,0.8,956.0,91,133,0,31,17,0,99%,94%,98%
2014,17.1,20.1,14.1,33.8,-3.6,1933.8,74,114,7,37,17,6,98%,94%,98%
2015,17.4,20.5,14.3,35.6,1.8,1655.8,89,127,2,37,18,0,99%,95%,99%
2016,17.1,20.1,14.1,32.8,-1.2,1446.1,102,146,2,25,13,1,99%,95%,97%
2017,17.5,20.6,14.4,35.4,-2.2,1083.5,76,117,3,18,11,3,99%,95%,98%
2018,17.9,20.9,15.0,35.6,-1.2,1476.2,91,132,0,25,17,2,98%,94%,98%
2019,17.6,20.9,14.3,34.2,2.4,1626.6,96,124,0,17,13,0,99%,96%,99%
2020,17.2,20.2,14.1,34.2,-0.4,1246.4,100,140,2,27,14,1,100%,94%,98%
2021,17.8,21.0,14.6,34.2,-0.4,1393.4,85,126,1,20,24,1,97%,90%,96%
2022,18.0,21.2,14.7,37.0,-0.8,878.1,72,114,0,20,16,1,98%,94%,97%
2023,18.1,21.7,14.6,33.6,0.6,1378.6,94,134,0,14,13,0,98%,94%,97%
