Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,14.7,20.7,8.7,35.8,-12.8,231.2,29,45,9,3,9,96,29%,27%,76%
2001,14.8,21.6,8.1,37.6,-17.6,50.4,11,25,7,2,2,84,33%,31%,77%
2002,14.7,20.9,8.5,37.6,-14.2,185.2,31,40,8,10,2,88,40%,39%,80%
2003,14.2,20.1,8.3,39.6,-12.6,101.2,21,37,16,9,1,99,35%,37%,73%
2004,13.8,20.1,7.5,39.2,-9.4,171.0,19,25,4,5,1,71,76%,72%,81%
2005,14.2,19.9,8.5,39.5,-13.0,63.1,10,20,4,4,1,93,44%,44%,78%
2006,15.4,21.1,9.8,37.2,-13.8,100.6,16,27,19,0,5,80,48%,46%,79%
2007,14.0,20.5,7.6,37.9,-13.2,222.7,35,55,22,15,10,93,97%,95%,91%
2008,14.4,20.9,7.9,40.0,-24.6,84.1,22,35,20,3,12,89,97%,96%,93%
2009,14.5,20.6,8.3,37.6,-11.0,326.6,46,70,16,25,11,70,96%,93%,86%
2010,15.5,22.4,8.5,40.4,-10.8,157.3,25,41,5,13,8,71,97%,93%,81%
2011,14.7,21.2,8.1,38.0,-12.6,149.3,33,52,15,13,13,102,99%,97%,98%
2012,13.9,20.3,7.5,37.2,-14.7,388.5,47,71,28,20,11,99,99%,97%,97%
2013,15.1,22.0,8.3,39.4,-11.9,182.6,28,47,8,13,4,77,99%,98%,99%
2014,14.5,21.3,7.7,40.6,-16.4,173.7,29,52,12,10,12,101,99%,98%,98%
2015,15.2,21.8,8.6,38.2,-9.2,228.2,33,62,15,18,7,81,99%,98%,98%
2016,15.6,22.5,8.7,38.7,-14.5,208.5,34,50,9,28,3,73,98%,98%,98%
2017,15.3,22.0,8.5,38.8,-12.2,180.9,30,39,10,16,3,92,100%,98%,99%
2018,15.3,21.9,8.7,37.5,-12.5,197.3,28,53,3,8,5,68,99%,98%,98%
2019,15.0,21.7,8.4,40.4,-8.6,256.1,39,65,14,16,3,79,99%,97%,99%
2020,14.0,20.7,7.3,39.4,-13.6,391.7,42,66,23,8,8,93,100%,99%,98%
2021,15.8,23.2,8.4,40.5,-12.2,142.1,18,29,0,7,0,90,98%,97%,97%
2022,15.9,22.8,9.0,39.1,-9.3,159.1,23,40,5,5,5,75,99%,98%,96%
2023,16.0,23.2,8.9,38.8,-20.0,124.9,26,43,10,11,3,69,99%,98%,98%
