Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,29.7,29.8,29.6,38.4,2.9,0.0,0,0,0,0,4,0,13%,14%,0%
2001,28.4,28.4,28.3,40.4,13.3,53.0,2,2,1,1,3,0,13%,13%,0%
2002,28.2,28.4,28.1,52.0,-27.4,0.0,0,0,0,0,1,1,15%,15%,0%
2003,28.1,28.2,28.0,39.0,-53.0,0.0,0,0,0,0,0,1,10%,10%,0%
2004,28.7,29.9,27.4,40.0,0.0,0.0,0,0,0,0,1,1,35%,13%,0%
2005,27.4,29.7,25.2,40.0,14.0,0.2,0,1,0,1,1,0,44%,37%,75%
2006,27.4,29.6,25.1,40.4,13.0,6.3,1,3,0,5,5,0,54%,45%,80%
2007,27.5,30.1,24.9,38.6,12.2,162.9,9,10,0,3,5,0,95%,94%,83%
2008,27.0,29.5,24.4,41.8,8.2,96.5,14,17,0,6,6,0,93%,90%,75%
2009,27.6,30.2,25.1,47.2,7.9,113.1,16,19,0,9,2,0,82%,75%,57%
2010,27.6,30.2,25.1,41.2,14.2,59.3,3,4,0,5,1,0,83%,76%,56%
2011,27.4,29.9,24.9,41.6,13.6,31.3,4,6,0,3,2,0,98%,98%,93%
2012,27.4,30.1,24.7,42.2,5.7,20.0,8,14,0,8,3,0,99%,98%,95%
2013,26.9,29.6,24.3,39.6,10.3,131.6,9,14,0,4,3,0,97%,99%,93%
2014,26.9,29.5,24.3,39.0,13.0,154.3,10,13,0,4,3,0,98%,96%,90%
2015,28.0,30.7,25.2,43.8,13.1,93.5,4,5,0,4,3,0,98%,97%,89%
2016,27.6,30.3,25.0,39.4,15.0,20.2,2,8,0,3,4,0,99%,98%,90%
2017,27.7,30.4,25.0,43.6,10.2,189.6,10,19,0,12,4,0,98%,97%,96%
2018,27.8,30.6,25.1,41.6,15.8,10.7,4,6,0,5,2,0,99%,98%,98%
2019,27.3,29.9,24.8,40.1,14.7,213.5,18,27,0,13,0,0,99%,98%,97%
2020,27.5,30.2,24.8,39.2,12.4,148.2,11,16,0,6,0,0,99%,99%,96%
2021,27.9,30.5,25.2,40.7,13.3,42.6,5,8,0,7,0,0,97%,97%,96%
2022,27.4,29.9,25.0,40.1,13.4,117.5,13,16,0,5,1,0,98%,98%,96%
2023,27.6,30.2,25.0,40.9,12.8,47.6,6,8,0,5,0,0,97%,99%,93%
