Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,27.6,27.9,27.3,39.0,-29.4,30.0,1,1,0,1,1,1,5%,6%,40%
2001,25.8,28.6,23.0,40.8,-49.0,0.0,0,0,0,1,4,1,27%,21%,55%
2002,27.6,31.3,23.9,50.5,0.0,6.0,1,1,0,1,2,2,35%,19%,47%
2003,29.4,41.0,19.9,50.5,-40.5,9.1,3,4,1,3,1,3,21%,3%,56%
2004,33.2,38.6,28.7,50.4,12.2,0.0,0,0,2,0,0,0,5%,2%,0%
2005,36.0,38.1,27.3,50.3,22.6,0.0,0,0,0,0,0,0,4%,1%,0%
2006,34.1,41.2,25.3,50.3,10.8,0.0,0,0,0,0,0,0,10%,2%,0%
2007,25.8,25.3,21.5,50.4,3.8,-,-,-,0,2,3,0,24%,3%,0%
2008,25.6,25.5,21.4,50.3,-9.6,59.1,6,8,0,5,9,1,45%,34%,59%
2009,24.8,25.3,24.4,50.2,-20.2,91.1,10,19,0,8,5,4,61%,32%,51%
2010,27.5,32.3,22.7,50.2,-20.0,179.0,6,7,0,2,3,17,77%,32%,44%
2011,23.9,29.3,18.5,50.2,-50.0,120.7,6,8,0,2,4,94,81%,65%,92%
2012,28.0,31.9,24.1,50.2,-40.0,263.1,6,7,0,4,2,13,81%,90%,93%
2013,25.6,29.6,21.7,50.2,-30.0,96.1,9,12,0,9,2,54,82%,83%,97%
2014,27.4,30.6,24.2,54.0,-20.0,86.5,5,5,0,6,4,7,85%,88%,97%
2015,26.3,32.1,20.4,50.3,-50.2,66.3,5,6,0,7,0,82,69%,76%,98%
2016,27.6,34.2,20.9,50.3,-30.2,27.6,4,5,0,3,4,74,69%,78%,98%
2017,29.4,34.5,24.4,50.3,-20.1,73.8,4,9,0,4,4,27,72%,88%,98%
2018,26.3,33.6,19.1,50.3,-60.2,24.0,1,1,0,1,1,107,71%,71%,98%
2019,27.2,29.9,24.4,38.0,13.9,196.4,19,25,0,13,0,0,99%,98%,99%
2020,26.2,30.6,21.8,50.3,-30.1,217.0,11,17,0,4,0,43,95%,90%,99%
2021,27.5,30.8,24.2,39.6,11.1,254.8,7,10,0,2,1,0,96%,97%,97%
2022,27.4,30.7,24.1,38.7,11.4,228.8,11,17,0,4,0,0,98%,99%,97%
2023,27.4,30.3,24.4,37.3,10.6,26.4,6,12,0,2,0,0,94%,99%,99%
