Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2004,41.6,41.6,41.6,41.6,41.6,-,-,-,0,0,0,0,0%,0%,0%
2008,26.8,33.6,20.0,48.0,-1.4,27.0,6,10,0,1,0,3,90%,91%,75%
2009,27.4,33.3,21.6,47.4,2.0,87.1,12,16,0,4,2,0,72%,66%,51%
2010,27.7,34.3,21.2,48.0,0.0,103.3,9,10,0,9,2,2,78%,69%,43%
2011,27.2,33.9,20.5,48.2,-0.2,198.4,17,21,0,15,2,1,96%,94%,91%
2012,27.0,33.8,20.2,48.0,-1.0,102.2,13,18,0,13,2,2,97%,96%,91%
2013,26.7,33.4,20.1,47.8,-1.2,177.6,15,22,0,23,1,5,94%,93%,91%
2014,27.6,34.2,21.1,48.6,-0.2,206.5,18,28,0,21,0,1,82%,82%,77%
2015,29.7,36.6,22.8,47.2,-0.4,97.9,9,16,0,5,0,1,73%,73%,70%
2016,27.5,34.7,20.3,48.6,4.1,51.0,2,6,0,8,1,0,90%,92%,87%
2017,27.3,34.5,20.2,48.2,-0.3,172.0,20,34,0,13,1,1,99%,99%,97%
2018,28.0,35.1,20.8,48.8,2.5,30.9,10,15,0,13,0,0,98%,98%,96%
2019,26.8,33.3,20.3,49.2,3.4,353.7,27,34,0,17,2,0,99%,98%,96%
2020,26.5,33.5,19.4,48.4,2.0,395.4,22,29,0,15,0,0,99%,98%,95%
2021,28.0,35.4,20.7,48.9,-1.8,66.2,13,18,0,25,0,6,97%,97%,92%
2022,27.9,35.1,20.7,49.3,2.7,301.6,11,16,0,13,3,0,98%,98%,96%
2023,27.9,35.5,20.3,47.9,1.4,83.3,17,23,0,20,0,0,98%,98%,95%
