Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,24.2,23.0,25.3,58.0,-31.2,2.3,1,3,0,2,0,5,4%,4%,42%
2001,24.6,25.5,25.3,46.8,-9.0,295.3,2,5,1,0,0,10,2%,1%,60%
2002,21.0,23.1,20.5,44.8,-6.0,13.6,4,6,0,4,0,6,3%,3%,53%
2003,18.9,24.4,11.3,43.8,0.6,8.3,3,5,0,1,0,8,1%,1%,73%
2004,26.1,33.3,17.7,47.0,-1.4,9.0,2,4,0,3,0,4,29%,25%,85%
2005,22.3,28.7,15.8,47.4,-3.0,18.3,4,8,0,4,1,12,47%,44%,85%
2006,24.0,31.1,16.9,47.0,-7.2,962.4,3,4,0,1,1,23,56%,51%,84%
2007,22.6,30.1,15.2,47.2,-7.2,28.3,9,15,0,4,0,25,96%,95%,86%
2008,23.2,30.6,15.7,49.6,-11.8,30.2,8,12,5,1,1,41,94%,94%,82%
2009,23.5,30.5,16.5,46.0,-4.0,34.3,13,19,0,8,1,13,83%,76%,63%
2010,23.7,31.3,16.1,48.1,-7.3,3.5,2,4,1,3,6,27,84%,76%,59%
2011,23.4,30.8,15.9,47.9,-8.3,32.7,9,18,1,6,3,25,98%,99%,97%
2012,22.7,30.0,15.5,47.7,-6.5,39.0,11,21,0,12,5,34,99%,99%,97%
2013,23.6,31.3,15.8,47.5,-7.8,23.5,8,11,0,9,3,27,99%,99%,98%
2014,22.7,30.2,15.1,48.8,-7.7,49.4,12,18,4,12,25,31,99%,98%,98%
2015,23.5,30.9,16.1,48.4,-5.0,68.8,14,23,1,11,14,17,99%,98%,99%
2016,23.9,31.8,16.1,47.8,-2.3,38.3,5,13,0,10,6,16,99%,99%,93%
2017,23.5,31.4,15.6,48.8,-7.1,19.9,6,11,2,8,0,25,99%,99%,98%
2018,23.9,32.2,15.7,47.7,-6.7,11.5,6,10,0,10,1,36,100%,98%,99%
2019,23.3,31.0,15.7,49.6,-4.6,66.1,11,24,0,11,1,14,100%,99%,96%
2020,22.2,29.5,14.8,49.0,-7.7,68.6,13,23,0,8,0,22,100%,99%,98%
2021,23.9,32.3,15.5,48.8,-7.6,9.9,3,4,0,4,6,36,98%,98%,97%
2022,24.5,32.5,16.5,47.9,-3.1,57.6,12,13,0,12,4,14,98%,98%,98%
2023,24.6,32.8,16.4,50.8,-11.2,34.4,6,12,0,10,19,21,99%,99%,94%
