Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,27.5,32.8,22.2,48.2,4.0,0.0,0,0,0,2,1,0,36%,23%,42%
2001,27.8,34.5,21.1,53.0,-0.8,5.2,2,2,1,9,1,1,39%,29%,58%
2002,28.2,34.1,22.3,55.2,-29.0,300.7,3,7,0,6,0,2,42%,33%,50%
2003,26.9,29.8,24.1,46.6,4.0,20.9,5,6,0,14,1,2,4%,5%,70%
2004,29.6,34.7,24.4,50.0,2.0,1.1,1,2,0,4,3,0,31%,27%,78%
2005,27.2,33.6,20.8,49.3,1.2,43.9,8,9,0,5,2,0,51%,45%,84%
2006,27.6,34.0,21.2,48.4,-1.0,10.4,4,5,0,10,3,3,58%,51%,82%
2007,27.1,34.1,20.2,47.8,0.4,160.3,15,21,0,21,7,0,96%,96%,85%
2008,27.2,34.2,20.2,47.7,-0.7,174.5,13,17,0,11,7,1,95%,94%,81%
2009,27.8,34.1,21.5,47.7,3.8,132.1,15,24,0,22,8,0,83%,74%,60%
2010,27.6,34.7,20.5,48.2,1.2,147.2,10,14,0,12,1,0,84%,75%,60%
2011,27.6,34.7,20.5,48.6,0.3,109.0,15,21,0,28,4,0,98%,97%,95%
2012,26.9,34.0,19.9,47.6,-0.8,58.0,9,17,0,14,2,1,99%,98%,95%
2013,27.2,34.2,20.2,48.2,-0.9,93.8,13,23,1,27,0,1,98%,98%,96%
2014,27.0,34.0,19.9,47.3,1.3,95.1,13,15,0,17,1,0,99%,99%,98%
2015,27.6,34.7,20.5,47.6,2.2,45.5,9,12,0,13,2,0,99%,99%,99%
2016,27.9,35.2,20.6,47.5,5.1,25.7,5,10,0,12,1,0,99%,99%,98%
2017,27.3,34.7,19.9,48.9,0.4,139.2,15,21,0,9,1,0,99%,99%,98%
2018,28.0,35.3,20.7,49.1,3.9,50.5,6,11,0,13,1,0,99%,98%,98%
2019,27.3,33.9,20.7,47.9,3.6,171.9,25,32,0,24,1,0,100%,98%,98%
2020,26.8,34.0,19.7,48.1,2.5,147.0,16,20,0,9,5,0,100%,98%,98%
2021,28.0,35.6,20.4,49.1,-1.1,45.0,7,11,0,15,0,2,98%,97%,96%
2022,27.9,35.2,20.6,47.3,2.1,133.7,13,18,0,9,3,0,98%,98%,97%
2023,28.1,35.3,21.0,47.3,0.3,61.1,13,22,0,25,0,0,99%,98%,97%
