Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,14.0,20.6,7.4,36.6,-10.0,9.4,3,10,0,0,2,71,27%,22%,48%
2001,15.1,22.6,7.7,41.0,-12.2,72.4,11,20,1,0,2,73,30%,26%,51%
2002,14.5,19.8,9.1,47.7,-9.0,61.7,9,19,2,1,0,73,30%,24%,37%
2003,13.5,15.8,10.3,47.2,-11.6,61.9,11,18,1,3,0,66,4%,6%,62%
2004,17.1,24.8,8.3,37.0,-18.6,96.1,17,26,2,2,0,53,26%,22%,74%
2005,14.5,21.8,7.1,37.0,-9.8,32.0,7,8,2,2,0,92,42%,40%,85%
2006,14.5,21.4,7.5,38.0,-11.6,60.4,12,18,4,2,1,83,52%,48%,80%
2007,14.3,21.8,6.8,36.6,-11.4,541.6,22,34,6,12,0,83,93%,92%,70%
2008,14.4,22.1,6.8,36.4,-14.8,336.7,9,26,16,4,3,79,95%,95%,83%
2009,14.7,21.4,8.0,36.4,-10.0,148.8,18,39,7,9,3,67,83%,75%,62%
2010,15.4,22.9,7.9,38.2,-13.0,30.2,8,22,1,9,0,76,84%,76%,62%
2011,14.5,22.1,7.0,37.2,-11.6,147.9,21,35,6,5,2,98,99%,99%,96%
2012,13.9,21.1,6.7,38.2,-12.0,143.8,24,39,3,13,1,83,100%,98%,98%
2013,14.9,22.4,7.4,38.0,-13.6,158.1,21,36,4,14,1,67,99%,98%,98%
2014,14.3,21.8,6.9,37.4,-19.8,124.0,15,30,10,9,5,100,100%,98%,98%
2015,14.8,22.1,7.4,35.8,-14.0,116.3,28,36,10,7,4,77,99%,97%,98%
2016,15.2,23.0,7.3,37.6,-9.4,69.5,15,26,5,6,0,72,99%,99%,97%
2017,15.0,23.0,7.0,37.0,-12.6,84.5,18,31,1,7,1,93,100%,98%,97%
2018,15.5,23.2,7.8,37.2,-10.4,99.0,23,38,2,10,1,64,99%,98%,98%
2019,15.2,22.7,7.7,38.7,-8.0,184.1,31,43,4,10,0,90,100%,98%,96%
2020,15.1,22.6,7.6,39.3,-11.4,299.8,29,44,7,13,5,74,100%,98%,96%
2021,15.5,23.6,7.4,38.6,-11.0,75.1,18,25,2,7,0,74,98%,96%,96%
2022,15.4,23.0,7.8,39.3,-11.2,128.5,24,35,3,9,0,69,98%,98%,96%
2023,15.2,23.1,7.3,38.3,-17.5,110.9,17,35,4,0,0,84,99%,100%,96%
