Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,13.5,18.5,8.4,38.8,-12.4,1044.4,23,37,12,17,1,89,27%,22%,63%
2001,14.0,19.2,8.8,38.4,-9.4,105.9,24,45,12,17,1,75,32%,28%,71%
2002,13.1,18.3,7.9,35.6,-16.0,149.9,30,52,13,18,0,84,37%,33%,70%
2003,13.0,13.7,10.5,39.8,-8.6,1067.3,30,56,24,32,8,75,4%,4%,68%
2004,17.3,22.6,12.0,37.6,-13.6,126.3,23,41,17,20,4,75,25%,22%,72%
2005,13.5,18.5,8.5,37.8,-16.6,45.1,12,26,14,12,1,80,46%,44%,75%
2006,13.7,18.9,8.4,40.6,-14.8,38.4,12,26,12,15,0,99,46%,44%,74%
2007,13.0,18.8,7.1,37.8,-16.2,231.4,46,85,40,44,6,107,97%,96%,85%
2008,13.5,19.6,7.4,41.0,-19.1,380.0,36,66,19,50,6,92,99%,95%,91%
2009,13.4,19.2,7.7,37.6,-13.4,223.4,47,92,16,42,3,75,97%,92%,89%
2010,15.3,21.5,9.1,39.2,-10.2,189.7,43,68,16,52,6,62,97%,93%,85%
2011,12.7,18.4,6.9,41.0,-11.6,1177.7,53,99,39,53,20,111,98%,97%,97%
2012,13.8,19.6,8.0,38.8,-13.2,208.1,46,84,36,67,6,102,100%,97%,97%
2013,13.3,19.2,7.3,37.6,-18.0,263.0,49,80,21,41,3,79,98%,97%,98%
2014,14.0,19.7,8.2,39.8,-13.6,353.5,48,84,12,51,5,88,99%,97%,97%
2015,13.9,19.8,8.1,40.2,-10.4,286.3,52,91,25,54,6,98,99%,96%,98%
2016,13.2,19.4,7.1,39.4,-16.1,287.0,52,85,25,38,11,94,99%,97%,98%
2017,13.6,19.6,7.5,39.4,-16.0,202.6,30,57,22,39,2,99,99%,98%,98%
2018,15.0,20.6,9.4,41.0,-13.0,395.0,68,89,19,53,5,53,98%,96%,98%
2019,13.8,19.5,8.2,40.0,-8.6,264.4,46,70,22,46,11,83,99%,96%,99%
2020,13.2,18.6,7.9,40.4,-15.2,341.0,58,88,32,55,16,85,100%,96%,97%
2021,14.5,20.4,8.5,39.8,-13.6,247.5,42,59,12,42,7,86,97%,95%,97%
2022,14.2,20.2,8.2,39.8,-19.2,160.4,39,67,27,42,10,91,98%,98%,97%
2023,14.2,20.5,7.9,38.4,-11.4,200.7,42,66,16,47,8,89,99%,99%,97%
