Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,18.9,24.7,13.1,42.2,-6.6,135.1,26,32,3,1,0,27,30%,26%,79%
2001,19.1,25.0,13.1,43.0,-8.0,79.1,17,36,4,7,0,22,33%,27%,73%
2002,18.9,25.0,12.7,47.8,-7.8,132.5,25,46,5,16,1,45,42%,39%,76%
2003,17.8,23.5,12.0,44.2,-10.4,159.8,25,43,3,15,0,34,38%,37%,72%
2004,17.3,24.3,10.3,44.0,-4.4,1368.2,20,33,2,9,3,44,74%,73%,78%
2005,17.8,24.3,11.3,44.4,-7.2,65.4,7,16,2,9,0,55,43%,42%,81%
2006,18.4,24.9,11.9,43.8,-11.4,56.9,13,18,5,5,4,54,46%,43%,78%
2007,17.0,24.4,9.6,42.6,-10.6,295.7,33,51,5,18,2,60,96%,94%,91%
2008,17.3,24.6,10.1,43.6,-20.8,50.9,13,28,8,7,0,68,97%,96%,91%
2009,18.1,24.1,12.1,41.6,-4.4,184.1,33,59,1,30,5,25,96%,93%,87%
2010,19.5,26.2,12.8,44.0,-4.8,151.4,26,39,2,26,0,25,97%,92%,83%
2011,18.3,24.6,12.0,43.2,-4.4,295.1,36,60,11,30,6,60,99%,97%,99%
2012,17.7,24.0,11.5,43.4,-10.2,189.6,32,54,17,23,7,52,100%,98%,97%
2013,19.1,25.7,12.4,42.9,-7.2,97.4,15,31,4,17,2,41,99%,98%,99%
2014,18.5,24.9,12.0,45.4,-11.2,162.4,33,57,2,24,4,35,100%,97%,98%
2015,19.1,25.5,12.7,43.4,-4.2,119.6,28,49,3,22,4,30,99%,98%,99%
2016,19.3,25.9,12.7,43.1,-8.0,136.4,26,47,2,20,1,33,99%,98%,98%
2017,19.0,25.7,12.4,43.4,-5.3,134.1,20,26,2,14,1,42,100%,98%,99%
2018,19.5,25.8,13.2,43.1,-6.9,139.7,18,35,1,14,1,20,99%,97%,98%
2019,18.9,25.1,12.7,46.0,-4.3,300.6,37,57,1,23,2,16,99%,97%,98%
2020,18.2,24.4,12.1,42.5,-5.4,329.6,36,52,5,20,1,39,100%,98%,98%
2021,19.7,26.4,13.0,45.7,-8.3,108.7,15,22,2,10,0,36,97%,96%,97%
2022,19.7,26.2,13.2,44.7,-4.4,116.8,24,41,0,23,1,21,99%,99%,98%
2023,19.8,26.5,13.1,43.9,-11.9,74.2,19,31,1,21,4,31,99%,98%,98%
