Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,25.8,31.7,19.9,45.6,-33.2,111.1,4,4,1,4,2,5,40%,28%,68%
2001,27.0,32.0,22.1,43.2,-24.6,13.8,2,4,3,2,7,1,37%,32%,81%
2002,27.1,31.9,22.4,50.0,0.0,89.2,6,10,0,4,2,1,44%,39%,86%
2003,23.1,30.9,18.6,42.0,6.0,31.7,6,12,4,12,7,1,3%,3%,84%
2004,29.3,34.0,26.7,45.0,6.6,1.3,0,3,1,2,9,0,32%,28%,89%
2005,27.0,31.7,22.3,45.0,6.0,66.3,5,9,0,2,5,0,54%,50%,85%
2006,27.1,31.9,22.4,46.5,5.4,46.4,7,7,0,10,1,0,57%,53%,88%
2007,27.4,32.7,22.1,43.5,4.0,95.9,9,12,0,14,7,0,96%,94%,73%
2008,26.6,31.8,21.4,43.7,0.0,97.8,14,15,0,8,7,1,95%,96%,85%
2009,27.4,32.4,22.3,46.5,6.4,167.0,14,25,0,18,6,0,89%,87%,73%
2010,27.6,33.0,22.3,46.6,4.8,20.3,5,7,0,15,5,0,86%,78%,62%
2011,27.4,32.5,22.2,44.9,4.6,108.0,11,17,0,14,3,0,100%,98%,92%
2012,27.4,32.8,22.0,46.5,5.1,84.0,7,12,0,14,2,0,98%,98%,93%
2013,26.9,31.8,22.0,43.9,4.1,46.8,8,16,0,13,5,0,98%,99%,93%
2014,26.9,32.0,21.8,47.2,7.2,312.3,14,22,0,22,6,0,100%,97%,95%
2015,27.8,33.0,22.5,46.7,6.2,153.5,13,23,1,27,4,0,99%,98%,97%
2016,27.3,32.8,21.9,46.5,7.2,11.0,4,14,0,18,8,0,98%,98%,94%
2017,27.7,33.3,22.0,45.6,5.0,228.9,24,32,0,24,6,0,99%,99%,99%
2018,27.5,33.2,21.8,44.8,6.5,25.1,6,10,0,19,2,0,99%,98%,96%
2019,27.1,32.3,21.9,46.3,6.7,299.5,26,31,1,22,1,0,100%,98%,98%
2020,27.2,33.1,21.3,46.6,4.9,282.3,15,17,0,17,4,0,100%,99%,98%
2021,27.9,33.9,22.0,45.5,2.3,13.0,6,6,0,21,10,0,98%,98%,95%
2022,27.8,33.2,22.4,44.0,7.5,230.5,11,16,0,17,11,0,98%,99%,97%
2023,27.9,33.0,22.7,45.8,8.0,77.4,11,13,0,17,3,0,99%,99%,97%
