Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,27.1,28.1,26.2,40.0,-38.2,19.6,3,7,1,3,4,2,6%,5%,34%
2001,28.6,29.5,27.2,55.6,10.4,0.5,0,3,1,1,6,1,4%,5%,41%
2002,27.0,27.6,25.5,50.0,2.5,6.3,4,7,2,7,7,0,5%,5%,43%
2003,23.5,23.9,26.3,38.0,10.3,42.9,9,13,0,11,2,0,1%,2%,63%
2004,29.9,33.3,26.5,43.0,10.4,0.1,0,1,0,1,17,0,26%,23%,70%
2005,27.4,30.6,24.1,41.5,10.4,16.5,3,4,0,4,9,0,38%,34%,71%
2006,27.6,30.9,24.2,41.4,1.2,50.0,4,8,0,7,8,0,54%,49%,83%
2007,28.1,31.8,24.3,42.0,13.6,58.8,10,14,0,14,9,0,95%,93%,77%
2008,27.5,31.3,23.7,42.6,11.8,138.8,8,11,0,12,16,0,94%,92%,73%
2009,27.7,31.4,24.1,44.0,11.4,145.9,18,21,0,18,14,0,83%,76%,58%
2010,28.5,32.4,24.7,43.0,14.0,17.2,4,5,0,5,7,0,83%,76%,57%
2011,27.9,31.6,24.2,44.2,15.0,124.7,11,19,0,8,11,0,98%,98%,95%
2012,27.8,31.8,23.9,46.2,11.4,91.8,9,14,0,9,9,0,99%,98%,97%
2013,27.6,31.3,23.8,41.8,14.0,151.0,9,14,0,12,10,0,99%,98%,98%
2014,27.6,31.4,23.7,43.6,12.4,115.6,14,20,0,11,12,0,99%,98%,96%
2015,28.3,32.2,24.3,44.4,12.8,142.6,13,17,0,7,13,0,100%,99%,97%
2016,28.0,31.8,24.1,42.8,14.4,31.7,9,13,0,10,22,0,99%,98%,91%
2017,28.4,32.3,24.5,44.0,7.6,374.4,22,32,0,18,25,0,99%,98%,99%
2018,28.4,32.3,24.5,42.8,14.4,92.4,6,10,0,9,23,0,100%,98%,98%
2019,28.0,31.6,24.4,43.4,14.6,339.5,28,40,0,40,15,0,99%,97%,98%
2020,28.1,32.0,24.2,41.6,11.6,120.0,13,22,0,13,18,0,99%,98%,96%
2021,28.8,32.7,24.8,42.6,14.4,59.9,4,7,0,7,17,0,97%,97%,95%
2022,28.0,32.3,23.7,42.8,12.2,116.4,13,18,0,11,15,0,98%,97%,96%
2023,28.1,32.1,24.2,42.0,11.0,143.5,9,16,0,9,18,0,99%,98%,93%
