Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,26.1,33.4,18.7,51.8,3.4,34.3,10,18,0,3,26,0,39%,32%,71%
2001,26.6,34.0,19.1,56.0,2.6,79.0,9,16,2,7,18,0,37%,33%,68%
2002,26.2,33.6,18.9,50.6,0.0,33.5,7,11,0,4,8,1,40%,36%,78%
2003,26.5,33.7,19.2,51.0,0.4,25.2,7,14,0,8,26,0,41%,40%,78%
2004,25.6,33.0,18.2,51.0,-0.8,72.5,8,13,0,5,17,1,74%,68%,80%
2005,25.8,32.9,18.7,50.4,3.6,35.8,4,6,0,2,11,0,42%,39%,81%
2006,26.1,33.0,19.3,50.2,0.2,58.4,8,16,0,6,11,0,51%,47%,81%
2007,26.2,33.6,18.8,50.2,0.4,220.9,21,26,0,12,17,0,92%,91%,64%
2008,26.5,33.9,19.0,51.6,-1.0,86.5,11,17,0,5,53,5,94%,92%,81%
2009,26.7,33.8,19.5,50.4,-1.2,94.4,13,26,0,11,45,2,88%,86%,67%
2010,28.0,35.0,20.9,52.0,3.2,103.1,9,18,0,15,33,0,86%,74%,63%
2011,26.3,33.8,18.8,52.0,0.2,81.9,17,30,0,18,29,0,99%,96%,95%
2012,27.0,34.3,19.7,52.0,-1.8,125.3,18,26,0,19,32,2,99%,96%,94%
2013,26.5,33.6,19.5,51.8,2.0,140.9,11,28,0,9,20,0,99%,98%,97%
2014,27.0,33.9,20.0,50.0,5.0,93.7,16,24,0,7,26,0,97%,96%,97%
2015,27.5,34.5,20.4,51.4,3.2,145.5,19,24,2,13,18,0,99%,99%,95%
2016,27.2,34.6,19.8,51.4,2.0,211.1,17,19,0,11,11,0,98%,97%,93%
2017,27.8,35.4,20.3,52.3,1.4,73.7,11,17,0,5,11,0,99%,98%,94%
2018,28.0,35.0,21.0,51.3,3.8,182.8,25,38,0,27,27,0,99%,97%,95%
2019,27.3,33.9,20.6,49.8,3.2,268.8,21,34,0,24,14,0,99%,97%,96%
2020,27.5,34.4,20.6,52.5,3.1,121.3,19,32,0,24,13,0,100%,98%,98%
2021,28.2,35.8,20.7,51.7,3.4,28.5,5,13,0,9,9,0,98%,97%,95%
2022,27.9,34.9,20.9,53.0,2.7,121.5,17,25,0,27,46,0,98%,98%,94%
2023,27.4,34.6,20.1,51.3,5.3,148.7,21,34,0,26,32,0,99%,98%,97%
