Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,29.2,20.7,28.9,33.8,23.6,0.0,0,0,0,0,0,0,1%,1%,0%
2001,22.4,22.4,23.0,22.4,22.4,0.0,0,0,0,0,0,0,0%,0%,0%
2002,31.1,31.2,22.4,33.6,12.8,0.0,0,0,0,0,0,0,1%,0%,0%
2003,23.2,28.0,17.9,43.4,-1.9,0.0,0,0,0,0,0,1,2%,2%,1%
2004,27.3,29.0,25.6,54.0,4.8,0.0,0,0,1,0,0,0,19%,13%,16%
2005,26.7,31.7,21.7,42.4,1.0,0.0,0,0,0,0,0,0,26%,17%,32%
2006,27.0,31.9,22.1,47.0,-0.2,6.7,1,2,0,0,3,2,31%,20%,40%
2007,25.1,30.8,19.3,42.0,-0.8,5.5,3,4,0,1,13,1,32%,29%,8%
2008,26.3,31.1,21.5,44.0,3.8,82.0,8,8,0,7,24,0,68%,68%,17%
2009,26.7,30.5,23.0,50.0,9.2,60.0,7,7,0,3,6,0,23%,24%,2%
2010,24.8,25.6,24.0,25.6,24.0,-,-,-,0,0,0,0,0%,0%,0%
2011,21.4,24.7,18.1,28.6,7.0,0.0,0,0,0,0,2,0,3%,2%,2%
2012,26.8,32.2,21.5,46.2,1.3,73.3,3,6,0,2,23,0,70%,71%,30%
2013,26.9,30.6,23.3,56.6,-5.2,11.3,1,5,0,3,16,2,49%,50%,4%
2014,19.5,22.5,16.5,26.0,8.6,6.0,1,1,0,0,0,0,4%,5%,0%
2015,26.3,30.4,22.2,42.2,10.2,0.0,0,0,0,1,5,0,14%,12%,1%
2016,22.5,24.2,20.8,31.0,9.4,0.0,0,0,0,0,0,0,3%,3%,0%
2017,27.8,30.7,24.9,50.7,-1.9,0.0,0,0,0,1,6,1,25%,26%,1%
2018,-,-,-,-,-,-,-,-,0,0,0,0,0%,0%,0%
2019,29.6,32.8,26.5,44.5,11.2,12.0,3,3,0,2,4,0,35%,32%,1%
2020,27.1,28.1,26.2,38.6,11.0,99.0,1,1,0,0,2,0,7%,6%,0%
2021,-,-,-,-,-,-,-,-,0,0,0,0,0%,0%,0%
2022,-,-,-,-,-,-,-,-,0,0,0,0,0%,0%,0%
2023,-,-,-,-,-,-,-,-,0,0,0,0,0%,0%,0%
