Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,28.4,30.1,26.8,40.2,0.0,0.0,0,0,0,0,0,1,40%,22%,0%
2001,29.0,29.4,28.7,39.8,0.0,0.0,0,0,0,0,2,2,13%,13%,0%
2002,29.5,29.2,29.7,51.0,5.0,20.8,1,3,0,0,2,0,14%,14%,0%
2003,28.8,29.0,28.6,37.6,-3.8,15.0,2,2,2,1,1,1,9%,9%,1%
2004,29.6,30.3,28.9,39.8,15.4,0.0,0,0,2,0,0,0,35%,20%,1%
2005,29.0,29.8,27.9,39.6,10.7,13.0,2,2,0,0,0,0,49%,14%,0%
2006,28.0,30.0,26.0,40.0,12.1,13.9,2,5,0,2,0,0,58%,21%,0%
2007,28.1,30.4,25.7,39.0,11.3,0.0,0,0,1,2,2,0,95%,89%,0%
2008,27.7,30.0,25.4,38.8,13.6,43.9,7,10,1,3,1,0,95%,88%,0%
2009,28.1,30.5,25.6,40.6,12.5,31.3,5,9,0,4,0,0,83%,72%,0%
2010,28.7,31.4,26.0,39.0,10.4,23.5,3,4,0,4,2,0,86%,73%,0%
2011,28.1,30.9,25.4,43.0,15.2,34.8,2,6,0,2,0,0,99%,94%,0%
2012,27.9,30.8,25.1,40.4,11.6,36.3,3,4,1,3,1,0,99%,93%,0%
2013,27.9,30.5,25.3,37.8,10.0,36.9,3,6,0,5,3,0,96%,90%,0%
2014,27.9,30.6,25.2,44.4,11.2,12.5,4,5,0,2,1,0,97%,90%,0%
2015,28.3,31.2,25.4,41.6,11.4,12.0,4,4,0,1,0,0,98%,96%,0%
2016,28.4,31.1,25.7,39.8,12.4,670.4,4,5,0,3,3,0,99%,97%,0%
2017,28.5,31.3,25.8,41.9,10.0,38.2,7,12,0,10,4,0,99%,97%,0%
2018,28.6,31.3,25.9,40.4,15.8,8.0,1,1,0,4,6,0,100%,97%,0%
2019,28.2,30.8,25.6,42.4,15.4,51.8,7,14,0,23,4,0,100%,98%,0%
2020,28.3,31.0,25.6,38.6,13.4,22.2,4,6,0,12,3,0,100%,98%,0%
2021,29.1,31.7,26.4,43.4,15.0,11.0,1,1,0,2,7,0,98%,98%,0%
2022,28.6,31.4,25.8,38.8,10.4,3.2,1,6,0,3,10,0,99%,99%,0%
2023,28.5,31.3,25.6,39.8,13.0,189.8,6,9,0,6,7,0,100%,99%,0%
