Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2000,25.5,27.4,24.9,50.8,3.2,379.5,5,6,0,2,10,0,2%,2%,49%
2001,24.1,26.0,23.8,50.2,4.8,1070.8,18,25,0,6,6,0,1%,1%,51%
2002,21.3,21.1,22.1,46.6,-3.3,129.3,18,24,0,6,5,1,4%,5%,46%
2003,20.1,29.5,10.0,45.2,-18.2,158.7,24,31,1,3,10,2,1%,1%,63%
2004,29.0,33.4,22.8,48.0,1.6,94.9,17,24,0,8,4,0,28%,26%,72%
2005,25.1,30.8,19.3,48.4,2.2,48.9,10,12,0,7,8,0,44%,42%,74%
2006,25.4,31.2,19.6,49.0,0.8,209.3,20,25,0,16,8,0,54%,51%,73%
2007,25.3,31.8,18.8,49.6,0.6,259.5,31,49,0,36,20,0,91%,89%,59%
2008,25.9,32.1,19.6,50.0,0.6,167.4,19,22,1,16,18,0,92%,92%,77%
2009,25.5,31.4,19.6,48.0,-1.4,270.9,36,44,0,28,13,2,82%,75%,65%
2010,27.2,33.7,20.6,51.2,1.4,222.8,23,30,0,22,6,0,84%,75%,63%
2011,25.6,31.9,19.3,52.0,3.2,305.1,31,38,0,22,20,0,99%,97%,94%
2012,25.9,32.2,19.7,51.0,-3.6,440.4,37,42,0,29,17,2,99%,96%,94%
2013,25.5,32.1,18.9,51.0,1.2,279.2,31,38,0,9,7,0,98%,96%,96%
2014,26.0,32.4,19.6,49.9,2.1,398.5,33,40,0,19,23,0,98%,97%,97%
2015,26.6,32.8,20.5,48.9,2.1,446.3,41,48,0,20,11,0,99%,97%,98%
2016,26.3,32.8,19.7,50.4,0.9,365.1,23,33,0,18,11,0,99%,97%,92%
2017,26.9,33.5,20.3,49.8,-1.1,143.8,20,29,0,12,1,2,100%,98%,98%
2018,26.7,32.9,20.6,49.6,3.4,493.3,37,52,0,19,22,0,99%,97%,99%
2019,25.9,32.4,19.4,49.4,2.7,547.1,50,54,0,25,16,0,99%,96%,97%
2020,26.1,32.7,19.6,50.1,-0.2,450.5,38,43,0,31,10,1,100%,96%,95%
2021,27.1,34.0,20.3,48.9,2.9,95.8,12,20,0,7,3,0,97%,96%,94%
2022,26.6,32.9,20.2,49.8,0.0,199.1,24,30,0,13,22,1,98%,97%,96%
2023,26.0,32.7,19.2,49.5,2.6,376.6,37,46,0,12,28,0,99%,98%,92%
