Year ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
2005,14.0,14.0,14.0,14.0,14.0,-,-,-,0,0,0,0,0%,0%,0%
2007,7.2,7.2,7.2,7.2,7.2,0.0,0,0,0,0,0,0,0%,0%,0%
2008,17.9,22.7,13.1,41.4,-7.0,141.2,35,54,7,12,9,29,91%,87%,77%
2009,17.9,21.9,13.9,40.0,-2.0,304.4,54,70,4,10,18,3,73%,64%,51%
2010,19.8,24.0,15.6,42.6,-3.6,175.7,38,51,7,8,26,7,78%,66%,44%
2011,17.2,21.5,12.9,45.0,-4.0,422.1,67,92,10,11,31,13,96%,89%,92%
2012,18.4,23.0,13.8,41.0,-7.0,578.2,64,88,26,24,22,35,98%,91%,94%
2013,18.3,22.8,13.8,40.6,-3.8,349.9,51,78,4,6,26,7,94%,89%,92%
2014,19.2,24.2,14.1,42.6,-10.4,267.1,35,53,7,12,13,13,81%,78%,80%
2015,20.7,25.8,15.7,44.9,0.5,168.5,31,46,1,5,15,0,79%,76%,73%
2016,18.3,23.2,13.4,42.4,-14.2,343.2,60,82,11,10,37,14,96%,93%,90%
2017,18.9,24.1,13.6,45.4,-4.6,208.6,41,58,9,6,19,10,98%,94%,98%
2018,19.0,23.9,14.1,45.8,-3.7,332.8,53,83,4,6,39,5,97%,91%,98%
2019,18.7,23.5,14.0,44.4,-2.7,511.6,58,81,7,12,32,6,98%,92%,99%
2020,18.3,23.2,13.3,45.3,-4.4,339.5,55,82,9,11,17,13,98%,93%,98%
2021,20.1,25.4,14.8,47.1,-5.6,286.8,35,49,5,7,22,11,95%,91%,95%
2022,19.5,24.5,14.4,44.1,-1.2,302.4,54,83,5,13,20,5,97%,93%,97%
2023,19.9,25.6,14.3,42.4,-5.6,252.6,35,58,3,22,20,14,97%,92%,97%
