Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,07/06/2001,21Z,30.4,19%,999.8 Hpa,310º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ABADAN,07/06/2001,18Z,33.8,13%,1000.1 Hpa,320º (NW),14.4,0/8,-,-,-,-,-,-,Clear
ABADAN,07/06/2001,15Z,42.4,7%,998.9 Hpa,300º (NW),32.4,0/8,-,-,-,-,45.2,-,Clear
ABADAN,07/06/2001,09Z,42.8,3%,-,320º (NW),32.4,0/8,-,-,-,-,-,-,Clear
ABADAN,07/06/2001,06Z,37.2,9%,1000.6 Hpa,320º (NW),28.8,0/8,-,-,-,-,-,-,Clear
ABADAN,07/06/2001,03Z,27.0,22%,999.7 Hpa,320º (NW),14.4,0/8,-,-,-,-,-,25.2,Clear
ABADAN,07/06/2001,00Z,31.0,15%,999.0 Hpa,330º (NW),32.4,0/8,-,-,-,-,-,-,Clear
ABADEH,07/06/2001,21Z,22.0,15%,994.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,07/06/2001,18Z,26.4,13%,993.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,07/06/2001,15Z,32.0,8%,993.0 Hpa,210º (SW),18.0,3/8,-,0/8 AC,-,-,34.4,-,Scattered clouds
ABADEH,07/06/2001,09Z,32.0,7%,995.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,07/06/2001,06Z,28.6,12%,994.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,07/06/2001,03Z,19.2,23%,994.9 Hpa,calm.,,0/8,-,-,-,-,-,18.0,Clear
ABADEH,07/06/2001,00Z,20.2,18%,994.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABU MUSA,07/06/2001,12Z,32.0,259%,996.6 Hpa,270º (W ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,07/06/2001,06Z,30.6,13%,998.8 Hpa,030º (NE),7.2,0/8,-,-,-,-,-,-,"Clear, mist"
AHAR,07/06/2001,21Z,15.0,56%,-,080º (E ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,07/06/2001,18Z,18.4,39%,1005.4 Hpa,090º (E ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,07/06/2001,15Z,22.6,32%,-,020º (N),7.2,1/8,-,-,-,-,-,-,Few clouds
AHAR,07/06/2001,09Z,23.2,30%,999.7 Hpa,calm.,,1/8,1/8 CU,-,-,-,-,-,Few clouds
AHAR,07/06/2001,06Z,19.2,45%,999.6 Hpa,110º (E ),7.2,0/8,-,-,-,-,-,-,Clear
AHAR,07/06/2001,03Z,15.6,34%,997.9 Hpa,calm.,,0/8,-,-,-,-,-,13.4,Clear
AHAR,07/06/2001,00Z,12.4,63%,1007.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,21Z,32.2,,998.9 Hpa,300º (NW),14.4,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,18Z,35.4,18%,999.1 Hpa,300º (NW),14.4,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,15Z,42.0,13%,994.8 Hpa,320º (NW),28.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,12Z,,0%,998.6 Hpa,330º (NW),21.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,09Z,41.0,17%,999.4 Hpa,320º (NW),18.0,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,06Z,33.4,23%,999.4 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,07/06/2001,03Z,26.2,33%,998.4 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,26.0,Clear
AHWAZ,07/06/2001,00Z,27.4,22%,998.2 Hpa,310º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,21Z,16.2,19%,-,110º (E ),14.4,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,18Z,28.0,11%,1001.0 Hpa,310º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,15Z,28.0,11%,-,310º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,09Z,28.6,12%,999.5 Hpa,310º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,06Z,23.0,18%,1000.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,03Z,13.4,22%,-,150º (SE),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,07/06/2001,00Z,13.4,23%,1000.8 Hpa,120º (SE),28.8,0/8,-,-,-,-,-,-,Clear
ANZALI,07/06/2001,21Z,20.4,83%,-,110º (E ),10.8,6/8,-,-,-,-,-,-,Cloudy
ANZALI,07/06/2001,18Z,21.8,82%,1010.9 Hpa,110º (E ),10.8,2/8,2/8 SC,-,-,-,-,-,Few clouds
ANZALI,07/06/2001,15Z,23.6,74%,-,140º (SE),7.2,6/8,-,-,-,-,-,-,Cloudy
ANZALI,07/06/2001,12Z,23.0,79%,1007.6 Hpa,080º (E ),14.4,7/8,3/8 SC,AC,-,-,-,-,Cloudy
ANZALI,07/06/2001,09Z,23.4,74%,-,070º (E ),10.8,8/8,-,-,-,-,-,-,Overcast
ANZALI,07/06/2001,06Z,22.4,76%,1006.8 Hpa,calm.,,8/8,5/8 SC,AC,,-,-,-,Overcast
ANZALI,07/06/2001,03Z,22.0,84%,-,010º (N),18.0,7/8,-,-,-,-,-,-,Cloudy
ANZALI,07/06/2001,00Z,20.4,80%,1011.6 Hpa,calm.,,7/8,2/8 SC,AC,-,-,-,-,Cloudy
ARAK,07/06/2001,21Z,19.0,12%,998.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,07/06/2001,18Z,26.6,8%,998.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,07/06/2001,15Z,31.0,7%,998.7 Hpa,240º (SW),7.2,0/8,-,-,-,-,33.6,-,Clear
ARAK,07/06/2001,12Z,33.2,5%,997.7 Hpa,270º (W ),18.0,0/8,-,-,-,-,-,-,Clear
ARAK,07/06/2001,09Z,32.6,1%,995.5 Hpa,270º (W ),21.6,0/8,-,-,-,-,-,-,Clear
ARAK,07/06/2001,06Z,25.6,8%,999.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,07/06/2001,03Z,17.6,18%,998.3 Hpa,calm.,,0/8,-,-,-,-,-,15.0,Clear
ARAK,07/06/2001,00Z,16.0,16%,998.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,21Z,10.0,87%,-,030º (NE),10.8,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,18Z,12.4,79%,1008.0 Hpa,090º (E ),36.0,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,15Z,17.0,61%,-,090º (E ),36.0,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,09Z,20.4,55%,-,120º (SE),36.0,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,06Z,19.0,55%,1002.6 Hpa,030º (NE),18.0,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,03Z,12.0,65%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,07/06/2001,00Z,12.0,93%,1010.1 Hpa,calm.,,4/8,-,3/8 AC,-,-,-,-,Scattered clouds
BABULSAR,07/06/2001,21Z,22.4,77%,-,320º (NW),14.4,7/8,-,-,-,-,-,-,Cloudy
BABULSAR,07/06/2001,18Z,22.8,74%,1009.4 Hpa,310º (NW),10.8,0/8,-,-,-,-,-,-,Clear
BABULSAR,07/06/2001,15Z,24.0,70%,-,310º (NW),10.8,2/8,-,-,-,-,-,-,Few clouds
BABULSAR,07/06/2001,12Z,26.0,65%,1007.2 Hpa,310º (NW),21.6,4/8,4/8 CB,-,-,-,-,-,Scattered clouds
BABULSAR,07/06/2001,09Z,25.0,63%,-,270º (W ),25.2,2/8,-,-,-,-,-,-,Few clouds
BABULSAR,07/06/2001,06Z,24.6,66%,1005.6 Hpa,290º (W ),36.0,6/8,3/8 CB,AC,-,-,-,-,Cloudy
BABULSAR,07/06/2001,03Z,22.2,86%,-,210º (SW),7.2,5/8,-,-,-,-,-,-,Cloudy
BABULSAR,07/06/2001,00Z,22.4,77%,1011.6 Hpa,calm.,,8/8,4/8 ST,AC,,-,-,-,Overcast
BAFT,07/06/2001,21Z,20.6,21%,994.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAFT,07/06/2001,18Z,24.2,16%,993.4 Hpa,calm.,,2/8,2/8 SC,-,-,-,-,-,Few clouds
BAFT,07/06/2001,15Z,29.4,17%,992.3 Hpa,210º (SW),10.8,4/8,4/8 SC,-,-,-,32.8,-,Scattered clouds
BAFT,07/06/2001,09Z,31.0,15%,994.0 Hpa,calm.,,2/8,2/8 CU,-,-,-,-,-,Few clouds
BAFT,07/06/2001,06Z,28.4,20%,993.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAFT,07/06/2001,03Z,21.6,29%,994.8 Hpa,calm.,,0/8,-,-,-,-,-,17.8,Clear
BAFT,07/06/2001,00Z,19.0,26%,994.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAM,07/06/2001,21Z,28.4,16%,991.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAM,07/06/2001,18Z,30.4,16%,992.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAM,07/06/2001,15Z,38.6,10%,991.2 Hpa,calm.,,0/8,-,-,-,-,43.0,-,Clear
BAM,07/06/2001,09Z,39.4,7%,993.8 Hpa,090º (E ),10.8,0/8,-,-,-,-,-,-,Clear
BAM,07/06/2001,06Z,37.0,10%,995.2 Hpa,120º (SE),14.4,0/8,-,-,-,-,-,-,Clear
BAM,07/06/2001,03Z,28.6,19%,993.6 Hpa,calm.,,0/8,-,-,-,-,-,26.8,Clear
BAM,07/06/2001,00Z,27.0,15%,993.3 Hpa,310º (NW),14.4,0/8,-,-,-,-,-,-,Clear
BANDAR LENGEH,07/06/2001,15Z,31.6,79%,995.1 Hpa,210º (SW),7.2,0/8,-,-,-,-,34.0,-,"Clear, haze"
BANDAR LENGEH,07/06/2001,09Z,32.2,62%,997.7 Hpa,180º (S ),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,07/06/2001,06Z,32.6,72%,997.5 Hpa,090º (E ),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,07/06/2001,03Z,28.6,91%,-,calm.,,2/8,-,-,-,-,-,-,Few clouds
BANDARABBASS,07/06/2001,21Z,30.0,82%,996.5 Hpa,190º (S ),7.2,3/8,-,3/8 AC,-,-,-,-,"Scattered clouds, mist"
BANDARABBASS,07/06/2001,18Z,31.6,67%,996.7 Hpa,190º (S ),7.2,1/8,-,1/8 AC,-,-,-,18.1,"Few clouds, haze"
BANDARABBASS,07/06/2001,15Z,33.0,,995.4 Hpa,180º (S ),10.8,0/8,-,-,-,-,35.0,-,"Clear, haze"
BANDARABBASS,07/06/2001,12Z,34.2,67%,996.2 Hpa,190º (S ),21.6,0/8,-,-,-,-,-,-,"Clear, haze"
BANDARABBASS,07/06/2001,09Z,34.6,64%,998.6 Hpa,160º (S ),18.0,3/8,3/8 CU,-,-,-,-,-,"Scattered clouds, haze"
BANDARABBASS,07/06/2001,06Z,32.8,66%,999.1 Hpa,170º (S ),14.4,4/8,4/8 CU,-,-,-,-,-,"Scattered clouds, haze"
BANDARABBASS,07/06/2001,03Z,29.4,84%,998.0 Hpa,060º (NE),7.2,4/8,4/8 ST,-,-,-,-,28.0,"Scattered clouds, mist"
BANDARABBASS,07/06/2001,00Z,27.8,87%,996.5 Hpa,340º (N ),7.2,0/8,-,-,-,-,-,-,"Clear, mist"
BIRJAND,07/06/2001,21Z,24.2,16%,-,calm.,,0/8,-,-,-,-,-,-,Clear
BIRJAND,07/06/2001,18Z,26.6,14%,1002.2 Hpa,calm.,,0/8,-,-,-,-,-,7.7,Clear
BIRJAND,07/06/2001,15Z,34.6,8%,995.0 Hpa,110º (E ),18.0,0/8,-,-,-,-,37.6,-,Clear
BIRJAND,07/06/2001,12Z,37.4,8%,994.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BIRJAND,07/06/2001,09Z,36.0,10%,999.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BIRJAND,07/06/2001,06Z,34.0,10%,996.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BIRJAND,07/06/2001,03Z,21.8,16%,997.8 Hpa,calm.,,0/8,-,-,-,-,-,17.2,Clear
BIRJAND,07/06/2001,00Z,21.8,20%,995.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BOJNOURD,07/06/2001,18Z,19.0,74%,1001.9 Hpa,280º (W ),46.8,0/8,-,-,-,-,-,69.8,Clear
BOJNOURD,07/06/2001,12Z,29.0,36%,997.6 Hpa,280º (W ),54.0,1/8,1/8 CU,-,-,-,-,-,"Few clouds, dust"
BOJNOURD,07/06/2001,06Z,30.0,18%,996.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BOJNOURD,07/06/2001,00Z,16.0,82%,1004.0 Hpa,270º (W ),46.8,6/8,6/8 SC,-,-,-,-,-,Cloudy
BUSHEHR,07/06/2001,21Z,32.0,44%,996.4 Hpa,360º (N ),28.8,0/8,-,-,-,-,-,-,Clear
BUSHEHR,07/06/2001,15Z,31.0,66%,996.7 Hpa,calm.,,0/8,-,-,-,-,33.8,-,Clear
BUSHEHR,07/06/2001,09Z,31.6,54%,998.9 Hpa,310º (NW),28.8,0/8,-,-,-,-,-,-,Clear
BUSHEHR,07/06/2001,06Z,33.8,0%,998.9 Hpa,330º (NW),36.0,0/8,-,-,-,-,-,-,Clear
BUSHEHR,07/06/2001,03Z,29.0,66%,997.8 Hpa,010º (N),21.6,0/8,-,-,-,-,-,28.0,Clear
BUSHEHR,07/06/2001,00Z,30.0,174%,995.9 Hpa,360º (N ),25.2,0/8,-,-,-,-,-,-,Clear
CHAHBAHAR,07/06/2001,21Z,29.6,80%,997.7 Hpa,140º (SE),14.4,1/8,1/8 ST,-,-,-,-,-,Few clouds
CHAHBAHAR,07/06/2001,18Z,30.0,77%,998.3 Hpa,170º (S ),18.0,5/8,5/8 ST,-,-,-,-,-,Cloudy
CHAHBAHAR,07/06/2001,15Z,30.4,77%,997.0 Hpa,180º (S ),18.0,3/8,0/8 CB,-,CI,-,32.6,-,Scattered clouds
CHAHBAHAR,07/06/2001,09Z,31.2,70%,999.5 Hpa,170º (S ),18.0,0/8,0/8 CB,AC,CI,-,-,-,Clear
CHAHBAHAR,07/06/2001,06Z,31.6,71%,1000.2 Hpa,150º (SE),18.0,0/8,0/8 CB,AC,CI,-,-,-,Clear
CHAHBAHAR,07/06/2001,03Z,29.6,80%,999.5 Hpa,070º (E ),18.0,4/8,0/8 N/A,,,-,-,29.0,Scattered clouds
CHAHBAHAR,07/06/2001,00Z,29.6,80%,997.6 Hpa,150º (SE),10.8,4/8,4/8 ST,-,-,-,-,-,Scattered clouds
ESFAHAN,07/06/2001,18Z,30.4,7%,992.5 Hpa,300º (NW),14.4,2/8,-,-,CI,-,-,95.3,Few clouds
ESFAHAN,07/06/2001,15Z,36.4,7%,990.7 Hpa,270º (W ),18.0,2/8,-,-,CI,-,38.8,-,Few clouds
ESFAHAN,07/06/2001,12Z,38.6,6%,991.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ESFAHAN,07/06/2001,09Z,36.8,9%,993.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ESFAHAN,07/06/2001,06Z,32.0,13%,999.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ESFAHAN,07/06/2001,03Z,21.8,19%,993.8 Hpa,calm.,,0/8,-,-,-,-,-,20.6,Clear
ESFAHAN,07/06/2001,00Z,21.6,11%,994.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
FASA,07/06/2001,21Z,25.2,19%,-,calm.,,0/8,-,-,-,-,-,-,Clear
FASA,07/06/2001,18Z,28.6,14%,998.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
FASA,07/06/2001,15Z,36.4,13%,993.1 Hpa,240º (SW),7.2,0/8,-,-,-,-,40.0,-,Clear
FASA,07/06/2001,09Z,38.2,12%,993.7 Hpa,calm.,,1/8,1/8 SC,-,-,-,-,-,Few clouds
FASA,07/06/2001,06Z,33.4,16%,994.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
FASA,07/06/2001,03Z,19.0,31%,995.6 Hpa,calm.,,0/8,-,-,-,-,-,17.4,Clear
FASA,07/06/2001,00Z,22.6,28%,992.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
FERDOUS,07/06/2001,12Z,38.8,9%,-,300º (NW),10.8,1/8,1/8 CU,-,-,-,-,-,Few clouds
FERDOUS,07/06/2001,06Z,34.6,12%,995.5 Hpa,090º (E ),10.8,0/8,-,-,-,-,-,-,Clear
GACH SARAN DU GUNBADAN,07/06/2001,12Z,40.2,5%,994.0 Hpa,250º (W ),18.0,0/8,-,-,-,-,-,-,Clear
GACH SARAN DU GUNBADAN,07/06/2001,00Z,24.8,16%,993.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
GHARAKHIL,07/06/2001,18Z,20.6,86%,1010.3 Hpa,calm.,,2/8,1/8 SC,AC,-,-,-,-,Few clouds
