Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,26/06/2001,12Z,46.2,6%,997.9 Hpa,300º (NW),28.8,0/8,-,-,-,-,-,-,Clear
ABADAN,26/06/2001,09Z,44.0,6%,999.8 Hpa,320º (NW),25.2,0/8,-,-,-,-,-,-,Clear
ABADAN,26/06/2001,06Z,37.2,13%,1000.4 Hpa,300º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ABADAN,26/06/2001,03Z,26.0,33%,999.3 Hpa,calm.,,0/8,-,-,-,-,-,26.0,Clear
ABADEH,26/06/2001,18Z,25.0,8%,996.1 Hpa,330º (NW),21.6,0/8,-,-,-,-,-,-,Clear
ABADEH,26/06/2001,15Z,32.2,1%,996.6 Hpa,calm.,,0/8,-,-,-,-,33.6,-,Clear
ABADEH,26/06/2001,12Z,32.6,0%,996.4 Hpa,030º (NE),21.6,0/8,-,-,-,-,-,-,Clear
ABADEH,26/06/2001,09Z,31.4,1%,996.9 Hpa,030º (NE),18.0,0/8,-,-,-,-,-,-,Clear
ABADEH,26/06/2001,06Z,27.8,5%,997.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,26/06/2001,03Z,16.6,9%,999.6 Hpa,calm.,,0/8,-,-,-,-,-,14.2,Clear
ABU MUSA,26/06/2001,12Z,35.4,10%,996.5 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,26/06/2001,06Z,33.0,12%,999.2 Hpa,calm.,,0/8,-,-,-,-,-,-,"Clear, mist"
AHAR,26/06/2001,18Z,22.8,54%,1002.1 Hpa,090º (E ),14.4,0/8,-,-,-,-,-,-,Clear
AHAR,26/06/2001,15Z,28.2,43%,-,050º (NE),25.2,0/8,-,-,-,-,-,-,Clear
AHAR,26/06/2001,12Z,29.8,34%,1000.0 Hpa,030º (NE),21.6,1/8,-,-,-,-,-,-,Few clouds
AHAR,26/06/2001,09Z,27.0,39%,-,060º (NE),18.0,0/8,-,-,-,-,-,-,Clear
AHAR,26/06/2001,06Z,23.8,41%,1002.7 Hpa,120º (SE),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,26/06/2001,03Z,16.6,56%,-,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,26/06/2001,18Z,38.0,12%,997.0 Hpa,280º (W ),21.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,26/06/2001,15Z,43.4,7%,996.2 Hpa,280º (W ),25.2,0/8,-,-,-,-,46.4,-,Clear
AHWAZ,26/06/2001,12Z,45.2,8%,997.2 Hpa,270º (W ),28.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,26/06/2001,09Z,43.2,10%,998.7 Hpa,280º (W ),10.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,26/06/2001,06Z,36.6,16%,999.4 Hpa,310º (NW),14.4,0/8,-,-,-,-,-,-,Clear
AHWAZ,26/06/2001,03Z,28.4,32%,998.1 Hpa,calm.,,0/8,-,-,-,-,-,28.2,"Clear, haze"
AHWAZ,26/06/2001,00Z,30.4,20%,997.4 Hpa,290º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,26/06/2001,18Z,25.2,29%,997.0 Hpa,050º (NE),10.8,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,26/06/2001,15Z,32.2,21%,997.0 Hpa,300º (NW),25.2,0/8,-,-,-,-,35.0,-,Clear
ALI-GOODARZ,26/06/2001,12Z,34.2,17%,996.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,26/06/2001,09Z,32.8,18%,997.5 Hpa,300º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,26/06/2001,06Z,28.2,24%,998.8 Hpa,150º (SE),14.4,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,26/06/2001,03Z,18.2,36%,999.2 Hpa,110º (E ),25.2,0/8,-,-,-,-,-,16.4,Clear
ALI-GOODARZ,26/06/2001,00Z,17.4,39%,997.9 Hpa,130º (SE),21.6,0/8,-,-,-,-,-,-,Clear
ANZALI,26/06/2001,21Z,25.0,80%,-,040º (NE),7.2,4/8,-,-,-,-,-,-,Scattered clouds
ANZALI,26/06/2001,18Z,25.6,70%,1008.9 Hpa,340º (N ),18.0,2/8,-,-,CI,-,-,-,Few clouds
ANZALI,26/06/2001,15Z,26.0,71%,-,330º (NW),18.0,1/8,-,-,-,-,-,-,Few clouds
ANZALI,26/06/2001,12Z,27.0,72%,1007.7 Hpa,050º (NE),18.0,1/8,1/8 CU,-,-,-,-,-,Few clouds
ANZALI,26/06/2001,09Z,27.8,81%,-,360º (N ),14.4,1/8,-,-,-,-,-,-,Few clouds
ANZALI,26/06/2001,06Z,27.4,83%,1008.2 Hpa,300º (NW),18.0,2/8,2/8 CU,-,-,-,-,-,Few clouds
ANZALI,26/06/2001,03Z,23.6,94%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,26/06/2001,18Z,31.0,5%,995.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,26/06/2001,15Z,36.6,6%,994.7 Hpa,300º (NW),14.4,0/8,-,-,-,-,38.0,-,Clear
ARAK,26/06/2001,12Z,37.6,5%,994.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,26/06/2001,09Z,36.2,8%,995.2 Hpa,150º (SE),10.8,0/8,-,-,-,-,-,-,Clear
ARAK,26/06/2001,06Z,28.6,12%,999.3 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,26/06/2001,03Z,18.6,19%,999.9 Hpa,calm.,,0/8,-,-,-,-,-,17.0,Clear
ARDEBIL,26/06/2001,18Z,14.0,86%,1007.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,26/06/2001,15Z,17.4,71%,-,090º (E ),25.2,0/8,-,-,-,-,-,-,Clear
ARDEBIL,26/06/2001,12Z,21.0,59%,1004.6 Hpa,090º (E ),36.0,1/8,1/8 SC,-,-,-,-,-,Few clouds
ARDEBIL,26/06/2001,09Z,22.6,51%,-,090º (E ),36.0,1/8,-,-,-,-,-,-,Few clouds
ARDEBIL,26/06/2001,06Z,21.4,48%,1005.3 Hpa,090º (E ),28.8,0/8,-,-,-,-,-,-,Clear
ARDEBIL,26/06/2001,03Z,13.4,74%,-,calm.,,0/8,-,-,-,-,-,-,Clear
BABULSAR,26/06/2001,18Z,25.0,81%,1006.1 Hpa,200º (S ),7.2,0/8,-,-,-,-,-,-,Clear
BABULSAR,26/06/2001,15Z,28.4,63%,-,020º (N),7.2,1/8,-,-,-,-,-,-,Few clouds
BABULSAR,26/06/2001,12Z,30.0,57%,1005.3 Hpa,270º (W ),18.0,0/8,-,-,-,-,-,-,Clear
BABULSAR,26/06/2001,09Z,29.6,61%,-,310º (NW),18.0,0/8,-,-,-,-,-,-,Clear
BABULSAR,26/06/2001,06Z,29.6,56%,1006.0 Hpa,330º (NW),10.8,0/8,-,-,-,-,-,-,Clear
BABULSAR,26/06/2001,03Z,24.2,87%,-,090º (E ),7.2,1/8,-,-,-,-,-,-,Few clouds
BABULSAR,26/06/2001,00Z,25.2,73%,1009.1 Hpa,260º (W ),32.4,5/8,2/8 CB,AC,-,-,-,-,Cloudy
BAFT,26/06/2001,18Z,25.2,12%,994.0 Hpa,090º (E ),7.2,0/8,-,-,-,-,-,-,Clear
BAFT,26/06/2001,15Z,30.4,10%,993.4 Hpa,270º (W ),14.4,0/8,-,-,-,-,32.6,-,Clear
BAFT,26/06/2001,12Z,32.0,10%,993.2 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAFT,26/06/2001,09Z,29.0,11%,995.4 Hpa,210º (SW),7.2,0/8,-,-,-,-,-,-,Clear
BAFT,26/06/2001,06Z,26.4,15%,996.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAFT,26/06/2001,03Z,22.0,16%,995.2 Hpa,calm.,,0/8,-,-,-,-,-,18.0,Clear
BAM,26/06/2001,18Z,31.0,12%,994.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAM,26/06/2001,15Z,37.0,7%,993.1 Hpa,030º (NE),21.6,0/8,-,-,-,-,40.0,-,Clear
BAM,26/06/2001,12Z,39.0,5%,993.8 Hpa,030º (NE),21.6,0/8,-,-,-,-,-,-,Clear
BAM,26/06/2001,09Z,38.6,5%,995.0 Hpa,360º (N ),18.0,0/8,-,-,-,-,-,-,Clear
BAM,26/06/2001,06Z,36.0,8%,996.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BAM,26/06/2001,03Z,26.2,9%,997.0 Hpa,330º (NW),14.4,0/8,-,-,-,-,-,25.0,Clear
BANDAR LENGEH,26/06/2001,15Z,36.0,39%,994.4 Hpa,240º (SW),10.8,0/8,-,-,-,-,39.2,-,"Clear, haze"
BANDAR LENGEH,26/06/2001,12Z,37.8,50%,995.0 Hpa,200º (S ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,26/06/2001,09Z,36.6,63%,997.0 Hpa,120º (SE),7.2,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,26/06/2001,06Z,36.0,53%,997.7 Hpa,090º (E ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
BANDAR LENGEH,26/06/2001,03Z,30.0,85%,997.3 Hpa,calm.,,0/8,-,-,-,-,-,28.0,"Clear, mist"
BANDARABBASS,26/06/2001,18Z,33.4,66%,996.7 Hpa,180º (S ),7.2,0/8,-,-,-,-,-,34.2,"Clear, haze"
BANDARABBASS,26/06/2001,13Z,31.6,84%,998.9 Hpa,060º (NE),10.8,0/8,-,-,-,-,-,30.8,"Clear, mist"
BANDARABBASS,26/06/2001,12Z,36.6,58%,995.9 Hpa,190º (S ),21.6,0/8,-,-,-,-,-,-,"Clear, haze"
BANDARABBASS,26/06/2001,09Z,36.0,,997.6 Hpa,180º (S ),25.2,1/8,1/8 CU,-,-,-,-,-,"Few clouds, dust"
BANDARABBASS,26/06/2001,06Z,35.2,64%,999.1 Hpa,170º (S ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
BANDARABBASS,26/06/2001,00Z,30.8,90%,996.3 Hpa,060º (NE),10.8,4/8,4/8 SC,-,-,-,-,-,"Scattered clouds, mist"
BIRJAND,26/06/2001,18Z,27.4,12%,997.3 Hpa,080º (E ),7.2,0/8,-,-,-,-,-,-,Clear
BIRJAND,26/06/2001,15Z,32.8,11%,996.7 Hpa,060º (NE),18.0,0/8,-,-,-,-,35.8,-,Clear
BIRJAND,26/06/2001,12Z,35.0,165%,996.9 Hpa,060º (NE),18.0,0/8,-,-,-,-,-,-,Clear
BIRJAND,26/06/2001,09Z,34.4,13%,996.9 Hpa,050º (NE),25.2,0/8,-,-,-,-,-,-,Clear
BIRJAND,26/06/2001,06Z,32.0,13%,998.4 Hpa,060º (NE),18.0,0/8,-,-,-,-,-,-,Clear
BIRJAND,26/06/2001,03Z,24.8,24%,999.1 Hpa,calm.,,0/8,-,-,-,-,-,20.0,Clear
BOJNOURD,26/06/2001,18Z,25.0,47%,1000.6 Hpa,270º (W ),21.6,0/8,-,-,-,-,-,65.9,Clear
BOJNOURD,26/06/2001,12Z,31.8,28%,999.3 Hpa,270º (W ),28.8,0/8,-,-,-,-,-,-,Clear
BOJNOURD,26/06/2001,06Z,31.4,14%,999.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BUSHEHR,26/06/2001,18Z,31.6,13%,997.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BUSHEHR,26/06/2001,15Z,32.8,64%,996.9 Hpa,300º (NW),10.8,0/8,-,-,-,-,34.8,-,Clear
BUSHEHR,26/06/2001,12Z,32.2,88%,997.3 Hpa,300º (NW),18.0,0/8,-,-,-,-,-,-,Clear
BUSHEHR,26/06/2001,09Z,31.6,68%,998.5 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,Clear
BUSHEHR,26/06/2001,06Z,34.8,11%,998.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
BUSHEHR,26/06/2001,03Z,28.4,73%,998.3 Hpa,calm.,,0/8,-,-,-,-,-,28.4,Clear
CHAHBAHAR,26/06/2001,18Z,29.2,85%,998.4 Hpa,calm.,,2/8,2/8 ST,-,-,-,-,-,Few clouds
