Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,08/06/2001,21Z,30.6,17%,-,330º (NW),28.8,0/8,-,-,-,-,-,-,Clear
ABADAN,08/06/2001,18Z,35.0,12%,1000.2 Hpa,330º (NW),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,08/06/2001,06Z,37.0,9%,1000.9 Hpa,330º (NW),28.8,0/8,-,-,-,-,-,-,Clear
ABADAN,08/06/2001,03Z,29.4,20%,-,340º (N ),28.8,0/8,-,-,-,-,-,-,Clear
ABADAN,08/06/2001,00Z,29.6,15%,-,330º (NW),28.8,0/8,-,-,-,-,-,-,Clear
AHAR,08/06/2001,03Z,13.0,64%,-,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,08/06/2001,21Z,32.0,20%,999.8 Hpa,300º (NW),25.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,08/06/2001,18Z,35.6,17%,999.1 Hpa,290º (W ),21.6,0/8,-,-,-,-,-,-,Clear
AHWAZ,08/06/2001,15Z,41.6,7%,998.2 Hpa,310º (NW),21.6,0/8,-,-,-,-,45.2,-,Clear
AHWAZ,08/06/2001,12Z,44.8,10%,998.3 Hpa,300º (NW),28.8,0/8,-,-,-,-,-,-,Clear
AHWAZ,08/06/2001,06Z,37.6,17%,999.9 Hpa,310º (NW),25.2,0/8,-,-,-,-,-,-,Clear
AHWAZ,08/06/2001,03Z,28.6,25%,998.8 Hpa,300º (NW),14.4,0/8,-,-,-,-,-,27.4,Clear
ANZALI,08/06/2001,18Z,22.2,69%,1011.2 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
ANZALI,08/06/2001,15Z,23.0,59%,-,070º (E ),18.0,7/8,-,-,-,-,-,-,Cloudy
ANZALI,08/06/2001,12Z,24.0,60%,1011.2 Hpa,060º (NE),14.4,3/8,1/8 CU,AC,-,-,-,-,Scattered clouds
ANZALI,08/06/2001,06Z,22.0,79%,1013.1 Hpa,calm.,,8/8,4/8 SC,AC,,-,-,-,Overcast
ANZALI,08/06/2001,03Z,21.0,79%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
ANZALI,08/06/2001,00Z,21.4,72%,1010.2 Hpa,calm.,,8/8,5/8 SC,AC,,-,-,-,Overcast
ARAK,08/06/2001,18Z,26.6,7%,998.2 Hpa,270º (W ),7.2,0/8,-,-,-,-,-,-,Clear
ARAK,08/06/2001,06Z,23.6,12%,999.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,08/06/2001,03Z,15.6,18%,-,calm.,,0/8,-,-,-,-,-,-,Clear
ARAK,08/06/2001,00Z,17.0,19%,997.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ARDEBIL,08/06/2001,03Z,12.8,85%,-,030º (NE),10.8,5/8,-,-,-,-,-,-,Cloudy
BABULSAR,08/06/2001,18Z,22.6,74%,1010.3 Hpa,calm.,,7/8,3/8 SC,AC,-,-,-,-,Cloudy
BABULSAR,08/06/2001,06Z,,,1011.7 Hpa,210º (SW),10.8,8/8,4/8 CB,AC,,-,-,-,Overcast
BABULSAR,08/06/2001,03Z,21.0,88%,-,200º (S ),7.2,8/8,-,-,-,-,-,-,Overcast
BABULSAR,08/06/2001,00Z,21.0,91%,1009.2 Hpa,190º (S ),7.2,6/8,3/8 ST,AC,-,-,-,-,Cloudy
BANDARABBASS,08/06/2001,18Z,31.4,71%,995.4 Hpa,calm.,,0/8,-,-,-,-,-,37.2,"Clear, haze"
BANDARABBASS,08/06/2001,15Z,,,-,180º (S ),18.0,2/8,-,-,-,33.0(24h),-,-,Few clouds
BANDARABBASS,08/06/2001,12Z,35.8,46%,994.9 Hpa,180º (S ),18.0,0/8,-,-,-,-,-,-,Clear
BANDARABBASS,08/06/2001,03Z,29.2,85%,998.5 Hpa,060º (NE),7.2,0/8,-,-,-,-,-,27.4,"Clear, mist"
BANDARABBASS,08/06/2001,00Z,28.4,91%,996.8 Hpa,calm.,,4/8,4/8 SC,-,-,-,-,-,"Scattered clouds, mist"
BIRJAND,08/06/2001,18Z,29.6,14%,994.0 Hpa,090º (E ),7.2,0/8,-,-,-,-,-,-91.9,Clear
BIRJAND,08/06/2001,06Z,36.0,8%,995.4 Hpa,090º (E ),7.2,0/8,-,-,-,-,-,-,Clear
BIRJAND,08/06/2001,03Z,26.8,11%,996.3 Hpa,calm.,,0/8,-,-,-,-,-,20.6,Clear
BIRJAND,08/06/2001,00Z,24.2,17%,993.3 Hpa,040º (NE),14.4,0/8,-,-,-,-,-,-,Clear
ESFAHAN,08/06/2001,18Z,30.2,7%,994.1 Hpa,250º (W ),14.4,0/8,-,-,-,-,-,-,Clear
ESFAHAN,08/06/2001,15Z,34.6,7%,993.4 Hpa,290º (W ),21.6,0/8,-,-,-,-,37.0,-,Clear
ESFAHAN,08/06/2001,12Z,37.6,7%,993.9 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ESFAHAN,08/06/2001,06Z,31.8,8%,996.1 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ESFAHAN,08/06/2001,03Z,22.2,12%,995.7 Hpa,000º (N),-,0/8,-,-,-,-,-,20.0,Clear
GHAZVIN,08/06/2001,03Z,15.4,64%,-,calm.,,0/8,-,-,-,-,-,-,Clear
GHUCHAN,08/06/2001,03Z,17.0,79%,-,310º (NW),7.2,2/8,-,-,-,-,-,-,Few clouds
GORGAN,08/06/2001,03Z,21.6,82%,-,calm.,,8/8,-,-,-,-,-,-,Overcast
HAMEDAN,08/06/2001,18Z,21.4,43%,1001.0 Hpa,240º (SW),18.0,0/8,-,-,-,-,-,-,Clear
HAMEDAN,08/06/2001,06Z,21.8,50%,1003.5 Hpa,270º (W ),10.8,0/8,-,-,-,-,-,-,Clear
HAMEDAN,08/06/2001,03Z,12.6,54%,-,calm.,,0/8,-,-,-,-,-,-,Clear
HAMEDAN,08/06/2001,00Z,10.4,56%,1002.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ILAM,08/06/2001,06Z,19.6,69%,1476 m(850 Hpa),170º (S ),10.8,0/8,-,-,-,-,-,12.3,Clear
KASHAN,08/06/2001,18Z,30.0,35%,997.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
KASHAN,08/06/2001,06Z,29.4,29%,999.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
KASHAN,08/06/2001,03Z,22.4,43%,997.9 Hpa,calm.,,0/8,-,-,-,-,-,21.0,Clear
KASHAN,08/06/2001,00Z,26.4,38%,995.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
KASHMAR,08/06/2001,00Z,30.2,14%,-,calm.,,1/8,-,-,-,-,-,-,Few clouds
KERMAN,08/06/2001,18Z,29.0,12%,991.6 Hpa,110º (E ),14.4,0/8,-,-,-,-,-,-,Clear
KERMAN,08/06/2001,15Z,10.3,42%,-,070º (E ),7.2,3/8,-,-,-,-,38.0,-,Scattered clouds
KERMAN,08/06/2001,12Z,37.0,10%,992.3 Hpa,070º (E ),18.0,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
KERMAN,08/06/2001,06Z,34.0,10%,994.6 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,Clear
KERMAN,08/06/2001,03Z,25.0,12%,995.9 Hpa,100º (E ),7.2,0/8,-,-,-,-,-,19.0,Clear
KERMAN,08/06/2001,00Z,,0%,993.1 Hpa,calm.,,0/8,-,-,-,20.0(2h),-,-,Clear
