Station ∆,Date,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
ABADAN,15/06/2013,21Z,32.8,22%,999.0 Hpa,310º (NW),25.2,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,15/06/2013,18Z,35.0,18%,998.8 Hpa,280º (W ),18.0,0/8,-,-,-,-,-,-,Clear
ABADAN,15/06/2013,15Z,41.0,12%,997.2 Hpa,300º (NW),28.8,0/8,-,-,-,-,44.4,-,Clear
ABADAN,15/06/2013,12Z,43.4,12%,997.7 Hpa,300º (NW),39.6,0/8,-,-,-,-,-,-,Clear
ABADAN,15/06/2013,09Z,41.4,15%,998.1 Hpa,330º (NW),32.4,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,15/06/2013,06Z,35.0,20%,998.7 Hpa,360º (N ),28.8,0/8,-,-,-,-,-,-,"Clear, dust"
ABADAN,15/06/2013,03Z,28.2,33%,998.0 Hpa,330º (NW),18.0,0/8,-,-,-,-,-,28.2,"Clear, dust"
ABADAN,15/06/2013,00Z,30.0,32%,997.0 Hpa,330º (NW),21.6,0/8,-,-,-,-,-,-,"Clear, dust"
ABADEH,15/06/2013,21Z,23.6,16%,995.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
ABADEH,15/06/2013,18Z,28.4,10%,994.5 Hpa,020º (N),18.0,0/8,-,-,-,-,-,-,Clear
ABADEH,15/06/2013,15Z,32.4,10%,995.7 Hpa,020º (N),14.4,0/8,-,-,-,-,34.6,-,Clear
ABADEH,15/06/2013,12Z,34.2,9%,995.3 Hpa,030º (NE),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,15/06/2013,09Z,31.6,10%,996.4 Hpa,200º (S ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,15/06/2013,06Z,28.6,12%,997.0 Hpa,160º (S ),7.2,0/8,-,-,-,-,-,-,Clear
ABADEH,15/06/2013,03Z,18.8,24%,998.4 Hpa,300º (NW),7.2,0/8,-,-,-,-,-,17.0,Clear
ABADEH,15/06/2013,00Z,19.4,20%,996.0 Hpa,330º (NW),7.2,0/8,-,-,-,-,-,-,Clear
ABU MUSA,15/06/2013,15Z,31.8,66%,994.8 Hpa,270º (W ),10.8,0/8,-,-,-,-,33.0,-,"Clear, haze"
ABU MUSA,15/06/2013,12Z,32.6,86%,995.0 Hpa,270º (W ),18.0,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,15/06/2013,09Z,32.2,69%,995.8 Hpa,280º (W ),14.4,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,15/06/2013,06Z,31.4,92%,996.9 Hpa,270º (W ),10.8,0/8,-,-,-,-,-,-,"Clear, haze"
ABU MUSA,15/06/2013,03Z,29.2,82%,996.0 Hpa,220º (SW),7.2,4/8,-,4/8 AC,-,-,-,29.0,"Scattered clouds, mist"
AHAR,15/06/2013,21Z,20.2,49%,1005.4 Hpa,120º (SE),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,15/06/2013,18Z,23.2,41%,1005.6 Hpa,100º (E ),10.8,0/8,-,-,-,-,-,-,Clear
AHAR,15/06/2013,15Z,27.4,30%,1005.3 Hpa,060º (NE),18.0,0/8,-,-,-,-,30.0,-,Clear
AHAR,15/06/2013,12Z,28.6,27%,1005.0 Hpa,130º (SE),21.6,0/8,-,-,-,-,-,-,Clear
AHAR,15/06/2013,09Z,28.0,25%,1005.8 Hpa,100º (E ),18.0,0/8,-,-,-,-,-,-,Clear
AHAR,15/06/2013,06Z,23.2,36%,1007.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHAR,15/06/2013,03Z,15.2,57%,1008.1 Hpa,calm.,,0/8,-,-,-,-,-,13.2,Clear
AHAR,15/06/2013,00Z,15.0,59%,1006.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
AHWAZ,15/06/2013,21Z,33.6,19%,996.5 Hpa,320º (NW),21.6,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,15/06/2013,18Z,37.0,15%,996.4 Hpa,300º (NW),25.2,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,15/06/2013,15Z,41.8,16%,995.6 Hpa,330º (NW),18.0,0/8,-,-,-,-,44.6,-,"Clear, dust"
AHWAZ,15/06/2013,12Z,44.0,15%,995.8 Hpa,330º (NW),18.0,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,15/06/2013,09Z,41.2,18%,997.0 Hpa,300º (NW),10.8,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,15/06/2013,06Z,34.4,24%,997.4 Hpa,330º (NW),14.4,0/8,-,-,-,-,-,-,"Clear, dust"
AHWAZ,15/06/2013,03Z,29.2,31%,996.4 Hpa,280º (W ),10.8,0/8,-,-,-,-,-,29.2,"Clear, dust"
AHWAZ,15/06/2013,00Z,32.0,20%,995.5 Hpa,290º (W ),21.6,0/8,-,-,-,-,-,-,"Clear, dust"
ALI-GOODARZ,15/06/2013,21Z,21.0,26%,996.9 Hpa,110º (E ),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,15/06/2013,18Z,26.4,19%,995.9 Hpa,030º (NE),18.0,0/8,-,-,-,-,-,-,Clear
ALI-GOODARZ,15/06/2013,15Z,32.6,15%,996.0 Hpa,230º (SW),10.8,0/8,-,-,-,-,34.6,-,Clear
