Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,-,10.2,-,16.2,-,0.0,0,0,0,0,0,0,2%,-,3%
FEBRUARY 2000,6.6,7.6,5.6,21.8,-1.0,0.0,0,0,0,0,0,1,10%,7%,10%
MARCH 2000,14.7,13.2,16.2,22.8,-2.0,0.0,0,0,0,0,0,2,2%,2%,29%
APRIL 2000,19.2,22.0,16.5,29.6,9.4,0.0,0,0,0,0,0,0,2%,3%,36%
MAY 2000,21.7,17.6,25.8,29.8,12.6,0.0,0,0,0,0,0,0,2%,2%,32%
JUNE 2000,-,18.0,-,31.0,-,0.0,0,0,0,0,0,0,2%,-,40%
JULY 2000,-,29.0,-,35.2,-,2.2,1,1,0,2,1,0,5%,-,58%
AUGUST 2000,-,-,-,-,-,20.8,3,4,0,0,0,0,-,-,48%
SEPTEMBER 2000,-,23.0,-,32.2,-,42.9,5,7,0,1,0,0,2%,-,30%
OCTOBER 2000,-,-,-,-,-,32.1,3,6,0,0,0,0,-,-,51%
NOVEMBER 2000,-,-,-,-,-,1.5,1,3,0,0,0,0,-,-,46%
DECEMBER 2000,-,-,-,-,-,25.0,4,6,0,0,1,0,-,-,54%
JANUARY 2001,-,-,7.2,-,-3.2,2.0,1,1,0,0,2,3,-,2%,45%
FEBRUARY 2001,-,-,-5.5,-,-5.5,13.2,1,2,0,0,2,2,-,3%,71%
MARCH 2001,11.8,12.2,11.4,28.8,1.0,6.9,2,8,0,0,1,0,3%,2%,45%
APRIL 2001,17.2,27.4,7.0,28.2,7.0,3.2,1,3,0,1,0,0,2%,3%,53%
MAY 2001,-,20.6,-,29.4,-,11.2,3,5,0,1,0,0,2%,-,6%
JUNE 2001,21.5,25.2,17.8,32.0,16.4,3.9,1,4,0,0,0,0,2%,2%,46%
JULY 2001,-,-,-,-,-,7.5,2,5,0,1,0,0,-,-,61%
AUGUST 2001,20.3,20.4,20.2,34.0,18.2,69.8,2,2,0,2,0,0,2%,2%,51%
SEPTEMBER 2001,-,-,-,-,-,23.3,4,8,0,0,0,0,-,-,60%
OCTOBER 2001,-,-,-,-,-,25.1,4,4,0,1,0,0,-,-,51%
NOVEMBER 2001,-,-,-,-,-,35.3,5,7,0,1,0,0,-,-,40%
DECEMBER 2001,-,-,-,-,-,5.8,2,5,0,0,1,0,-,-,58%
JANUARY 2002,-,-,-,-,-,29.3,5,9,0,1,0,0,-,-,54%
FEBRUARY 2002,-,-,-,-,-,6.7,2,4,0,1,2,0,-,-,64%
MARCH 2002,10.3,13.5,7.2,26.4,1.0,17.2,5,7,0,0,1,0,5%,3%,29%
APRIL 2002,-,12.0,-,21.4,-,47.6,6,12,0,0,0,0,2%,-,33%
MAY 2002,-,-,15.0,-,10.6,9.0,2,2,0,0,0,0,-,2%,32%
JUNE 2002,20.2,20.5,20.0,33.0,16.8,4.0,1,1,0,0,0,0,3%,2%,26%
JULY 2002,-,-,-,-,-,7.4,3,5,0,2,0,0,-,-,74%
AUGUST 2002,19.1,29.0,9.2,33.2,9.2,15.5,3,5,0,2,0,0,3%,3%,58%
SEPTEMBER 2002,-,24.4,-,31.4,-,0.5,0,1,0,0,0,0,3%,-,46%
OCTOBER 2002,20.4,20.2,20.6,34.0,15.8,6.0,1,1,0,0,0,0,13%,15%,6%
NOVEMBER 2002,12.2,13.9,10.5,24.6,-6.2,1.0,1,1,0,0,0,1,5%,12%,26%
DECEMBER 2002,4.9,5.8,4.0,15.0,-0.4,20.1,1,3,0,0,0,1,8%,8%,9%
JANUARY 2003,-,-,4.4,-,-0.2,0.0,0,0,0,0,1,1,-,2%,67%
FEBRUARY 2003,-,-,6.9,-,-2.0,4.6,3,4,0,0,2,1,-,4%,21%
MARCH 2003,8.8,11.0,6.6,14.8,2.6,4.1,1,5,0,0,0,0,3%,5%,19%
APRIL 2003,-,9.8,-,33.0,-,15.8,6,9,0,0,0,1,2%,-,43%
MAY 2003,-,21.4,-,30.2,-,15.3,4,6,0,0,0,0,3%,-,54%
JUNE 2003,-,26.4,-,29.6,-,1.0,1,1,0,2,0,0,2%,-,66%
JULY 2003,-,-,-,-,-,0.8,0,1,0,0,0,0,-,-,83%
AUGUST 2003,-,-,-,-,-,3.4,2,4,0,1,0,0,-,-,64%
SEPTEMBER 2003,-,-,-,-,-,39.9,4,6,0,0,0,0,-,-,60%
OCTOBER 2003,-,-,-,-,-,1.9,1,3,0,1,0,0,-,-,58%
NOVEMBER 2003,-,-,-,-,-,29.9,7,8,0,1,1,0,-,-,56%
DECEMBER 2003,-,18.6,-,23.4,-,636.2,6,8,0,0,0,2,3%,-,61%
JANUARY 2004,-,-,-,-,-,17.1,3,4,0,0,3,0,-,-,80%
FEBRUARY 2004,-,-,-,-,-,6.7,2,3,0,0,4,0,-,-,79%
MARCH 2004,-,-,-,-,-,33.2,6,7,0,0,3,0,-,-,45%
APRIL 2004,-,-,-,-,-,33.5,3,3,0,1,0,0,-,-,63%
MAY 2004,18.2,15.4,21.0,34.0,12.8,14.4,2,4,0,1,0,0,2%,2%,67%
JUNE 2004,24.5,28.0,21.1,32.8,15.8,3.9,1,2,0,0,0,0,30%,28%,76%
JULY 2004,24.9,28.7,21.1,31.8,14.0,1.1,1,1,0,0,0,0,29%,37%,54%
AUGUST 2004,27.5,31.6,23.4,34.0,19.4,0.0,0,0,0,0,0,0,47%,37%,80%
SEPTEMBER 2004,23.2,27.5,18.9,34.6,14.2,22.4,3,4,0,0,0,0,43%,38%,46%
OCTOBER 2004,18.8,24.3,13.3,31.8,8.6,0.0,0,0,0,0,0,0,34%,31%,74%
NOVEMBER 2004,14.5,18.1,10.9,27.4,3.0,39.0,2,2,0,0,0,0,22%,18%,53%
DECEMBER 2004,7.0,12.2,1.7,18.6,-1.0,0.1,0,1,0,0,0,4,24%,21%,61%
JANUARY 2005,7.3,11.9,2.7,17.2,0.0,38.7,3,3,0,0,0,1,37%,34%,74%
FEBRUARY 2005,7.3,11.9,2.6,24.4,-1.6,5.0,2,2,0,0,1,6,18%,23%,57%
MARCH 2005,11.4,16.0,6.9,27.4,0.4,20.4,1,2,0,0,1,0,37%,32%,41%
APRIL 2005,16.1,21.4,10.7,37.8,2.2,22.4,2,4,0,0,0,0,42%,43%,73%
MAY 2005,19.5,23.1,15.9,29.4,10.0,20.4,7,7,0,2,1,0,39%,40%,51%
JUNE 2005,23.6,27.0,20.1,32.0,11.1,10.6,4,7,0,0,0,0,37%,38%,53%
JULY 2005,27.3,31.5,23.2,34.8,20.4,0.0,0,0,0,0,0,0,13%,23%,80%
AUGUST 2005,27.0,30.9,23.2,35.4,18.2,2.2,2,3,0,0,0,0,29%,29%,45%
SEPTEMBER 2005,24.2,27.7,20.8,31.8,17.0,23.1,4,6,0,0,0,0,45%,45%,56%
OCTOBER 2005,19.4,23.7,15.1,31.0,7.8,22.0,5,5,0,0,1,0,50%,42%,77%
NOVEMBER 2005,13.2,17.8,8.6,24.0,3.8,93.7,4,4,0,0,0,0,50%,47%,76%
DECEMBER 2005,10.6,15.2,6.0,21.8,-1.0,5.9,2,3,0,0,2,1,40%,35%,67%
JANUARY 2006,5.2,9.1,1.4,14.4,-2.6,17.1,4,5,2,0,0,13,40%,45%,64%
FEBRUARY 2006,9.0,13.8,4.1,18.8,-2.4,2.0,1,1,0,0,2,2,38%,43%,67%
MARCH 2006,11.8,16.7,6.9,28.2,3.0,8.8,2,3,0,0,1,0,42%,42%,83%
APRIL 2006,16.1,19.8,12.4,31.8,7.6,5.7,1,4,0,0,2,0,43%,40%,60%
MAY 2006,19.8,23.3,16.3,35.6,12.6,3.2,1,3,0,1,0,0,45%,42%,51%
JUNE 2006,26.3,29.8,22.9,32.8,19.0,6.3,2,3,0,0,0,0,33%,37%,66%
JULY 2006,26.0,29.6,22.3,32.8,20.2,7.2,2,5,0,0,0,0,45%,44%,83%
AUGUST 2006,28.4,34.0,22.8,37.8,18.0,0.0,0,0,0,0,0,0,50%,45%,96%
SEPTEMBER 2006,24.1,28.7,19.5,37.8,12.0,12.0,3,3,0,0,0,0,40%,37%,70%
OCTOBER 2006,21.1,25.6,16.7,29.6,12.6,33.5,1,1,0,1,0,0,42%,37%,61%
NOVEMBER 2006,14.2,19.7,8.6,31.2,4.2,46.0,4,5,0,1,0,0,35%,32%,60%
DECEMBER 2006,7.9,11.9,3.9,15.6,-1.2,71.9,9,12,0,0,0,4,69%,60%,22%
JANUARY 2007,8.5,14.3,2.7,21.8,-3.4,60.3,5,9,0,0,1,6,94%,92%,64%
FEBRUARY 2007,7.9,12.3,3.6,19.5,-1.0,99.9,8,9,1,0,2,2,93%,84%,42%
MARCH 2007,10.2,14.0,6.3,23.5,0.4,100.6,12,14,1,0,0,0,94%,84%,54%
APRIL 2007,14.0,17.5,10.5,25.0,2.2,34.2,7,15,0,1,3,0,82%,87%,63%
MAY 2007,20.6,25.6,15.6,35.3,11.8,6.4,3,6,0,4,1,0,98%,93%,77%
JUNE 2007,24.7,29.0,20.5,33.4,11.3,39.2,5,6,0,3,0,0,93%,87%,73%
JULY 2007,25.2,28.9,21.4,33.2,18.8,63.6,6,9,0,4,0,0,94%,96%,93%
AUGUST 2007,28.0,32.9,23.0,34.8,20.8,2.1,1,2,0,2,0,0,96%,96%,90%
SEPTEMBER 2007,25.1,30.3,19.9,39.0,15.8,58.6,4,4,1,1,0,0,98%,92%,80%
OCTOBER 2007,19.5,25.3,13.8,38.0,10.8,50.8,3,3,0,1,0,0,96%,100%,90%
NOVEMBER 2007,14.0,18.7,9.3,28.6,-2.0,141.0,9,12,1,3,0,1,100%,85%,93%
DECEMBER 2007,7.8,12.8,2.8,21.8,-1.8,39.5,4,6,0,1,2,9,89%,89%,70%
JANUARY 2008,3.4,8.3,-1.5,19.5,-6.8,53.5,8,10,6,0,0,22,96%,93%,80%
FEBRUARY 2008,6.2,10.2,2.1,22.7,-2.8,38.7,6,8,3,0,0,8,89%,96%,82%
MARCH 2008,14.8,21.6,8.0,34.4,1.0,18.0,2,2,0,1,2,0,100%,96%,93%
APRIL 2008,17.1,22.9,11.3,35.8,7.2,3.5,1,2,0,0,2,0,96%,96%,86%
MAY 2008,20.2,24.7,15.7,30.6,10.0,18.5,3,4,0,4,0,0,100%,95%,93%
JUNE 2008,23.6,27.7,19.4,31.0,16.4,17.5,4,8,0,1,0,0,96%,97%,70%
JULY 2008,26.7,31.1,22.2,36.6,19.0,19.4,4,5,0,4,0,0,96%,95%,83%
AUGUST 2008,27.7,33.4,21.9,40.6,18.2,11.4,3,4,0,1,0,0,87%,89%,70%
SEPTEMBER 2008,25.5,29.7,21.3,33.6,16.6,54.4,6,8,0,6,1,0,96%,92%,73%
OCTOBER 2008,19.0,23.0,15.1,28.0,9.8,136.4,11,14,0,3,0,0,97%,87%,77%
NOVEMBER 2008,13.4,18.0,8.7,23.6,2.8,47.6,5,8,0,0,0,0,98%,90%,86%
DECEMBER 2008,8.7,12.9,4.5,21.8,-2.0,39.5,7,10,0,0,0,2,71%,77%,48%
JANUARY 2009,6.8,11.4,2.2,21.0,-2.8,73.3,6,10,0,0,1,12,98%,92%,80%
FEBRUARY 2009,9.6,13.6,5.6,22.2,0.0,68.3,7,9,0,0,5,1,96%,96%,100%
MARCH 2009,12.2,17.1,7.3,29.5,1.4,99.6,8,11,0,0,7,0,95%,95%,87%
APRIL 2009,11.9,15.7,8.2,25.4,0.2,50.8,8,14,0,0,2,0,88%,73%,56%
MAY 2009,20.2,23.9,16.5,31.5,12.4,20.4,3,6,0,0,0,0,82%,74%,64%
JUNE 2009,24.2,28.1,20.4,33.0,16.6,22.2,4,4,0,3,0,0,85%,68%,70%
JULY 2009,26.8,30.0,23.7,35.2,20.2,4.2,2,3,0,0,0,0,39%,32%,16%
AUGUST 2009,24.9,28.3,21.5,32.4,15.4,54.2,7,12,0,2,0,0,73%,66%,54%
SEPTEMBER 2009,23.5,27.6,19.4,31.6,13.4,158.5,11,11,0,6,0,0,88%,80%,63%
OCTOBER 2009,19.8,24.6,14.9,27.0,8.4,24.0,3,3,0,4,0,0,76%,73%,45%
NOVEMBER 2009,14.7,19.7,9.7,29.2,5.0,170.5,7,9,0,2,0,0,85%,78%,63%
DECEMBER 2009,10.7,15.3,6.0,24.4,-0.8,39.8,7,9,0,0,4,1,87%,76%,51%
JANUARY 2010,9.9,14.6,5.3,23.2,-1.0,72.5,7,7,0,0,4,2,93%,70%,38%
FEBRUARY 2010,8.5,11.8,5.2,24.5,-6.6,70.2,9,10,0,0,1,2,86%,70%,46%
MARCH 2010,11.1,14.6,7.7,22.5,1.4,28.6,5,13,0,0,6,0,95%,79%,54%
APRIL 2010,14.5,18.2,10.8,25.0,6.6,38.5,7,9,0,2,0,0,85%,57%,36%
MAY 2010,20.7,25.0,16.5,32.2,10.4,2.3,1,4,0,3,0,0,70%,56%,32%
JUNE 2010,27.3,30.9,23.8,33.8,17.0,0.0,0,0,0,1,0,0,43%,38%,23%
JULY 2010,28.2,32.1,24.3,34.6,20.4,8.0,2,2,0,0,0,0,60%,55%,51%
AUGUST 2010,28.0,33.5,22.5,37.0,20.0,63.4,5,6,0,3,0,0,100%,96%,93%
SEPTEMBER 2010,24.9,30.6,19.2,34.6,15.0,3.6,1,4,0,1,0,0,100%,95%,90%
OCTOBER 2010,21.1,25.2,17.0,34.0,10.4,77.4,5,10,0,1,1,0,94%,92%,93%
NOVEMBER 2010,14.3,20.8,7.8,29.0,4.0,10.0,2,2,0,0,1,0,96%,100%,100%
DECEMBER 2010,12.1,18.9,5.3,28.4,-1.0,28.4,2,2,0,2,1,3,100%,96%,100%
JANUARY 2011,8.7,12.7,4.6,30.2,-1.0,141.4,10,13,0,0,3,2,95%,93%,96%
FEBRUARY 2011,7.9,11.5,4.3,19.0,-0.6,111.9,12,13,0,0,1,1,98%,92%,100%
MARCH 2011,9.9,14.0,5.8,23.0,-0.4,80.3,10,14,0,1,1,3,97%,100%,96%
APRIL 2011,15.7,20.1,11.3,29.0,5.4,20.4,7,11,0,0,3,0,100%,95%,100%
MAY 2011,20.5,24.2,16.8,31.0,12.0,13.7,4,13,0,3,0,0,98%,98%,100%
JUNE 2011,25.2,29.1,21.2,32.4,17.4,117.5,3,5,0,4,0,0,97%,95%,100%
JULY 2011,28.2,33.1,23.3,37.6,21.6,5.3,1,2,0,0,0,0,97%,100%,96%
AUGUST 2011,26.5,30.3,22.7,38.0,15.4,95.9,10,12,0,5,0,0,96%,94%,96%
SEPTEMBER 2011,23.6,27.5,19.7,31.0,15.8,71.7,5,10,0,1,0,0,100%,100%,100%
OCTOBER 2011,18.0,22.4,13.7,35.8,9.8,184.1,12,13,0,0,0,0,95%,85%,100%
NOVEMBER 2011,9.8,13.4,6.1,19.2,-1.2,72.7,8,12,0,0,0,3,95%,90%,96%
DECEMBER 2011,7.5,12.4,2.7,14.8,-1.0,43.6,7,7,0,0,2,6,100%,96%,96%
