Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,12.0,10.9,13.1,19.0,0.2,0.0,0,0,0,0,0,0,5%,6%,3%
FEBRUARY 2000,10.7,12.8,8.5,27.4,2.6,0.0,0,0,0,0,0,0,10%,12%,17%
MARCH 2000,19.7,20.9,18.4,32.2,6.8,0.0,0,0,0,0,0,0,13%,8%,38%
APRIL 2000,30.5,33.9,27.1,38.6,17.0,0.0,0,0,0,0,0,0,20%,7%,36%
MAY 2000,32.9,38.7,27.1,43.4,12.4,1.0,1,1,0,0,0,0,61%,53%,58%
JUNE 2000,32.8,39.3,26.4,43.6,22.0,0.0,0,0,0,0,0,0,62%,58%,43%
JULY 2000,32.7,37.6,27.9,42.0,24.0,0.0,0,0,0,0,0,0,65%,41%,58%
AUGUST 2000,31.9,37.7,26.0,39.6,23.6,0.0,0,0,0,0,0,0,68%,45%,70%
SEPTEMBER 2000,31.5,38.2,24.8,40.4,21.6,0.0,0,0,0,0,0,0,33%,28%,33%
OCTOBER 2000,24.2,29.8,18.6,35.6,15.6,0.0,0,0,0,0,0,0,18%,19%,64%
NOVEMBER 2000,14.9,19.4,10.5,30.2,7.6,2.8,1,2,0,0,0,0,27%,27%,70%
DECEMBER 2000,13.3,18.0,8.6,25.2,3.0,0.0,0,0,0,0,0,0,24%,19%,70%
JANUARY 2001,10.9,14.7,7.1,22.6,-3.0,2.1,1,3,1,0,0,3,13%,15%,54%
FEBRUARY 2001,12.8,18.4,7.3,25.4,1.6,3.4,2,2,0,0,0,0,25%,18%,50%
MARCH 2001,18.8,24.8,12.8,30.0,6.0,2.9,1,2,0,0,0,0,27%,16%,54%
APRIL 2001,25.0,30.5,19.6,35.0,16.8,0.0,0,0,0,0,0,0,17%,20%,46%
MAY 2001,32.4,37.9,26.9,41.6,24.0,0.0,0,0,0,0,0,0,26%,18%,9%
JUNE 2001,33.3,39.2,27.4,45.2,23.6,0.0,0,0,0,0,0,0,70%,60%,40%
JULY 2001,35.9,41.2,30.5,44.6,22.4,0.0,0,0,1,0,0,0,80%,63%,58%
AUGUST 2001,32.9,38.5,27.3,42.6,23.2,0.0,0,0,0,0,0,0,61%,44%,54%
SEPTEMBER 2001,32.4,38.3,26.5,42.0,20.8,0.0,0,0,0,0,0,0,40%,30%,76%
OCTOBER 2001,25.8,32.0,19.5,36.4,16.2,0.0,0,0,0,0,0,0,21%,16%,51%
NOVEMBER 2001,18.3,24.5,12.2,29.0,7.8,0.8,0,1,0,0,0,0,17%,12%,43%
DECEMBER 2001,15.9,20.9,10.8,27.6,8.0,1.3,1,2,0,0,0,0,18%,15%,58%
JANUARY 2002,11.7,17.0,6.4,24.8,-0.4,0.6,0,1,0,0,0,2,19%,27%,67%
