Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,8.0,13.8,2.1,16.8,0.2,83.2,6,8,2,0,0,0,6%,3%,29%
FEBRUARY 2000,9.4,14.7,4.0,19.2,-1.0,0.6,0,4,0,0,0,2,14%,10%,51%
MARCH 2000,11.9,18.6,5.1,26.0,1.2,0.2,0,1,0,0,0,0,19%,19%,58%
APRIL 2000,22.5,29.1,15.8,30.8,11.0,0.2,0,2,1,0,0,0,7%,8%,76%
MAY 2000,26.0,33.6,18.3,37.8,15.4,0.0,0,0,0,0,0,0,44%,29%,96%
JUNE 2000,28.6,36.6,20.5,40.2,17.0,0.0,0,0,0,0,0,0,80%,73%,76%
JULY 2000,30.3,37.7,22.8,40.6,19.4,0.0,0,0,0,0,0,0,92%,65%,74%
AUGUST 2000,29.4,37.1,21.6,39.8,17.6,0.0,0,0,1,0,0,0,81%,65%,87%
SEPTEMBER 2000,25.9,34.1,17.7,36.6,13.0,0.0,0,0,0,0,0,0,45%,23%,86%
OCTOBER 2000,19.9,27.1,12.7,31.2,10.2,4.1,2,2,0,1,0,0,24%,32%,80%
NOVEMBER 2000,10.5,16.1,4.9,25.6,-25.5,21.0,3,4,0,0,0,1,22%,28%,60%
DECEMBER 2000,7.6,13.0,2.1,21.0,-15.4,10.1,1,4,0,0,0,2,21%,26%,67%
JANUARY 2001,3.1,12.0,-5.9,16.6,-40.8,0.0,0,0,1,0,0,4,10%,11%,70%
FEBRUARY 2001,8.7,15.0,2.4,19.8,-4.8,317.2,4,7,0,1,0,2,32%,30%,71%
MARCH 2001,13.4,20.3,6.5,25.2,-2.6,6.8,2,3,0,0,0,1,40%,40%,74%
APRIL 2001,19.4,26.7,12.2,30.4,8.6,0.0,0,0,0,0,0,0,28%,28%,83%
MAY 2001,28.7,33.2,24.2,37.4,-27.6,0.0,0,0,0,0,0,1,24%,11%,61%
JUNE 2001,28.4,36.7,20.1,39.4,17.6,0.2,0,1,0,0,0,0,82%,72%,86%
JULY 2001,30.9,38.8,23.0,41.0,19.4,0.0,0,0,0,0,0,0,89%,79%,87%
AUGUST 2001,29.8,37.6,21.9,39.4,19.0,0.0,0,0,0,0,0,0,74%,53%,96%
SEPTEMBER 2001,26.5,34.4,18.6,37.8,12.1,0.0,0,0,0,0,0,0,37%,30%,100%
OCTOBER 2001,21.0,28.5,13.5,32.4,10.2,0.0,0,0,0,0,0,0,27%,26%,100%
NOVEMBER 2001,12.2,19.5,5.0,26.4,0.8,1.2,1,3,0,0,0,0,33%,28%,76%
DECEMBER 2001,10.9,15.8,6.0,18.2,3.0,39.3,10,10,0,2,1,0,24%,26%,58%
JANUARY 2002,6.5,11.6,1.5,15.0,-2.6,15.3,3,4,0,2,2,9,40%,42%,64%
FEBRUARY 2002,8.8,14.5,3.1,21.6,-1.6,27.2,4,5,0,1,0,7,32%,39%,60%
MARCH 2002,12.9,18.4,7.5,26.0,-3.8,8.5,2,3,0,2,0,1,19%,16%,45%
APRIL 2002,17.1,23.1,11.1,32.2,4.8,39.2,4,4,0,1,0,0,37%,37%,66%
MAY 2002,24.1,31.8,16.4,35.5,10.8,0.1,0,1,0,1,0,0,37%,35%,83%
JUNE 2002,28.0,36.1,20.0,39.2,16.4,0.0,0,0,0,0,0,0,72%,62%,86%
JULY 2002,30.1,38.2,21.9,40.6,18.4,0.0,0,0,0,0,0,0,82%,73%,74%
AUGUST 2002,30.0,38.3,21.7,40.2,18.4,0.0,0,0,0,0,0,0,84%,76%,96%
SEPTEMBER 2002,26.4,34.7,18.2,37.0,13.8,0.0,0,0,0,0,0,0,32%,38%,86%
OCTOBER 2002,21.4,29.4,13.3,32.0,8.4,0.0,0,0,0,0,0,0,27%,29%,96%
NOVEMBER 2002,13.5,19.9,7.1,24.0,1.8,5.0,2,2,0,0,0,0,10%,5%,63%
DECEMBER 2002,9.1,13.6,4.7,23.0,-1.8,16.0,5,7,1,2,0,8,18%,13%,45%
JANUARY 2003,6.5,12.0,0.9,17.6,-1.8,39.2,4,7,1,0,2,5,16%,10%,58%
FEBRUARY 2003,8.7,13.4,4.0,19.6,-40.1,22.0,4,7,0,1,1,1,9%,7%,57%
MARCH 2003,-,15.4,-,21.8,-,861.0,5,9,0,3,0,0,11%,-,51%
APRIL 2003,-,-,-,-,-,14.7,1,5,0,0,0,0,-,-,60%
MAY 2003,19.0,19.4,18.6,32.4,12.4,0.0,0,0,0,0,0,0,2%,3%,64%
JUNE 2003,-,-,18.9,-,18.0,0.0,0,0,0,0,0,0,-,8%,90%
JULY 2003,31.7,40.0,23.3,40.6,20.4,0.0,0,0,0,0,0,0,6%,22%,87%
AUGUST 2003,-,-,21.7,-,19.4,0.0,0,0,1,1,0,0,-,16%,87%
SEPTEMBER 2003,32.0,36.5,27.6,36.5,15.0,0.0,0,0,0,0,0,0,3%,2%,86%
OCTOBER 2003,-,-,-,-,-,0.0,0,0,0,0,0,1,-,-,80%
NOVEMBER 2003,-,-,-,-,-,0.0,0,0,0,0,0,0,-,-,90%
DECEMBER 2003,-,-,-,-,-,24.3,2,5,0,1,0,2,-,-,80%
JANUARY 2004,-,-,-,-,-,109.4,7,11,0,1,1,1,-,-,51%
FEBRUARY 2004,-,-,-,-,-,4.6,1,4,0,0,1,0,-,-,65%
MARCH 2004,-,-,-,-,-,0.6,0,2,0,0,0,0,-,-,80%
APRIL 2004,-,-,-,-,-,27.6,3,5,0,0,0,0,-,-,63%
MAY 2004,-,-,-,-,-,0.0,0,0,0,1,0,0,-,-,93%
JUNE 2004,27.8,36.9,18.7,38.4,14.6,0.0,0,0,0,2,0,0,63%,55%,96%
JULY 2004,29.0,37.2,20.8,39.8,18.0,0.0,0,0,0,0,0,0,89%,74%,87%
AUGUST 2004,29.4,39.0,19.9,41.0,17.2,0.0,0,0,0,1,0,0,85%,71%,90%
SEPTEMBER 2004,24.6,33.5,15.6,37.0,11.2,0.0,0,0,0,0,0,0,32%,25%,93%
OCTOBER 2004,19.4,28.7,10.1,31.8,5.6,0.0,0,0,0,0,0,0,19%,24%,87%
NOVEMBER 2004,12.7,20.3,5.1,24.6,-1.4,6.8,2,3,0,0,0,3,27%,25%,60%
DECEMBER 2004,6.3,11.2,1.5,16.2,-4.4,0.0,0,0,0,0,1,10,31%,23%,51%
JANUARY 2005,5.8,11.5,0.2,17.0,-3.4,39.0,4,4,0,1,0,16,39%,40%,80%
FEBRUARY 2005,7.7,12.9,2.5,21.6,-3.6,12.4,1,2,0,1,0,9,38%,39%,78%
MARCH 2005,12.4,18.9,5.8,25.0,0.0,0.0,0,0,0,0,0,2,35%,39%,77%
APRIL 2005,17.7,25.4,9.9,31.2,2.8,0.9,0,1,0,0,0,0,42%,42%,96%
MAY 2005,21.5,29.0,13.9,32.6,8.2,0.0,0,0,0,0,0,0,29%,39%,83%
JUNE 2005,27.5,36.8,18.2,41.0,15.2,0.0,0,0,0,0,0,0,73%,63%,90%
JULY 2005,29.8,38.5,21.1,41.2,17.4,4.0,1,1,0,1,0,0,80%,82%,90%
AUGUST 2005,28.9,37.4,20.4,40.0,17.6,0.0,0,0,0,0,0,0,84%,63%,74%
SEPTEMBER 2005,24.6,34.1,15.2,37.2,10.4,0.0,0,0,0,0,0,0,53%,47%,93%
OCTOBER 2005,18.9,27.9,9.8,30.6,4.8,0.0,0,0,0,0,0,0,45%,44%,90%
NOVEMBER 2005,12.4,19.1,5.7,25.4,-10.8,31.6,5,6,0,3,1,2,42%,42%,66%
DECEMBER 2005,9.4,15.9,2.8,21.0,-2.0,13.0,3,3,1,0,0,4,42%,39%,80%
JANUARY 2006,5.9,11.6,0.2,18.2,-5.0,42.8,4,7,0,0,0,16,45%,45%,74%
FEBRUARY 2006,10.7,16.4,5.0,22.2,-2.2,25.0,2,2,0,0,0,4,38%,38%,67%
MARCH 2006,12.3,19.7,5.0,23.8,-0.6,1.9,1,4,0,1,0,1,42%,40%,80%
APRIL 2006,17.0,23.5,10.4,29.6,3.8,36.8,3,4,0,4,0,0,42%,42%,70%
MAY 2006,24.4,32.4,16.3,36.2,11.4,0.0,0,0,0,0,0,0,50%,45%,96%
JUNE 2006,27.9,36.9,19.0,39.6,14.0,0.0,0,0,0,0,0,0,65%,52%,86%
JULY 2006,30.0,39.1,20.9,42.4,17.4,0.0,0,0,0,0,0,0,98%,90%,96%
AUGUST 2006,28.4,36.9,19.9,42.0,14.6,10.2,1,1,0,1,0,0,76%,68%,93%
SEPTEMBER 2006,24.0,32.8,15.2,35.2,9.6,0.0,0,0,0,0,0,0,47%,47%,90%
OCTOBER 2006,19.8,28.6,11.0,32.4,8.8,0.0,0,0,0,0,0,0,48%,47%,96%
NOVEMBER 2006,13.4,21.8,5.0,31.2,-3.0,0.0,0,0,0,0,0,5,30%,37%,66%
DECEMBER 2006,4.6,9.9,-0.7,14.2,-5.4,956.2,8,8,3,0,4,19,68%,60%,32%
JANUARY 2007,4.8,11.3,-1.8,16.0,-5.0,34.6,5,6,1,0,1,25,97%,92%,77%
FEBRUARY 2007,9.2,15.4,2.9,22.8,-0.8,40.5,6,9,0,1,0,5,98%,93%,82%
MARCH 2007,11.9,18.5,5.3,23.4,0.0,82.0,7,8,0,5,0,1,90%,85%,67%
APRIL 2007,16.9,24.3,9.4,31.0,1.0,42.5,4,5,0,5,0,0,90%,95%,73%
MAY 2007,23.4,31.6,15.1,35.0,10.4,2.1,1,2,0,1,0,0,98%,97%,67%
JUNE 2007,28.5,37.4,19.5,41.0,14.2,0.9,0,1,0,1,0,0,98%,98%,83%
JULY 2007,30.2,38.8,21.5,41.0,18.6,0.0,0,0,0,0,0,0,95%,100%,90%
AUGUST 2007,28.0,37.3,18.8,39.5,3.3,0.0,0,0,0,0,0,0,95%,96%,87%
SEPTEMBER 2007,24.4,33.4,15.3,37.2,10.4,0.0,0,0,0,0,0,0,98%,97%,80%
OCTOBER 2007,18.9,28.0,9.8,30.4,5.8,0.0,0,0,0,0,0,0,100%,100%,96%
NOVEMBER 2007,13.5,23.2,3.8,27.6,-3.0,0.0,0,0,0,0,0,3,100%,100%,83%
DECEMBER 2007,7.9,14.8,0.9,21.0,-6.4,31.0,4,4,0,2,1,14,92%,100%,87%
JANUARY 2008,5.2,10.5,-0.2,15.6,-6.4,181.3,9,13,3,0,0,18,98%,97%,90%
FEBRUARY 2008,8.5,16.6,0.4,23.6,-7.2,4.9,1,4,0,0,0,15,98%,100%,100%
