Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,0.6,5.6,-4.4,14.6,-20.8,38.3,4,6,5,0,0,23,18%,11%,38%
FEBRUARY 2000,-2.3,2.5,-7.1,14.8,-22.6,6.0,1,1,1,0,3,25,22%,14%,62%
MARCH 2000,7.1,13.2,0.9,19.6,-4.0,25.2,3,4,0,0,0,12,23%,26%,58%
APRIL 2000,16.5,22.3,10.7,27.2,5.2,12.2,1,2,0,1,0,0,25%,22%,66%
MAY 2000,20.9,29.0,12.8,32.6,8.8,0.0,0,0,0,0,0,0,24%,21%,87%
JUNE 2000,25.8,34.2,17.4,39.4,12.0,0.0,0,0,0,0,0,0,72%,42%,63%
JULY 2000,27.8,34.3,21.3,38.4,14.6,2.1,1,2,0,1,0,0,56%,56%,70%
AUGUST 2000,27.0,34.2,19.8,36.6,15.0,0.0,0,0,0,0,0,0,52%,42%,87%
SEPTEMBER 2000,22.4,30.4,14.4,34.4,9.6,0.0,0,0,0,0,0,0,35%,28%,86%
OCTOBER 2000,14.0,21.1,6.9,25.0,3.2,23.9,4,6,0,2,0,0,26%,15%,67%
NOVEMBER 2000,6.4,10.9,1.9,18.2,-3.0,173.5,6,7,0,1,0,6,25%,25%,66%
DECEMBER 2000,1.6,5.6,-2.4,19.7,-8.6,59.8,9,10,5,1,6,22,26%,21%,61%
JANUARY 2001,-0.5,4.2,-5.2,21.4,-17.6,4.4,1,2,3,0,1,29,24%,21%,74%
FEBRUARY 2001,2.9,7.8,-2.0,15.6,-8.6,16.7,1,4,4,0,1,22,27%,29%,64%
MARCH 2001,10.0,16.2,3.7,23.4,-0.8,25.4,4,6,0,0,0,3,24%,19%,67%
APRIL 2001,14.5,21.4,7.6,26.4,4.8,0.0,0,0,0,0,0,0,18%,18%,66%
MAY 2001,22.2,28.6,15.8,31.0,7.1,22.4,1,4,0,3,0,0,11%,13%,51%
JUNE 2001,24.7,32.9,16.4,38.0,10.0,10.6,1,2,0,1,0,0,55%,43%,73%
JULY 2001,26.8,34.4,19.2,37.6,15.0,0.8,0,1,0,1,0,0,74%,52%,74%
AUGUST 2001,27.2,34.6,19.8,37.6,15.4,0.0,0,0,0,0,0,0,42%,32%,83%
SEPTEMBER 2001,21.6,29.5,13.8,33.6,11.4,5.2,2,2,0,2,0,0,25%,23%,76%
OCTOBER 2001,16.1,22.9,9.3,27.2,4.4,4.0,1,1,0,1,0,0,21%,23%,70%
NOVEMBER 2001,7.7,13.0,2.4,23.8,-3.4,35.4,5,6,0,0,1,8,18%,20%,66%
DECEMBER 2001,4.4,8.5,0.2,20.0,-5.2,47.6,6,8,1,1,6,15,37%,29%,61%
JANUARY 2002,-1.9,2.1,-5.8,12.8,-17.8,34.4,6,9,7,0,10,25,31%,27%,58%
FEBRUARY 2002,4.0,9.3,-1.3,15.4,-7.4,1.7,1,3,3,0,1,22,45%,45%,82%
