Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,1.9,5.4,-1.6,16.4,-12.4,54.1,6,7,3,0,2,22,15%,15%,54%
FEBRUARY 2000,2.8,8.6,-3.0,14.8,-12.8,34.9,5,8,4,0,2,25,22%,26%,62%
MARCH 2000,8.2,16.3,0.2,23.6,-5.4,9.9,2,3,1,0,0,13,11%,18%,61%
APRIL 2000,18.6,25.4,11.8,29.0,4.2,0.0,0,0,0,0,0,0,23%,28%,70%
MAY 2000,23.5,30.4,16.7,35.6,12.6,0.6,0,1,0,0,0,0,42%,26%,90%
JUNE 2000,24.1,30.8,17.5,35.8,9.4,0.0,0,0,0,0,0,0,33%,32%,73%
JULY 2000,25.9,30.7,21.2,34.0,17.2,0.0,0,0,0,0,0,0,45%,32%,77%
AUGUST 2000,25.6,31.4,19.7,33.8,13.0,0.0,0,0,0,0,0,0,45%,44%,93%
SEPTEMBER 2000,21.4,28.6,14.2,33.2,8.8,38.0,2,2,0,1,0,0,32%,25%,80%
OCTOBER 2000,14.7,21.7,7.6,25.0,5.8,17.9,2,6,0,1,0,0,26%,26%,80%
NOVEMBER 2000,6.0,10.8,1.1,20.8,-5.8,23.8,7,8,1,0,2,16,30%,25%,80%
DECEMBER 2000,4.0,8.7,-0.8,14.0,-6.4,52.0,5,10,0,1,3,20,29%,32%,87%
JANUARY 2001,-0.4,5.6,-6.5,13.2,-17.6,1.3,0,3,2,0,0,31,24%,24%,74%
FEBRUARY 2001,2.8,9.1,-3.6,14.2,-12.8,4.0,1,3,1,0,0,24,39%,38%,82%
MARCH 2001,9.7,17.5,1.8,22.4,-5.4,7.7,3,7,1,1,0,6,26%,26%,61%
APRIL 2001,17.5,24.0,11.0,30.6,4.8,0.3,0,1,0,0,0,0,23%,17%,66%
MAY 2001,23.4,31.3,15.6,35.2,12.6,1.4,1,2,0,0,0,0,16%,6%,64%
JUNE 2001,25.7,32.1,19.3,37.4,4.1,0.0,0,0,0,1,0,0,55%,50%,86%
JULY 2001,26.4,32.3,20.5,37.6,14.8,0.0,0,0,0,0,0,0,48%,52%,93%
AUGUST 2001,25.2,31.8,18.7,35.8,13.2,1.0,1,1,0,0,0,0,44%,39%,83%
SEPTEMBER 2001,20.6,28.1,13.1,34.2,6.0,0.0,0,0,0,0,0,0,32%,33%,86%
OCTOBER 2001,13.7,21.7,5.8,36.0,-0.8,0.6,0,1,0,0,0,1,23%,18%,80%
NOVEMBER 2001,8.7,16.0,1.5,22.2,-6.0,13.0,2,2,1,0,0,7,30%,35%,83%
DECEMBER 2001,4.8,9.3,0.3,15.6,-3.0,21.1,3,5,2,0,2,15,32%,34%,70%
JANUARY 2002,2.3,6.8,-2.3,15.6,-7.0,41.5,5,6,3,0,2,21,40%,40%,64%
FEBRUARY 2002,4.3,10.5,-2.0,30.0,-6.4,16.9,5,6,3,0,0,20,39%,46%,78%
MARCH 2002,9.5,17.0,2.0,25.0,-9.5,6.7,1,3,1,1,0,12,37%,44%,80%
APRIL 2002,14.1,19.9,8.3,28.2,3.0,29.9,6,8,0,4,0,0,42%,33%,66%
MAY 2002,20.0,26.5,13.6,34.8,9.0,18.4,5,5,0,4,0,0,42%,34%,83%
JUNE 2002,25.4,31.7,19.2,37.6,14.8,0.0,0,0,0,0,0,0,65%,52%,93%
JULY 2002,25.9,31.1,20.6,36.0,16.0,0.0,0,0,0,0,0,0,40%,40%,93%
AUGUST 2002,25.7,32.6,18.9,36.4,11.8,0.0,0,0,0,0,0,0,55%,47%,87%
SEPTEMBER 2002,22.0,30.0,14.0,34.4,8.8,0.0,0,0,0,0,0,0,27%,27%,83%
OCTOBER 2002,17.4,24.5,10.2,31.4,4.6,0.7,0,1,0,0,0,0,34%,37%,90%
NOVEMBER 2002,8.6,14.3,2.8,20.4,-3.2,10.3,2,4,0,1,0,9,37%,33%,80%
DECEMBER 2002,1.5,6.3,-3.4,11.6,-14.2,60.8,7,7,1,0,0,26,27%,31%,64%
JANUARY 2003,1.4,6.6,-3.7,12.8,-10.2,12.0,4,4,6,0,0,28,34%,32%,77%
FEBRUARY 2003,3.8,8.8,-1.2,14.4,-5.8,27.5,5,9,4,0,0,16,25%,29%,53%
MARCH 2003,6.3,12.1,0.4,20.6,-8.2,20.5,3,6,0,3,0,12,24%,24%,70%
APRIL 2003,16.2,22.5,9.9,28.4,1.0,15.8,4,5,2,2,0,0,8%,12%,56%
MAY 2003,17.9,22.5,13.2,27.6,0.8,7.0,2,7,0,3,0,0,21%,21%,54%
JUNE 2003,23.5,30.1,17.0,34.2,9.6,0.0,0,0,0,1,0,0,50%,43%,86%
JULY 2003,27.6,34.3,20.9,39.6,17.2,0.0,0,0,0,0,0,0,66%,65%,83%
AUGUST 2003,25.2,30.3,20.1,36.4,15.8,0.0,0,0,0,0,0,0,39%,39%,87%
SEPTEMBER 2003,21.2,27.5,15.0,32.4,1.9,0.0,0,0,0,0,0,0,35%,28%,90%
OCTOBER 2003,18.3,26.1,10.5,29.8,5.0,0.0,0,0,0,0,0,0,11%,19%,74%
NOVEMBER 2003,6.4,12.7,0.2,27.8,-5.4,12.4,1,2,1,0,0,19,37%,45%,86%
DECEMBER 2003,2.6,8.2,-3.0,14.8,-12.6,6.0,2,4,3,0,1,24,74%,82%,61%
JANUARY 2004,3.1,7.8,-1.6,13.0,-9.4,20.8,4,6,1,0,1,18,94%,84%,67%
FEBRUARY 2004,5.9,12.6,-0.8,19.6,-4.8,1.4,1,3,1,0,0,22,96%,93%,82%
MARCH 2004,10.6,17.4,3.9,26.4,-2.6,78.9,6,8,1,1,0,4,90%,92%,67%
APRIL 2004,10.4,15.9,4.9,26.2,2.4,46.9,6,6,0,2,0,0,15%,10%,73%
MAY 2004,-,-,-,-,-,0.0,0,0,0,0,0,0,-,-,90%
JUNE 2004,25.2,31.8,18.6,35.2,11.2,0.0,0,0,0,0,0,0,73%,68%,100%
JULY 2004,25.4,31.3,19.6,35.4,14.8,15.0,1,1,0,1,0,0,96%,90%,87%
AUGUST 2004,25.0,32.1,17.9,39.2,13.6,0.0,0,0,0,0,0,0,100%,85%,96%
SEPTEMBER 2004,20.5,28.3,12.7,35.0,6.6,0.0,0,0,0,0,0,0,100%,90%,90%
OCTOBER 2004,14.0,21.6,6.4,28.2,0.8,0.0,0,0,0,0,0,0,90%,93%,90%
NOVEMBER 2004,10.0,16.5,3.5,21.2,-3.4,8.0,1,1,0,0,0,5,86%,78%,66%
DECEMBER 2004,2.1,6.5,-2.2,12.6,-9.0,0.0,0,0,1,1,0,22,77%,79%,58%
JANUARY 2005,0.0,4.4,-4.3,9.6,-11.0,32.4,3,3,2,0,1,29,44%,47%,70%
FEBRUARY 2005,0.8,5.1,-3.5,12.4,-13.0,1.7,0,2,2,0,0,22,39%,45%,60%
MARCH 2005,8.5,13.2,3.8,22.0,-4.6,7.2,1,3,0,1,0,4,40%,42%,45%
APRIL 2005,15.1,21.4,8.8,28.0,-3.8,3.0,1,1,0,0,0,5,47%,47%,93%
MAY 2005,17.9,22.6,13.1,26.6,7.2,12.4,4,6,0,3,0,0,44%,40%,70%
