Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,22.3,22.9,21.6,27.6,19.0,0.0,0,0,0,0,0,0,13%,10%,0%
FEBRUARY 2000,22.2,23.2,21.2,28.2,14.6,0.0,0,0,0,0,0,0,16%,10%,0%
MARCH 2000,23.2,24.3,22.2,29.0,8.2,0.0,0,0,0,0,0,0,39%,32%,0%
APRIL 2000,28.2,29.4,27.1,35.6,22.0,0.0,0,0,0,0,0,0,25%,23%,0%
MAY 2000,31.3,33.3,29.3,39.8,26.2,0.0,0,0,0,0,0,0,45%,13%,0%
JUNE 2000,31.4,33.7,29.1,40.2,26.6,0.0,0,0,0,0,0,0,72%,43%,0%
JULY 2000,34.4,36.7,32.1,40.0,29.0,0.0,0,0,0,0,0,0,77%,48%,0%
AUGUST 2000,34.8,36.9,32.6,38.8,30.6,0.0,0,0,0,0,0,0,79%,45%,0%
SEPTEMBER 2000,30.7,35.0,26.3,38.0,0.0,0.0,0,0,0,0,0,1,35%,15%,0%
OCTOBER 2000,31.2,32.4,29.9,34.2,24.0,0.0,0,0,0,0,0,0,32%,10%,0%
NOVEMBER 2000,28.5,28.2,28.9,31.2,17.8,0.0,0,0,0,0,0,0,23%,3%,0%
DECEMBER 2000,23.2,24.7,21.7,26.6,13.0,0.0,0,0,0,0,0,0,29%,6%,0%
JANUARY 2001,22.1,22.4,21.7,24.6,17.2,0.0,0,0,0,0,0,0,27%,15%,0%
FEBRUARY 2001,20.4,21.7,19.0,27.0,0.0,0.0,0,0,0,0,0,1,13%,16%,0%
MARCH 2001,23.8,23.1,24.4,27.0,8.0,0.0,0,0,0,0,0,0,11%,8%,0%
APRIL 2001,25.7,27.5,24.0,31.4,0.0,0.0,0,0,0,0,1,1,12%,15%,0%
MAY 2001,32.0,32.0,32.0,34.2,30.0,0.0,0,0,0,0,0,0,13%,13%,0%
JUNE 2001,31.9,32.0,31.9,34.4,28.0,0.0,0,0,0,0,1,0,23%,22%,0%
JULY 2001,34.3,34.4,34.2,39.8,31.2,0.0,0,0,0,0,0,0,10%,11%,0%
AUGUST 2001,35.5,35.5,35.5,38.0,32.6,0.0,0,0,0,0,0,0,10%,10%,0%
SEPTEMBER 2001,33.6,34.7,32.5,36.2,22.0,0.0,0,0,0,0,0,0,10%,17%,0%
OCTOBER 2001,32.9,33.0,32.8,34.4,26.6,0.0,0,0,0,0,0,0,13%,11%,0%
NOVEMBER 2001,29.1,29.1,29.0,32.4,24.8,0.0,0,0,0,0,0,0,8%,8%,0%
DECEMBER 2001,26.9,26.9,26.9,29.6,24.2,0.0,0,0,0,0,0,0,10%,10%,0%
JANUARY 2002,23.0,23.0,23.0,26.0,19.0,20.8,1,3,0,0,0,0,15%,15%,0%
FEBRUARY 2002,25.0,23.6,26.3,25.8,19.0,0.0,0,0,0,0,0,0,9%,13%,0%
MARCH 2002,25.0,25.0,25.0,28.0,22.2,0.0,0,0,0,0,0,0,13%,13%,0%
APRIL 2002,26.2,26.2,26.2,37.0,24.2,0.0,0,0,0,0,1,0,10%,10%,0%
MAY 2002,31.4,31.4,31.4,37.0,21.2,0.0,0,0,0,0,0,0,15%,13%,0%
JUNE 2002,34.6,34.6,34.6,38.0,30.6,0.0,0,0,0,0,0,0,5%,5%,0%
JULY 2002,34.7,34.7,34.7,37.0,31.2,0.0,0,0,0,0,0,0,11%,11%,0%
AUGUST 2002,34.5,34.5,34.5,40.4,33.0,0.0,0,0,0,0,0,0,10%,10%,0%
SEPTEMBER 2002,33.6,33.6,33.6,36.2,32.0,0.0,0,0,0,0,1,0,25%,25%,0%
OCTOBER 2002,32.3,30.5,34.0,51.0,31.4,0.0,0,0,0,0,0,0,19%,21%,0%
NOVEMBER 2002,28.3,28.3,28.3,32.0,24.4,0.0,0,0,0,0,0,0,27%,25%,0%
DECEMBER 2002,25.3,25.3,25.3,27.0,5.0,0.0,0,0,0,0,0,0,13%,13%,0%
JANUARY 2003,22.9,22.9,22.9,27.2,-3.8,0.0,0,0,0,0,0,1,6%,6%,0%
FEBRUARY 2003,19.3,22.7,15.9,26.0,2.0,0.0,0,0,0,0,1,0,9%,5%,0%
