Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,-0.7,3.6,-4.9,13.0,-17.6,310.0,5,7,7,0,0,23,19%,15%,51%
FEBRUARY 2000,1.1,6.3,-4.2,15.0,-9.6,0.0,0,0,4,0,0,27,26%,19%,55%
MARCH 2000,4.0,10.1,-2.1,18.0,-9.4,1.8,1,3,1,0,0,20,23%,26%,70%
APRIL 2000,14.0,20.2,7.9,26.4,2.8,53.7,7,10,0,6,0,0,18%,23%,50%
MAY 2000,16.6,23.0,10.2,30.6,4.6,21.0,6,8,0,7,0,0,31%,31%,61%
JUNE 2000,23.1,30.7,15.5,35.2,13.0,7.0,1,1,0,1,0,0,47%,38%,76%
JULY 2000,27.9,35.3,20.5,40.0,17.2,0.0,0,0,0,1,0,0,50%,31%,74%
AUGUST 2000,26.0,33.6,18.5,39.4,15.0,0.0,0,0,0,1,0,0,53%,37%,80%
SEPTEMBER 2000,20.6,28.1,13.1,32.4,10.6,5.3,2,2,0,3,0,0,25%,23%,76%
OCTOBER 2000,12.2,18.5,6.0,25.0,2.2,10.3,2,2,0,0,0,0,34%,27%,87%
NOVEMBER 2000,6.3,11.7,0.9,16.8,-4.6,18.2,3,4,0,0,0,10,32%,28%,73%
DECEMBER 2000,2.5,5.8,-0.9,11.7,-4.8,4.7,2,7,6,0,3,19,31%,35%,67%
JANUARY 2001,-2.9,1.3,-7.1,12.6,-19.0,5.6,2,4,4,0,2,27,27%,15%,64%
FEBRUARY 2001,3.8,9.3,-1.7,16.2,-8.8,6.8,3,3,3,0,0,23,32%,25%,57%
MARCH 2001,9.8,16.6,3.0,25.4,-2.2,20.4,6,6,0,1,0,5,35%,29%,61%
APRIL 2001,13.2,19.5,6.8,26.8,3.0,18.2,4,8,0,3,0,0,27%,27%,53%
MAY 2001,16.8,22.8,10.8,30.2,1.4,17.6,6,11,0,9,0,0,10%,3%,41%
JUNE 2001,23.0,30.2,15.8,35.6,11.2,0.1,0,1,0,2,0,0,45%,33%,83%
JULY 2001,25.2,32.1,18.4,37.6,5.2,1.2,1,2,0,5,0,0,50%,32%,77%
AUGUST 2001,26.1,33.2,19.0,38.4,12.8,0.0,0,0,0,3,0,0,48%,29%,83%
SEPTEMBER 2001,21.3,29.4,13.1,34.0,8.6,0.0,0,0,0,1,0,0,32%,35%,93%
OCTOBER 2001,12.3,18.6,6.0,28.8,-0.6,107.3,2,2,0,1,0,1,27%,21%,83%
NOVEMBER 2001,6.9,11.7,2.0,20.6,-9.4,10.1,2,3,3,0,1,14,23%,25%,66%
DECEMBER 2001,3.6,9.0,-1.8,12.4,-8.8,3.0,2,2,2,0,4,14,27%,24%,64%
JANUARY 2002,-2.7,3.0,-8.4,13.6,-11.0,0.8,0,1,3,0,0,28,34%,32%,80%
FEBRUARY 2002,3.2,9.6,-3.1,16.2,-8.4,2.5,1,2,1,0,0,25,50%,36%,75%
MARCH 2002,8.2,14.8,1.5,22.4,-7.0,22.7,7,9,0,3,0,7,42%,35%,64%
APRIL 2002,10.7,15.3,6.1,20.4,1.4,65.3,13,13,0,2,0,0,37%,28%,43%
MAY 2002,14.5,20.2,8.8,31.4,4.6,48.8,11,12,0,9,0,0,44%,32%,54%
JUNE 2002,21.8,28.7,14.9,35.0,11.0,0.2,0,2,0,2,0,0,52%,45%,90%
JULY 2002,25.3,32.3,18.3,35.6,14.8,0.8,0,2,0,5,0,0,48%,48%,83%
AUGUST 2002,24.5,32.1,17.0,35.4,11.5,0.0,0,0,0,3,0,0,65%,47%,90%
SEPTEMBER 2002,21.7,30.0,13.3,32.6,10.6,0.0,0,0,0,0,0,0,40%,42%,86%
OCTOBER 2002,15.2,22.0,8.4,28.6,1.8,17.2,4,5,0,2,0,0,37%,37%,70%
NOVEMBER 2002,7.5,13.8,1.3,19.4,-3.6,12.1,4,5,0,0,1,12,38%,40%,76%
DECEMBER 2002,-5.1,-0.7,-9.5,8.5,-23.8,16.7,8,12,11,0,0,29,29%,34%,51%
JANUARY 2003,0.4,4.4,-3.5,11.8,-14.0,3.2,1,4,3,0,0,30,31%,31%,61%
FEBRUARY 2003,1.6,5.2,-2.0,30.0,-8.0,10.4,2,8,8,0,2,26,32%,39%,60%
MARCH 2003,4.4,8.4,0.3,15.0,-7.6,59.8,7,9,5,0,0,15,24%,23%,61%
APRIL 2003,11.3,13.9,8.7,26.6,-2.4,24.0,7,12,0,2,0,1,7%,17%,50%
MAY 2003,17.8,24.8,10.8,27.6,-24.0,11.9,3,5,0,10,0,1,18%,19%,54%
JUNE 2003,20.5,27.5,13.5,33.6,7.6,24.0,4,5,0,13,0,0,45%,32%,76%
JULY 2003,25.0,32.0,18.0,36.2,15.0,0.1,0,1,0,4,0,0,60%,37%,87%
AUGUST 2003,25.3,32.5,18.1,40.4,2.3,2.4,1,3,0,2,0,0,42%,32%,90%
SEPTEMBER 2003,19.6,27.6,11.6,35.2,7.8,2.2,1,1,0,0,0,0,38%,30%,93%
OCTOBER 2003,13.3,19.3,7.3,28.4,0.0,6.1,1,2,0,1,0,1,8%,11%,64%
NOVEMBER 2003,5.9,10.4,1.4,18.6,-4.4,34.3,5,6,2,0,0,10,27%,28%,63%
DECEMBER 2003,2.0,5.4,-1.3,15.4,-8.0,20.4,5,8,4,0,3,19,79%,94%,64%
JANUARY 2004,1.3,5.3,-2.7,11.0,-8.4,5.0,2,2,3,1,6,21,90%,90%,80%
FEBRUARY 2004,3.0,8.2,-2.2,15.4,-8.0,6.6,3,5,6,0,2,22,96%,90%,75%
MARCH 2004,8.7,16.0,1.3,26.4,-6.0,1.5,1,2,0,2,0,13,95%,85%,90%
APRIL 2004,2.6,7.9,-2.7,25.0,-8.0,48.7,7,7,2,4,0,4,15%,10%,70%
MAY 2004,-,-,-,-,-,74.3,9,15,1,9,0,0,-,-,48%
JUNE 2004,22.2,29.6,14.7,35.0,9.0,7.4,2,2,0,6,0,0,70%,68%,86%
JULY 2004,23.6,31.1,16.0,36.2,11.5,1.0,1,1,0,6,0,0,89%,96%,70%
AUGUST 2004,25.6,34.1,17.1,36.6,13.0,0.0,0,0,0,0,0,0,98%,93%,93%
SEPTEMBER 2004,20.5,29.4,11.6,37.0,8.0,0.0,0,0,0,0,0,0,100%,93%,93%
OCTOBER 2004,14.7,22.4,7.0,30.8,0.4,0.2,0,1,0,1,0,0,93%,92%,77%
NOVEMBER 2004,7.6,12.5,2.7,18.4,-10.0,6.1,1,1,2,1,0,8,85%,75%,56%
DECEMBER 2004,-5.0,-0.2,-9.8,6.4,-22.8,0.0,0,0,4,0,2,31,73%,73%,67%
JANUARY 2005,-3.3,1.1,-7.7,6.4,-11.8,0.0,0,0,1,0,0,31,39%,42%,67%
FEBRUARY 2005,-2.8,1.5,-7.1,15.0,-16.4,2.1,1,2,4,0,0,24,34%,34%,60%
MARCH 2005,5.5,10.6,0.4,20.2,-6.0,0.0,0,0,1,0,0,15,35%,31%,67%
APRIL 2005,11.7,17.3,6.0,30.4,-0.8,4.3,3,4,0,1,1,2,23%,37%,60%
MAY 2005,16.3,21.3,11.3,27.8,6.0,2.5,2,4,0,6,0,0,23%,26%,45%
JUNE 2005,22.2,28.6,15.8,34.0,12.4,29.8,1,2,0,3,0,0,47%,37%,83%
JULY 2005,26.0,33.0,19.0,37.4,16.6,0.0,0,0,0,1,0,0,21%,19%,83%
AUGUST 2005,26.0,33.3,18.8,36.8,12.4,0.0,0,0,0,0,0,0,53%,47%,70%
SEPTEMBER 2005,20.8,28.2,13.4,34.0,8.8,1.0,1,1,0,2,0,0,52%,43%,86%
OCTOBER 2005,14.2,21.0,7.5,29.0,0.0,0.1,0,1,0,0,0,1,45%,44%,90%
NOVEMBER 2005,7.2,12.3,2.2,23.0,-2.6,7.1,1,2,0,1,0,10,37%,37%,66%
DECEMBER 2005,2.6,6.4,-1.3,17.4,-12.4,1.0,1,1,1,1,3,19,40%,32%,77%
JANUARY 2006,-2.9,0.5,-6.2,8.0,-17.6,7.1,2,5,6,0,1,31,40%,45%,54%
FEBRUARY 2006,1.5,6.3,-3.4,16.2,-10.8,12.2,2,3,2,0,2,22,34%,43%,78%
MARCH 2006,9.2,15.5,2.9,20.8,-3.4,0.0,0,0,0,0,0,10,40%,34%,90%
APRIL 2006,13.9,19.4,8.4,27.0,3.4,12.1,4,5,0,2,0,0,35%,33%,43%
MAY 2006,18.3,24.5,12.1,31.6,7.4,6.0,2,2,0,3,0,0,44%,37%,77%
JUNE 2006,25.4,33.3,17.6,36.0,13.4,0.2,0,1,0,3,0,0,43%,33%,76%
JULY 2006,25.6,32.5,18.7,38.4,14.6,3.1,1,2,0,3,0,0,63%,42%,83%
AUGUST 2006,27.2,35.5,19.0,40.6,16.0,0.8,0,1,0,2,0,0,56%,42%,93%
SEPTEMBER 2006,20.8,28.6,13.0,37.4,6.0,0.0,0,0,0,0,0,0,40%,45%,83%
OCTOBER 2006,14.9,21.4,8.5,27.2,1.0,9.1,3,5,0,3,0,0,40%,39%,67%
NOVEMBER 2006,7.3,13.6,1.0,33.4,-5.0,1.9,1,3,1,1,0,16,30%,27%,76%
DECEMBER 2006,-4.6,0.4,-9.7,7.6,-21.2,1.3,1,2,2,0,6,31,53%,60%,19%
JANUARY 2007,-5.8,-0.3,-11.3,7.8,-20.8,7.1,2,6,9,0,1,30,89%,79%,74%
FEBRUARY 2007,1.3,6.0,-3.3,16.4,-11.4,12.1,4,6,8,0,0,26,95%,95%,92%
MARCH 2007,6.2,11.2,1.3,18.0,-3.4,30.3,9,13,4,1,0,10,90%,74%,96%
APRIL 2007,10.2,15.3,5.2,22.4,0.2,64.9,10,16,1,3,0,0,95%,85%,83%
MAY 2007,18.7,25.7,11.8,32.8,6.2,41.6,6,11,0,7,0,0,100%,97%,93%
JUNE 2007,22.5,29.9,15.1,33.4,11.3,23.0,7,9,0,10,0,0,98%,100%,93%
JULY 2007,24.4,31.5,17.2,36.4,12.4,24.4,3,3,0,5,0,0,100%,100%,93%
AUGUST 2007,25.0,32.7,17.4,37.2,11.6,16.6,4,6,0,5,0,0,96%,92%,90%
SEPTEMBER 2007,21.8,30.4,13.1,36.4,6.6,0.0,0,0,0,0,0,0,100%,97%,96%
OCTOBER 2007,15.7,23.3,8.0,28.2,3.6,11.4,4,5,0,2,0,0,93%,98%,96%
NOVEMBER 2007,7.4,13.2,1.5,28.0,-6.8,42.4,4,6,4,0,0,16,93%,93%,93%
DECEMBER 2007,0.5,5.1,-4.0,14.8,-10.8,21.0,4,8,7,0,2,28,89%,96%,83%
JANUARY 2008,-9.4,-3.9,-14.9,8.0,-23.8,7.7,2,3,7,0,0,30,94%,89%,93%
FEBRUARY 2008,-1.4,3.4,-6.3,10.8,-16.4,19.3,5,7,8,0,0,27,100%,100%,100%
MARCH 2008,12.0,19.3,4.8,27.2,-2.8,80.5,3,4,0,1,1,7,100%,92%,96%
APRIL 2008,16.1,23.7,8.5,32.0,3.6,18.2,2,4,0,2,0,0,100%,100%,100%
MAY 2008,17.0,24.0,9.9,32.4,4.0,25.3,5,7,0,10,0,0,100%,98%,93%
JUNE 2008,22.3,29.7,15.0,33.4,9.2,14.4,2,5,0,5,0,0,100%,97%,93%
JULY 2008,25.6,33.2,18.1,38.6,10.9,18.5,1,2,0,4,0,0,97%,93%,90%
AUGUST 2008,26.3,34.6,18.0,39.4,14.2,3.0,1,3,0,2,0,0,100%,96%,93%
SEPTEMBER 2008,21.1,28.7,13.6,34.6,8.8,25.3,4,7,0,6,0,0,100%,93%,83%
OCTOBER 2008,14.2,20.4,8.1,28.0,4.6,35.1,7,12,1,3,0,0,100%,98%,96%
NOVEMBER 2008,8.1,13.7,2.6,18.8,-2.0,3.3,1,3,0,0,0,3,96%,100%,93%
