Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
JANUARY 2000,5.1,10.2,0.1,17.6,-12.4,18.0,4,4,0,0,2,17,19%,16%,67%
FEBRUARY 2000,4.8,11.7,-2.1,20.2,-8.0,6.5,2,4,1,1,0,22,21%,26%,58%
MARCH 2000,11.1,19.5,2.8,27.2,-6.6,23.8,2,3,0,2,0,10,11%,18%,61%
APRIL 2000,21.8,28.8,14.7,31.8,5.4,0.0,0,0,0,0,0,0,25%,25%,70%
MAY 2000,27.4,35.5,19.3,40.6,12.4,0.0,0,0,0,1,0,0,58%,31%,96%
JUNE 2000,26.3,34.7,17.8,40.4,8.8,0.0,0,0,0,0,0,0,55%,40%,76%
JULY 2000,26.5,33.4,19.6,36.0,11.6,0.0,0,0,0,0,0,0,48%,35%,77%
AUGUST 2000,25.6,33.3,17.9,36.0,13.6,0.0,0,0,0,0,0,0,44%,45%,90%
SEPTEMBER 2000,23.5,31.8,15.3,37.0,12.0,0.0,0,0,0,0,0,0,37%,23%,86%
OCTOBER 2000,17.7,26.5,8.9,29.8,5.4,6.0,1,1,0,0,0,0,23%,26%,77%
NOVEMBER 2000,7.6,14.6,0.6,26.0,-3.4,13.1,5,6,0,1,1,12,32%,28%,80%
DECEMBER 2000,7.0,13.5,0.5,21.2,-8.2,17.2,7,8,0,1,0,15,31%,32%,77%
JANUARY 2001,2.2,9.8,-5.4,16.8,-13.2,3.0,1,1,1,0,0,27,24%,23%,83%
FEBRUARY 2001,5.8,13.9,-2.4,19.8,-7.0,2.0,1,1,0,1,0,21,32%,32%,78%
MARCH 2001,11.7,20.3,3.0,24.8,-3.4,7.7,2,5,0,0,0,4,31%,26%,64%
APRIL 2001,20.1,27.3,12.8,33.5,-3.4,0.0,0,0,0,0,0,1,25%,27%,66%
MAY 2001,25.4,34.0,16.7,37.4,14.0,0.0,0,0,0,0,0,0,21%,11%,58%
JUNE 2001,28.1,36.2,20.0,41.4,14.1,0.0,0,0,0,1,0,0,63%,58%,80%
JULY 2001,28.8,36.7,21.0,41.5,15.0,0.0,0,0,0,0,0,0,79%,66%,93%
AUGUST 2001,26.5,34.3,18.7,38.8,13.4,0.0,0,0,0,0,0,0,50%,42%,87%
SEPTEMBER 2001,22.5,31.6,13.3,37.8,7.0,0.0,0,0,0,0,0,0,37%,28%,80%
OCTOBER 2001,18.3,27.2,9.4,30.8,-0.8,0.0,0,0,0,1,0,2,19%,18%,74%
NOVEMBER 2001,11.0,19.8,2.2,25.6,-7.0,7.0,2,2,0,2,0,8,30%,35%,76%
DECEMBER 2001,8.4,14.5,2.3,21.0,-2.0,22.4,3,4,0,1,0,9,39%,39%,74%
JANUARY 2002,5.6,11.4,-0.2,22.4,-6.6,48.8,5,6,1,1,0,18,34%,34%,67%
FEBRUARY 2002,7.1,14.4,-0.1,19.2,-11.9,26.4,5,7,1,3,0,15,39%,45%,71%
MARCH 2002,12.9,21.1,4.6,27.0,-11.7,1.0,1,1,0,1,0,8,39%,40%,90%
APRIL 2002,17.2,23.7,10.6,31.8,3.4,33.9,5,7,0,5,0,0,42%,37%,66%
MAY 2002,23.9,31.6,16.2,36.6,10.4,0.0,0,0,0,3,0,0,52%,32%,87%
JUNE 2002,27.0,35.5,18.5,39.8,0.0,0.0,0,0,0,0,0,1,72%,62%,93%
JULY 2002,26.8,34.1,19.6,41.0,9.8,0.0,0,0,0,0,0,0,53%,52%,93%
AUGUST 2002,26.8,35.8,17.8,38.0,8.4,0.0,0,0,0,0,0,0,56%,52%,90%
SEPTEMBER 2002,22.0,31.8,12.2,37.2,5.0,0.0,0,0,0,0,0,0,32%,30%,73%
OCTOBER 2002,18.2,27.4,8.9,31.0,1.2,0.0,0,0,0,0,0,0,37%,39%,83%
NOVEMBER 2002,10.4,18.6,2.2,24.6,-4.4,1.8,1,2,0,1,0,11,33%,37%,80%
DECEMBER 2002,4.8,12.6,-2.9,17.2,-12.0,8.2,2,3,1,1,0,23,23%,19%,67%
JANUARY 2003,4.6,10.8,-1.7,26.0,-8.4,38.0,6,6,2,0,1,17,37%,34%,74%
FEBRUARY 2003,9.0,16.3,1.6,33.2,-4.2,13.0,2,3,1,1,0,10,25%,25%,60%
MARCH 2003,9.5,16.5,2.6,29.6,-9.2,53.5,4,5,1,3,0,10,26%,32%,67%
APRIL 2003,19.0,25.6,12.4,32.0,2.2,9.2,2,3,0,1,0,0,10%,8%,63%
MAY 2003,20.3,27.7,12.9,32.6,-0.7,1.1,0,2,0,2,0,1,21%,26%,64%
JUNE 2003,26.6,35.1,18.1,39.2,12.4,0.0,0,0,0,0,0,0,70%,50%,93%
JULY 2003,29.7,38.0,21.4,42.0,15.0,0.0,0,0,0,0,0,0,84%,73%,87%
AUGUST 2003,25.6,33.3,17.9,41.4,14.2,0.0,0,0,0,0,0,0,44%,39%,93%
